trial	index_traj	path	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	fix_start_time	dot_mvt_start_time	last_dot_time	button_pressed_time	line_cross_time	early_response (t/f)	rest_time	end_time	start_exp_time	time_from_start [ces]
0	56	iid	left	-0.974	2.955	right	9	5.179	1	767	0	302	1511	2278	1596	0	75	3280	91036.0	91.545
1	37	iid	left	-1.988	5.494	left	30	-5.674	-1	687	0	301	1342	2029	1601	0	250	3030		94.84
2	67	iid	left	-1.011	3.712	right	14	2.576	-1	470	0	301	1485	1955	1613	0	117	2957		97.874
3	79	iid	left	-2.149	4.637	right	22	6.019	1	481	0	302	1399	1880	1593	0	183	2882		100.835
4	80	iid	left	-1.134	4.973	right	25	3.726	1	535	0	302	1381	1916	1601	0	208	2919		103.719
5	188	iid	right	2.822	5.379	right	29	8.417	1	350	0	302	1342	1692	1594	0	242	2694		106.641
6	183	iid	right	2.547	5.207	right	27	4.706	1	304	0	302	1361	1665	1595	0	225	2666		109.337
7	10	iid	left	-1.646	3.03	left	9	-6.579	1	695	0	303	1509	2204	1593	0	75	3205		112.007
8	128	iid	right	0.87	4.088	left	17	-2.599	1	405	0	302	1441	1846	1594	0	142	2848		115.214
9	62	iid	left	-1.05	3.553	right	13	3.169	-1	424	0	302	1475	1899	1593	0	108	2900		118.065
10	65	iid	left	-2.055	3.917	right	16	5.82	-1	341	1	302	1451	1792	1594	0	133	2794		120.972
11	17	iid	left	-2.376	3.95	left	16	-7.381	-1	430	0	302	1451	1881	1594	0	133	2883		123.768
12	133	iid	right	1.014	5.344	left	29	-3.279	1	424	0	302	1348	1772	1600	0	242	2774		126.655
13	195	iid	right	0.81	6.405	right	41	10.068	1	494	0	301	1239	1733	1592	0	342	2734		129.433
14	146	iid	right	1.995	6.028	left	36	-3.041	1	313	0	302	1287	1600	1597	0	300	2602		132.171
15	38	iid	left	-2.822	5.379	left	29	-8.417	1	457	0	301	1346	1803	1599	0	242	2806		134.777
16	173	iid	right	2.217	4.012	right	16	3.328	1	224	0	301	1464	1688	1606	0	133	2689		137.588
17	149	iid	right	1.186	6.295	left	40	-3.668	1	366	0	302	1243	1609	1586	0	333	2611		140.282
18	93	iid	left	-1.486	6.421	right	41	8.888	-1	687	0	302	1243	1930	1596	0	342	2933		142.897
19	29	iid	left	-1.621	4.376	left	19	-14.001	1	464	0	302	1433	1897	1601	0	158	2899		145.833
20	0	iid	left	-1.672	2.125	left	5	-3.182	-1	249	0	301	1545	1794	1597	0	42	2796		148.735
21	2	iid	left	-2.413	2.537	left	6	-6.728	-1	224	0	301	1530	1754	1589	0	50	2755		151.534
22	122	iid	right	1.283	4.911	left	24	-3.587	1	293	0	301	1385	1678	1593	0	200	2680		154.293
23	180	iid	right	1.432	5.195	right	27	7.161	1	20	0	301	1355	1375	1580	1	225	2377		156.977
24	95	iid	left	-1.969	6.295	right	40	10.722	1	379	0	302	1251	1630	1593	0	333	2632		159.358
25	121	iid	right	1.764	4.73	left	22	-2.728	1	47	0	302	1397	1444	1580	1	183	2446		161.995
26	185	iid	right	2.32	5.071	right	26	7.877	1	441	0	301	1372	1813	1599	0	217	2815		164.443
27	39	iid	left	-2.719	5.571	left	31	-10.583	1	285	0	302	1328	1613	1597	0	258	2615		167.262
28	66	iid	left	-2.091	3.596	right	13	5.348	1	526	0	302	1472	1998	1591	0	108	2999		169.882
29	19	iid	left	-1.394	3.481	left	12	-5.649	-1	751	0	303	1490	2241	1600	0	100	3243		172.884
30	11	iid	left	-1.454	3.202	left	10	-2.972	-1	613	1	303	1501	2114	1593	0	83	3115		176.132
31	45	iid	left	-0.81	6.405	left	41	-10.068	1	531	0	302	1236	1767	1589	0	342	2768		179.25
32	41	iid	left	-2.078	6.196	left	38	-11.804	1	456	0	301	1269	1725	1598	0	317	2728		182.021
33	92	iid	left	-1.12	6.035	right	36	5.179	1	364	0	301	1278	1642	1588	0	300	2643		184.753
34	168	iid	right	1.853	3.209	right	10	4.809	1	253	0	302	1507	1760	1600	0	83	2761		187.4
35	1	iid	left	-1.432	2.804	left	8	-3.469	-1	628	0	302	1524	2152	1600	0	67	3153		190.164
36	57	iid	left	-2.189	2.964	right	9	2.592	1	384	0	301	1517	1901	1603	0	75	2902		193.322
37	189	iid	right	2.719	5.571	right	31	10.583	1	288	0	302	1314	1602	1581	0	258	2603		196.228
38	151	iid	right	1.432	2.804	right	8	3.469	1	106	0	301	1522	1628	1599	0	67	2629		198.835
39	167	iid	right	2.376	3.95	right	16	7.381	1	393	0	302	1449	1842	1592	0	133	2844		201.469
40	116	iid	right	2.091	3.596	left	13	-5.348	1	400	0	302	1486	1886	1604	0	108	2888		204.317
41	138	iid	right	1.027	5.533	left	31	-3.742	1	394	1	302	1326	1720	1593	0	258	2721		207.209
42	155	iid	right	2.123	2.129	right	5	3.169	1	325	0	301	1540	1865	1592	0	42	2866		209.933
43	82	iid	left	-0.915	5.411	right	29	4.576	1	393	0	301	1343	1736	1595	0	242	2738		212.802
44	160	iid	right	1.646	3.03	right	9	6.579	1	150	0	301	1525	1675	1610	0	75	2676		215.543
45	181	iid	right	2.689	5.667	right	33	13.897	1	387	0	302	1302	1689	1586	0	275	2691		218.224
46	171	iid	right	2.081	4.839	right	24	11.931	-1	481	0	302	1374	1855	1584	0	200	2857		220.924
47	12	iid	left	-1.311	3.437	left	12	-3.281	-1	371	0	301	1481	1852	1592	0	100	2854		223.786
48	55	iid	left	-1.076	2.085	right	4	4.474	-1	651	0	301	1554	2205	1598	0	33	3207		226.644
49	77	iid	left	-1.239	4.403	right	19	7.711	1	456	1	303	1431	1887	1599	0	158	2888		229.856
50	22	iid	left	-1.158	4.684	left	22	-3.138	1	396	1	302	1402	1798	1596	0	183	2800		232.749
51	129	iid	right	2.149	4.637	left	22	-6.019	1	320	0	301	1394	1714	1587	0	183	2716		284.964
52	105	iid	right	1.076	2.085	left	4	-4.474	1	250	0	302	1556	1806	1599	0	33	2807		287.684
53	102	iid	right	1.512	2.3	left	5	-5.012	1	322	0	302	1553	1875	1606	0	42	2877		290.495
54	159	iid	right	1.71	2.788	right	8	5.391	1	360	0	302	1521	1881	1599	0	67	2884		293.377
55	9	iid	left	-1.71	2.788	left	8	-5.391	-1	445	0	301	1522	1967	1599	0	67	2969		296.265
56	15	iid	left	-2.085	3.039	left	9	-3.017	-1	275	0	302	1527	1802	1612	0	75	2805		299.237
57	150	iid	right	1.672	2.125	right	5	3.182	1	237	1	302	1547	1784	1599	0	42	2786		302.047
58	76	iid	left	-1.794	4.732	right	22	6.096	-1	668	0	302	1410	2078	1601	0	183	3080		304.837
59	119	iid	right	2.377	3.329	left	11	-2.683	1	357	0	302	1498	1855	1600	0	92	2857		307.922
60	71	iid	left	-1.764	4.73	right	22	2.728	1	388	0	302	1405	1793	1598	0	183	2795		310.782
61	90	iid	left	-2.17	6.546	right	43	2.644	1	394	0	301	1229	1623	1596	0	358	2625		313.581
62	100	iid	right	2.251	2.722	left	8	-3.383	1	253	0	302	1522	1775	1598	0	67	2776		316.21
63	44	iid	left	-1.816	6.152	left	38	-4.335	1	367	0	302	1265	1632	1593	0	317	2634		318.989
64	94	iid	left	-1.676	6.092	right	37	6.022	1	588	1	303	1269	1857	1589	0	308	2858		321.627
65	176	iid	right	1.929	4.66	right	22	8.105	1	193	0	302	1402	1595	1585	1	183	2596		324.49
66	142	iid	right	1.12	6.035	left	36	-5.179	1	364	0	301	1269	1633	1578	0	300	2635		327.091
67	113	iid	right	1.892	3.745	left	14	-4.613	1	391	0	302	1473	1864	1599	0	117	2866		329.729
68	53	iid	left	-0.961	2.657	right	7	2.843	-1	459	0	302	1529	1988	1598	0	58	2990		332.6
69	20	iid	left	-2.263	4.205	left	18	-3.056	-1	403	0	301	1435	1838	1595	0	150	2840		335.595
70	30	iid	left	-1.432	5.195	left	27	-7.161	-1	416	0	302	1361	1777	1597	0	225	2780		338.44
71	114	iid	right	1.583	3.228	left	10	-4.674	1	433	0	301	1508	1941	1599	0	83	2942		341.225
72	172	iid	right	1.158	4.684	right	22	3.138	-1	400	0	302	1395	1795	1588	0	183	2796		344.172
73	26	iid	left	-1.929	4.66	left	22	-8.105	-1	484	0	302	1397	1881	1591	0	183	2882		346.972
74	50	iid	left	-2.251	2.722	right	8	3.383	-1	293	0	302	1524	1817	1600	0	67	2819		349.858
75	192	iid	right	1.954	6.647	right	44	13.663	1	474	0	301	1213	1687	1590	0	367	2689		352.68
