trial	index_traj	path	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	fix_start_time	dot_mvt_start_time	last_dot_time	button_pressed_time	line_cross_time	early_response (t/f)	rest_time	end_time	start_exp_time	time_from_start [ces]
0	56	iid	left	-0.974	2.955	right	9	5.179	-1	116	0	302	1525	1641	1609	0	75	2643	41149.0	42.036
1	37	iid	left	-1.988	5.494	left	30	-5.674	-1	370	0	301	1365	1735	1627	0	250	2737		44.685
2	67	iid	left	-1.011	3.712	right	14	2.576	-1	406	0	303	1504	1910	1632	0	117	2911		47.427
3	79	iid	left	-2.149	4.637	right	22	6.019	-1	355	0	303	1423	1778	1617	0	183	2779		50.346
4	80	iid	left	-1.134	4.973	right	25	3.726	-1	356	0	302	1414	1770	1634	0	208	2772		53.132
5	188	iid	right	2.822	5.379	right	29	8.417	1	330	0	302	1383	1713	1637	0	242	2714		55.91
6	183	iid	right	2.547	5.207	right	27	4.706	1	290	0	303	1406	1696	1641	0	225	2698		58.632
7	10	iid	left	-1.646	3.03	left	9	-6.579	-1	188	0	302	1562	1750	1647	0	75	2752		61.336
8	128	iid	right	0.87	4.088	left	17	-2.599	1	382	0	303	1477	1859	1630	0	142	2862		64.095
9	62	iid	left	-1.05	3.553	right	13	3.169	-1	200	0	303	1516	1716	1636	0	108	2720		66.964
10	65	iid	left	-2.055	3.917	right	16	5.82	-1	291	0	302	1508	1799	1653	0	133	2801		69.689
11	17	iid	left	-2.376	3.95	left	16	-7.381	-1	325	0	302	1473	1798	1616	0	133	2801		72.785
12	133	iid	right	1.014	5.344	left	29	-3.279	-1	396	0	301	1365	1761	1618	0	242	2762		75.591
13	195	iid	right	0.81	6.405	right	41	10.068	1	489	0	301	1266	1755	1621	0	342	2756		78.358
14	146	iid	right	1.995	6.028	left	36	-3.041	-1	387	0	303	1310	1697	1621	0	300	2699		81.122
15	38	iid	left	-2.822	5.379	left	29	-8.417	-1	365	0	302	1376	1741	1629	0	242	2742		83.829
16	173	iid	right	2.217	4.012	right	16	3.328	1	437	0	302	1498	1935	1641	0	133	2936		86.578
17	149	iid	right	1.186	6.295	left	40	-3.668	-1	401	0	302	1247	1648	1590	0	333	2651		89.802
18	93	iid	left	-1.486	6.421	right	41	8.888	-1	465	0	302	1264	1729	1620	0	342	2730		92.461
19	29	iid	left	-1.621	4.376	left	19	-14.001	-1	277	0	302	1464	1741	1633	0	158	2743		95.199
20	0	iid	left	-1.672	2.125	left	5	-3.182	-1	106	0	302	1586	1692	1639	0	42	2695		97.949
21	2	iid	left	-2.413	2.537	left	6	-6.728	-1	81	0	302	1518	1599	1579	0	50	2601		100.649
22	122	iid	right	1.283	4.911	left	24	-3.587	-1	331	0	303	1422	1753	1634	0	200	2755		103.259
23	180	iid	right	1.432	5.195	right	27	7.161	1	244	0	302	1362	1606	1599	0	225	2607		106.019
24	95	iid	left	-1.969	6.295	right	40	10.722	1	399	0	302	1280	1679	1625	0	333	2681		108.634
25	121	iid	right	1.764	4.73	left	22	-2.728	1	409	0	302	1434	1843	1626	0	183	2845		111.323
26	185	iid	right	2.32	5.071	right	26	7.877	1	428	0	301	1400	1828	1627	0	217	2830		114.176
27	39	iid	left	-2.719	5.571	left	31	-10.583	-1	326	0	301	1279	1605	1547	0	258	2607		117.012
28	66	iid	left	-2.091	3.596	right	13	5.348	-1	91	0	303	1531	1622	1639	1	108	2625		119.624
29	19	iid	left	-1.394	3.481	left	12	-5.649	-1	355	0	302	1535	1890	1646	0	100	2892		122.255
30	11	iid	left	-1.454	3.202	left	10	-2.972	1	251	0	303	1523	1774	1618	0	83	2776		125.155
31	45	iid	left	-0.81	6.405	left	41	-10.068	-1	430	0	301	1272	1702	1626	0	342	2704		127.94
32	41	iid	left	-2.078	6.196	left	38	-11.804	1	531	0	301	1296	1827	1624	0	317	2831		130.649
33	92	iid	left	-1.12	6.035	right	36	5.179	-1	343	0	302	1326	1669	1637	0	300	2671		133.485
34	168	iid	right	1.853	3.209	right	10	4.809	1	73	0	303	1559	1632	1642	1	83	2634		136.164
35	1	iid	left	-1.432	2.804	left	8	-3.469	-1	134	0	302	1502	1636	1579	0	67	2638		138.805
36	57	iid	left	-2.189	2.964	right	9	2.592	1	358	0	302	1555	1913	1642	0	75	2915		141.451
37	189	iid	right	2.719	5.571	right	31	10.583	1	409	1	302	1341	1750	1611	0	258	2752		144.374
38	151	iid	right	1.432	2.804	right	8	3.469	1	130	0	302	1542	1672	1619	0	67	2674		147.134
39	167	iid	right	2.376	3.95	right	16	7.381	1	161	0	303	1472	1633	1616	0	133	2634		149.817
40	116	iid	right	2.091	3.596	left	13	-5.348	1	192	0	302	1499	1691	1618	0	108	2693		152.457
41	138	iid	right	1.027	5.533	left	31	-3.742	1	375	0	303	1366	1741	1635	0	258	2742		155.159
42	155	iid	right	2.123	2.129	right	5	3.169	1	94	0	303	1603	1697	1657	0	42	2700		157.906
