trial	index_traj	path	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	fix_start_time	dot_mvt_start_time	last_dot_time	button_pressed_time	line_cross_time	early_response (t/f)	rest_time	end_time	start_exp_time	time_from_start [ces]
0	95	rdw	left	-1.969	6.295	right	40	10.722	1	284	0	303	1210	1494	1543	1	333	2495	44025.0	46.135
1	15	rdw	left	-2.085	3.039	left	9	-3.017	-1	297	0	302	1442	1739	1528	0	75	2742		48.639
2	30	rdw	left	-1.432	5.195	left	27	-7.161	-1	331	0	302	1362	1693	1596	0	225	2695		51.385
3	158	rdw	right	1.147	2.092	right	4	3.873	1	176	0	303	1515	1691	1559	0	33	2693		54.085
4	128	rdw	right	0.87	4.088	left	17	-2.599	-1	3073	0	302	1416	4489	1567	0	142	5491		56.785
5	115	rdw	right	2.055	3.917	left	16	-5.82	-1	428	0	301	1415	1843	1557	0	133	2845		62.281
6	69	rdw	left	-2.377	3.329	right	11	2.683	1	623	0	302	1456	2079	1558	0	92	3081		65.131
7	170	rdw	right	2.263	4.205	right	18	3.056	1	627	0	303	1391	2018	1551	0	150	3020		68.216
8	174	rdw	right	1.157	4.176	right	17	2.95	1	693	0	302	1413	2106	1565	0	142	3108		71.241
9	45	rdw	left	-0.81	6.405	left	41	-10.068	-1	808	1	303	1206	2014	1559	0	342	3015		74.354
10	66	rdw	left	-2.091	3.596	right	13	5.348	1	625	0	301	1448	2073	1566	0	108	3075		77.374
11	182	rdw	right	2.179	5.057	right	26	5.865	1	814	0	302	1336	2150	1562	0	217	3152		80.455
12	165	rdw	right	2.085	3.039	right	9	3.017	1	429	0	301	1480	1909	1565	0	75	2910		83.612
13	78	rdw	left	-0.87	4.088	right	17	2.599	1	477	0	302	1411	1888	1563	0	142	2890		86.528
14	186	rdw	right	1.917	5.864	right	35	11.991	1	602	0	301	1256	1858	1558	0	292	2860		89.423
15	177	rdw	right	2.389	4.145	right	17	3.429	1	822	0	301	1400	2222	1552	0	142	3224		92.288
16	56	rdw	left	-0.974	2.955	right	9	5.179	1	486	0	302	1464	1950	1548	0	75	2952		95.518
17	152	rdw	right	2.413	2.537	right	6	6.728	1	545	0	302	1509	2054	1573	0	50	3056		98.474
18	82	rdw	left	-0.915	5.411	right	29	4.576	1	1751	0	302	1307	3058	1559	0	242	4061		101.535
19	68	rdw	left	-1.071	3.23	right	10	4.659	1	555	0	301	1462	2017	1556	0	83	3019		105.6
20	124	rdw	right	1.906	4.326	left	19	-4.242	-1	357	0	304	1366	1723	1534	0	158	2727		108.625
21	16	rdw	left	-1.331	3.134	left	10	-7.001	-1	605	0	304	1483	2088	1578	0	83	3090		111.357
22	148	rdw	right	0.971	6.212	left	39	-8.275	-1	1405	0	301	1229	2634	1564	0	325	3636		114.451
23	93	rdw	left	-1.486	6.421	right	41	8.888	1	1083	0	302	1216	2299	1568	0	342	3301		118.093
24	65	rdw	left	-2.055	3.917	right	16	5.82	1	586	0	301	1406	1992	1551	0	133	2995		121.399
25	60	rdw	left	-0.889	3.379	right	11	3.456	1	416	0	302	1454	1870	1557	0	92	2872		124.399
26	84	rdw	left	-1.581	5.468	right	30	3.437	1	629	0	302	1293	1922	1552	0	250	2924		127.276
27	67	rdw	left	-1.011	3.712	right	14	2.576	1	639	0	303	1434	2073	1561	0	117	3074		130.206
28	125	rdw	right	1.007	4.726	left	22	-7.396	-1	434	0	304	1371	1805	1565	0	183	2807		133.285
29	132	rdw	right	0.915	5.411	left	29	-4.576	1	1634	0	302	1310	2944	1562	0	242	3946		136.097
30	9	rdw	left	-1.71	2.788	left	8	-5.391	-1	368	0	301	1471	1839	1549	0	67	2841		140.049
31	18	rdw	left	-1.853	3.209	left	10	-4.809	-1	309	0	301	1466	1775	1560	0	83	2777		142.897
32	55	rdw	left	-1.076	2.085	right	4	4.474	1	591	0	302	1512	2103	1555	0	33	3105		145.678
33	75	rdw	left	-1.007	4.726	right	22	7.396	1	674	0	301	1365	2039	1558	0	183	3041		148.789
34	150	rdw	right	1.672	2.125	right	5	3.182	1	518	1	302	1508	2026	1561	0	42	3028		151.836
35	104	rdw	right	1.113	2.948	left	9	-2.555	-1	550	0	302	1474	2024	1560	0	75	3027		154.869
