trial	index_traj	path	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	fix_start_time	dot_mvt_start_time	last_dot_time	button_pressed_time	line_cross_time	early_response (t/f)	rest_time	end_time	start_exp_time	time_from_start [ces]
55	73	rdw	left	-2.056	4.699	right	22	3.118	1	397	0	308	1441	1838	1588	0	133	2843		215.399
56	140	rdw	right	2.17	6.546	left	43	-2.644	-1	405	0	308	1440	1845	1547	0	92	2851		218.255
57	98	rdw	left	-0.971	6.212	right	39	8.275	1	522	0	308	1397	1919	1561	0	150	2925		221.118
58	172	rdw	right	1.158	4.684	right	22	3.138	1	472	1	309	1390	1862	1547	0	142	2868		224.055
59	96	rdw	left	-1.995	6.028	right	36	3.041	1	591	0	308	1205	1796	1564	0	342	2802		226.935
60	169	rdw	right	1.394	3.481	right	12	5.649	1	464	0	307	1439	1903	1560	0	108	2909		229.749
61	97	rdw	left	-1.346	6.31	right	40	3.058	1	720	0	309	1333	2053	1564	0	217	3058		232.671
62	31	rdw	left	-2.689	5.667	left	33	-13.897	-1	553	1	308	1478	2031	1568	0	75	3035		235.741
63	12	rdw	left	-1.311	3.437	left	12	-3.281	-1	1168	0	309	1408	2576	1565	0	142	3581		238.789
64	35	rdw	left	-2.32	5.071	left	26	-7.877	-1	503	0	305	1251	1754	1554	0	292	2760		242.379
65	119	rdw	right	2.377	3.329	left	11	-2.683	-1	441	0	306	1411	1852	1568	0	142	2858		245.145
66	42	rdw	left	-1.954	6.647	left	44	-13.663	-1	356	1	309	1459	1815	1549	0	75	2821		248.015
67	189	rdw	right	2.719	5.571	right	31	10.583	1	321	0	308	1516	1837	1579	0	50	2842		250.848
68	90	rdw	left	-2.17	6.546	right	43	2.644	1	582	0	307	1301	1883	1558	0	242	2889		253.703
69	136	rdw	right	1.405	5.417	left	29	-4.991	-1	415	0	307	1471	1886	1569	0	83	2891		256.605
70	51	rdw	left	-0.806	2.319	right	5	3.749	1	497	0	307	1376	1873	1547	0	158	2878		259.509
71	127	rdw	right	1.239	4.403	left	19	-7.711	-1	403	0	308	1473	1876	1570	0	83	2882		262.4
72	162	rdw	right	1.311	3.437	right	12	3.281	1	686	1	308	1216	1902	1554	0	325	2907		265.294
73	41	rdw	left	-2.078	6.196	left	38	-11.804	-1	392	0	308	1216	1608	1573	0	342	2613		268.214
74	118	rdw	right	1.071	3.23	left	10	-4.659	-1	362	0	307	1424	1786	1570	0	133	2791		270.839
75	113	rdw	right	1.892	3.745	left	14	-4.613	-1	376	1	308	1471	1847	1579	0	92	2852		273.644
76	26	rdw	left	-1.929	4.66	left	22	-8.105	-1	514	0	305	1284	1798	1549	0	250	2803		276.504
77	139	rdw	right	0.999	5.404	left	30	-9.09	-1	381	0	308	1440	1821	1572	0	117	2826		279.32
78	100	rdw	right	2.251	2.722	left	8	-3.383	-1	366	0	309	1375	1741	1572	0	183	2746		282.159
79	111	rdw	right	0.973	3.878	left	15	-2.704	1	623	0	305	1312	1935	1566	0	242	2941		284.917
80	2	rdw	left	-2.413	2.537	left	6	-6.728	-1	430	0	308	1488	1918	1566	0	67	2922		287.871
81	77	rdw	left	-1.239	4.403	right	19	7.711	1	350	0	307	1462	1812	1560	0	83	2818		290.806
82	46	rdw	left	-1.185	6.479	left	42	-5.232	-1	459	0	309	1516	1975	1561	0	33	2980		293.638
83	187	rdw	right	1.988	5.494	right	30	5.674	1	475	0	308	1377	1852	1576	0	183	2857		296.631
84	191	rdw	right	2.078	6.196	right	38	11.804	1	441	0	309	1518	1959	1574	0	42	2964		299.502
85	85	rdw	left	-1.907	4.917	right	24	2.755	1	545	0	308	1483	2028	1573	0	75	3033		302.479
86	161	rdw	right	1.454	3.202	right	10	2.972	1	766	0	309	1367	2133	1582	0	200	3138		305.526
87	36	rdw	left	-1.917	5.864	left	35	-11.991	-1	619	0	305	1289	1908	1554	0	250	2914		308.671
88	190	rdw	right	2.137	6.102	right	37	2.857	1	409	0	309	1460	1869	1556	0	83	2874		311.598
89	61	rdw	left	-0.973	3.878	right	15	2.704	1	495	0	307	1360	1855	1557	0	183	2860		314.485
90	22	rdw	left	-1.158	4.684	left	22	-3.138	-1	399	0	308	1380	1779	1578	0	183	2784		317.36
91	141	rdw	right	1.575	6.045	left	37	-3.812	-1	496	0	308	1141	1637	1561	0	408	2642		320.158
92	101	rdw	right	0.806	2.319	left	5	-3.749	-1	361	0	309	1311	1672	1566	0	242	2677		322.813
93	33	rdw	left	-2.547	5.207	left	27	-4.706	1	549	0	307	1406	1955	1563	0	142	2960		325.503
94	11	rdw	left	-1.454	3.202	left	10	-2.972	-1	572	0	308	1361	1933	1575	0	200	2938		328.477
95	194	rdw	right	1.816	6.152	right	38	4.335	1	496	0	308	1184	1680	1538	0	342	2685		331.429
96	159	rdw	right	1.71	2.788	right	8	5.391	1	386	0	308	1396	1782	1569	0	158	2787		334.127
97	6	rdw	left	-2.375	2.81	left	8	-5.006	-1	269	1	308	1445	1714	1557	0	100	2720		336.928
98	27	rdw	left	-2.389	4.145	left	17	-3.429	-1	557	0	307	1202	1759	1560	0	342	2764		339.661
99	120	rdw	right	1.926	4.487	left	20	-4.387	-1	462	0	308	1311	1773	1564	0	242	2779		342.439
100	95	iid	left	-1.969	6.295	right	40	10.722	-1	99	0	305	1460	1559	1558	0	83	2564		345.232
101	15	iid	left	-2.085	3.039	left	9	-3.017	-1	290	0	305	1402	1692	1550	0	133	2700		349.717
102	30	iid	left	-1.432	5.195	left	27	-7.161	-1	169	0	309	1515	1684	1571	0	42	2690		352.431
103	158	iid	right	1.147	2.092	right	4	3.873	1	467	1	309	1356	1823	1553	0	183	2828		355.134
104	128	iid	right	0.87	4.088	left	17	-2.599	1	454	0	307	1432	1886	1562	0	117	2891		357.975
