trial	index_traj	path	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	fix_start_time	dot_mvt_start_time	last_dot_time	button_pressed_time	line_cross_time	early_response (t/f)	rest_time	end_time	start_exp_time	time_from_start [ces]
0	95	iid	left	-1.969	6.295	right	40	10.722	-1	344	0	302	1263	1607	1596	1	333	2611	56857.0	60.454
1	15	iid	left	-2.085	3.039	left	9	-3.017	-1	6782	0	302	1555	8337	1643	0	75	9338		63.107
2	30	iid	left	-1.432	5.195	left	27	-7.161	-1	261	0	304	1392	1653	1625	0	225	2655		72.457
3	158	iid	right	1.147	2.092	right	4	3.873	1	220	0	304	1612	1832	1657	0	33	2833		75.125
4	128	iid	right	0.87	4.088	left	17	-2.599	1	302	0	301	1463	1765	1618	0	142	2769		77.969
5	115	iid	right	2.055	3.917	left	16	-5.82	1	305	0	301	1468	1773	1610	0	133	2776		80.745
6	69	iid	left	-2.377	3.329	right	11	2.683	-1	354	0	302	1512	1866	1620	0	92	2868		83.534
7	170	iid	right	2.263	4.205	right	18	3.056	1	347	0	304	1468	1815	1631	0	150	2817		86.415
8	174	iid	right	1.157	4.176	right	17	2.95	1	342	1	304	1464	1806	1620	0	142	2807		89.246
9	45	iid	left	-0.81	6.405	left	41	-10.068	-1	780	0	303	1247	2027	1599	0	342	3029		92.066
10	66	iid	left	-2.091	3.596	right	13	5.348	1	290	0	303	1502	1792	1624	0	108	2794		95.108
11	182	iid	right	2.179	5.057	right	26	5.865	1	630	0	301	1379	2009	1613	0	217	3011		97.91
12	165	iid	right	2.085	3.039	right	9	3.017	1	315	0	304	1531	1846	1620	0	75	2848		100.936
13	78	iid	left	-0.87	4.088	right	17	2.599	-1	210	0	301	1467	1677	1621	0	142	2680		103.791
14	186	iid	right	1.917	5.864	right	35	11.991	1	337	0	303	1311	1648	1615	0	292	2650		106.484
15	177	iid	right	2.389	4.145	right	17	3.429	1	443	0	303	1462	1905	1615	0	142	2906		109.147
16	56	iid	left	-0.974	2.955	right	9	5.179	-1	257	0	302	1520	1777	1610	0	75	2779		112.06
17	152	iid	right	2.413	2.537	right	6	6.728	1	149	0	303	1554	1703	1615	0	50	2708		114.853
18	82	iid	left	-0.915	5.411	right	29	4.576	-1	550	0	302	1357	1907	1611	0	242	2910		117.568
19	68	iid	left	-1.071	3.23	right	10	4.659	1	366	0	303	1534	1900	1634	0	83	2901		120.487
20	124	iid	right	1.906	4.326	left	19	-4.242	-1	474	0	303	1439	1913	1608	0	158	2914		123.403
21	16	iid	left	-1.331	3.134	left	10	-7.001	-1	455	0	301	1525	1980	1623	0	83	2983		126.324
22	148	iid	right	0.971	6.212	left	39	-8.275	1	679	0	301	1268	1947	1602	0	325	2948		129.314
23	93	iid	left	-1.486	6.421	right	41	8.888	1	646	0	301	1253	1899	1606	0	342	2900		132.275
24	65	iid	left	-2.055	3.917	right	16	5.82	-1	301	0	301	1472	1773	1617	0	133	2775		135.184
25	60	iid	left	-0.889	3.379	right	11	3.456	1	199	0	302	1503	1702	1604	0	92	2703		137.966
26	84	iid	left	-1.581	5.468	right	30	3.437	-1	483	0	302	1342	1825	1604	0	250	2827		140.683
27	67	iid	left	-1.011	3.712	right	14	2.576	1	117	0	303	1466	1583	1583	1	117	2586		143.524
28	125	iid	right	1.007	4.726	left	22	-7.396	-1	298	0	303	1397	1695	1597	0	183	2697		146.125
29	132	iid	right	0.915	5.411	left	29	-4.576	1	402	0	302	1365	1767	1617	0	242	2768		148.837
30	9	iid	left	-1.71	2.788	left	8	-5.391	-1	102	0	301	1540	1642	1625	0	67	2643		151.614
31	18	iid	left	-1.853	3.209	left	10	-4.809	1	82	0	302	1523	1605	1606	1	83	2609		154.264
32	55	iid	left	-1.076	2.085	right	4	4.474	-1	38	0	307	1582	1620	1615	1	33	2627		156.888
33	75	iid	left	-1.007	4.726	right	22	7.396	1	247	0	302	1430	1677	1624	0	183	2680		159.522
34	150	iid	right	1.672	2.125	right	5	3.182	-1	108	0	303	1583	1691	1639	0	42	2693		162.215
35	104	iid	right	1.113	2.948	left	9	-2.555	1	69	1	304	1526	1595	1601	1	75	2598		164.923
36	135	iid	right	1.907	4.917	left	24	-2.755	-1	211	0	303	1401	1612	1612	0	200	2613		167.535
37	137	iid	right	1.078	5.502	left	30	-5.305	1	313	0	302	1342	1655	1602	0	250	2656		170.157
38	164	iid	right	2.465	3.163	right	10	5.991	-1	74	1	304	1537	1611	1620	1	83	2614		172.827
39	76	iid	left	-1.794	4.732	right	22	6.096	1	164	0	303	1416	1580	1599	1	183	2581		175.456
40	79	iid	left	-2.149	4.637	right	22	6.019	-1	229	0	301	1406	1635	1600	0	183	2637		178.045
41	197	iid	right	2.158	6.978	right	49	5.806	1	320	0	306	1178	1498	1586	1	408	2499		180.697
42	38	iid	left	-2.822	5.379	left	29	-8.417	-1	149	1	304	1347	1496	1589	1	242	2497		183.212
43	24	iid	left	-1.157	4.176	left	17	-2.95	1	66	0	303	1453	1519	1595	1	142	2520		185.717
44	122	iid	right	1.283	4.911	left	24	-3.587	-1	425	1	302	1396	1821	1606	0	200	2825		188.244
45	195	iid	right	0.81	6.405	right	41	10.068	1	360	0	303	1255	1615	1609	0	342	2617		191.084
46	29	iid	left	-1.621	4.376	left	19	-14.001	-1	243	0	303	1451	1694	1621	0	158	2695		193.717
47	19	iid	left	-1.394	3.481	left	12	-5.649	1	207	0	303	1504	1711	1618	0	100	2713		196.429
48	143	iid	right	1.486	6.421	left	41	-8.888	-1	458	0	302	1261	1719	1615	0	342	2721		199.15
49	86	iid	left	-1.405	5.417	right	29	4.991	-1	482	1	303	1341	1823	1596	0	242	2825		201.886
50	95	rdw	left	-1.969	6.295	right	40	10.722	1	415	0	309	1264	1679	1609	0	333	2684		204.722
51	15	rdw	left	-2.085	3.039	left	9	-3.017	-1	133	0	304	1542	1675	1633	0	75	2677		244.466
52	30	rdw	left	-1.432	5.195	left	27	-7.161	-1	503	0	302	1374	1877	1619	0	225	2879		247.156
53	158	rdw	right	1.147	2.092	right	4	3.873	1	10034	0	304	1576	11610	1621	0	33	12612		250.051
54	128	rdw	right	0.87	4.088	left	17	-2.599	-1	348	0	303	1473	1821	1629	0	142	2824		262.679
55	115	rdw	right	2.055	3.917	left	16	-5.82	-1	376	0	302	1455	1831	1598	0	133	2832		265.512
56	69	rdw	left	-2.377	3.329	right	11	2.683	-1	215	0	304	1523	1738	1629	0	92	2739		268.36
57	170	rdw	right	2.263	4.205	right	18	3.056	1	291	0	301	1445	1736	1609	0	150	2738		271.107
58	174	rdw	right	1.157	4.176	right	17	2.95	-1	303	0	302	1463	1766	1618	0	142	2769		273.854
59	45	rdw	left	-0.81	6.405	left	41	-10.068	1	648	0	302	1264	1912	1617	0	342	2913		276.631
60	66	rdw	left	-2.091	3.596	right	13	5.348	1	449	0	301	1499	1948	1621	0	108	2951		279.553
61	182	rdw	right	2.179	5.057	right	26	5.865	-1	443	0	303	1378	1821	1605	0	217	2824		282.52
62	165	rdw	right	2.085	3.039	right	9	3.017	1	241	0	302	1525	1766	1611	0	75	2768		285.36
63	78	rdw	left	-0.87	4.088	right	17	2.599	1	276	0	303	1480	1756	1635	0	142	2759		288.143
64	186	rdw	right	1.917	5.864	right	35	11.991	-1	466	0	301	1308	1774	1614	0	292	2775		290.911
65	177	rdw	right	2.389	4.145	right	17	3.429	1	300	0	302	1448	1748	1606	0	142	2749		293.696
66	56	rdw	left	-0.974	2.955	right	9	5.179	-1	159	0	302	1530	1689	1620	0	75	2690		296.455
67	152	rdw	right	2.413	2.537	right	6	6.728	1	176	0	303	1550	1726	1611	0	50	2727		299.162
68	82	rdw	left	-0.915	5.411	right	29	4.576	1	374	0	303	1357	1731	1614	0	242	2733		301.906
69	68	rdw	left	-1.071	3.23	right	10	4.659	1	218	0	302	1534	1752	1629	0	83	2758		304.652
70	124	rdw	right	1.906	4.326	left	19	-4.242	-1	339	0	305	1448	1787	1622	0	158	2788		307.418
71	16	rdw	left	-1.331	3.134	left	10	-7.001	-1	234	0	301	1523	1757	1618	0	83	2763		310.214
72	148	rdw	right	0.971	6.212	left	39	-8.275	1	428	0	304	1270	1698	1605	0	325	2700		312.994
73	93	rdw	left	-1.486	6.421	right	41	8.888	1	545	0	303	1252	1797	1606	0	342	2798		315.71
74	65	rdw	left	-2.055	3.917	right	16	5.82	1	293	0	302	1467	1760	1615	0	133	2762		318.517
75	60	rdw	left	-0.889	3.379	right	11	3.456	-1	299	0	303	1523	1822	1629	0	92	2824		321.295
76	84	rdw	left	-1.581	5.468	right	30	3.437	1	139	0	302	1329	1468	1579	1	250	2470		324.132
77	67	rdw	left	-1.011	3.712	right	14	2.576	1	183	0	301	1485	1668	1617	0	117	2670		326.611
78	125	rdw	right	1.007	4.726	left	22	-7.396	-1	102	0	303	1421	1523	1604	1	183	2524		329.294
79	132	rdw	right	0.915	5.411	left	29	-4.576	-1	322	0	301	1344	1666	1605	0	242	2672		331.834
80	9	rdw	left	-1.71	2.788	left	8	-5.391	-1	272	0	302	1540	1812	1622	0	67	2814		334.514
81	18	rdw	left	-1.853	3.209	left	10	-4.809	-1	350	0	303	1527	1877	1623	0	83	2878		337.343
82	55	rdw	left	-1.076	2.085	right	4	4.474	1	205	0	303	1563	1768	1608	0	33	2770		340.238
83	75	rdw	left	-1.007	4.726	right	22	7.396	1	685	0	304	1408	2093	1601	0	183	3094		343.024
84	150	rdw	right	1.672	2.125	right	5	3.182	1	179	0	303	1574	1753	1627	0	42	2755		346.133
85	104	rdw	right	1.113	2.948	left	9	-2.555	1	237	0	301	1527	1764	1616	0	75	2771		348.896
86	135	rdw	right	1.907	4.917	left	24	-2.755	-1	331	0	303	1391	1722	1606	0	200	2724		351.682
87	137	rdw	right	1.078	5.502	left	30	-5.305	1	463	0	304	1361	1824	1623	0	250	2826		354.421
88	164	rdw	right	2.465	3.163	right	10	5.991	1	337	0	304	1540	1877	1633	0	83	2880		357.283
89	76	rdw	left	-1.794	4.732	right	22	6.096	-1	415	0	303	1431	1846	1632	0	183	2850		360.177
90	79	rdw	left	-2.149	4.637	right	22	6.019	1	303	0	303	1426	1729	1621	0	183	2731		363.042
91	197	rdw	right	2.158	6.978	right	49	5.806	-1	689	0	302	1187	1876	1605	0	408	2878		365.782
92	38	rdw	left	-2.822	5.379	left	29	-8.417	-1	637	0	301	1353	1990	1608	0	242	2992		368.667
93	24	rdw	left	-1.157	4.176	left	17	-2.95	-1	250	0	302	1442	1692	1594	0	142	2696		371.673
94	122	rdw	right	1.283	4.911	left	24	-3.587	-1	521	0	303	1389	1910	1602	0	200	2912		374.382
95	195	rdw	right	0.81	6.405	right	41	10.068	1	510	0	301	1249	1759	1603	0	342	2760		377.302
96	29	rdw	left	-1.621	4.376	left	19	-14.001	-1	306	0	305	1431	1737	1607	0	158	2740		380.07
97	19	rdw	left	-1.394	3.481	left	12	-5.649	1	132	0	303	1495	1627	1609	0	100	2629		382.824
98	143	rdw	right	1.486	6.421	left	41	-8.888	-1	465	0	301	1246	1711	1599	0	342	2713		385.461
99	86	rdw	left	-1.405	5.417	right	29	4.991	1	373	0	303	1354	1727	1607	0	242	2730		388.188
100	114	iid	right	1.583	3.228	left	10	-4.674	1	192	1	302	1551	1743	1652	0	83	2758		390.932
101	173	iid	right	2.217	4.012	right	16	3.328	1	265	0	306	1523	1788	1677	0	133	2789		477.809
102	5	iid	left	-2.123	2.129	left	5	-3.169	-1	86	0	301	1616	1702	1676	0	42	2705		480.615
103	126	iid	right	1.794	4.732	left	22	-6.096	1	334	0	303	1423	1757	1616	0	183	2759		483.336
104	117	iid	right	1.011	3.712	left	14	-2.576	1	268	0	302	1488	1756	1617	0	117	2769		486.103
105	73	iid	left	-2.056	4.699	right	22	3.118	1	614	0	304	1438	2052	1631	0	183	3054		488.885
106	140	iid	right	2.17	6.546	left	43	-2.644	1	1133	0	302	1253	2386	1624	0	358	3388		491.946
107	98	iid	left	-0.971	6.212	right	39	8.275	-1	460	0	303	1293	1753	1629	0	325	2755		495.349
108	172	iid	right	1.158	4.684	right	22	3.138	1	266	0	301	1429	1695	1625	0	183	2697		498.112
109	96	iid	left	-1.995	6.028	right	36	3.041	-1	703	0	301	1295	1998	1608	0	300	3000		500.821
110	169	iid	right	1.394	3.481	right	12	5.649	1	249	0	302	1511	1760	1625	0	100	2764		503.829
111	97	iid	left	-1.346	6.31	right	40	3.058	1	1074	0	301	1265	2339	1611	0	333	3341		506.608
112	31	iid	left	-2.689	5.667	left	33	-13.897	-1	727	0	301	1323	2050	1609	0	275	3051		509.966
113	12	iid	left	-1.311	3.437	left	12	-3.281	1	396	0	302	1511	1907	1629	0	100	2909		513.025
114	35	iid	left	-2.32	5.071	left	26	-7.877	-1	411	0	304	1383	1794	1615	0	217	2797		515.949
115	119	iid	right	2.377	3.329	left	11	-2.683	1	158	0	304	1509	1667	1615	0	92	2668		518.761
116	42	iid	left	-1.954	6.647	left	44	-13.663	1	827	0	303	1220	2047	1600	0	367	3049		521.444
117	189	iid	right	2.719	5.571	right	31	10.583	-1	350	0	304	1338	1688	1612	0	258	2690		524.509
118	90	iid	left	-2.17	6.546	right	43	2.644	1	487	0	303	1235	1722	1607	0	358	2729		527.214
119	136	iid	right	1.405	5.417	left	29	-4.991	-1	219	0	302	1352	1571	1594	1	242	2572		529.953
120	51	iid	left	-0.806	2.319	right	5	3.749	1	138	0	303	1572	1710	1634	0	42	2713		532.541
121	127	iid	right	1.239	4.403	left	19	-7.711	-1	222	0	302	1436	1658	1609	0	158	2662		535.267
122	162	iid	right	1.311	3.437	right	12	3.281	1	166	0	302	1502	1668	1621	0	100	2670		537.945
123	41	iid	left	-2.078	6.196	left	38	-11.804	-1	469	0	304	1280	1749	1608	0	317	2751		540.623
124	118	iid	right	1.071	3.23	left	10	-4.659	1	184	0	303	1536	1720	1632	0	83	2721		543.389
125	113	iid	right	1.892	3.745	left	14	-4.613	-1	261	0	302	1481	1742	1612	0	117	2743		546.119
126	26	iid	left	-1.929	4.66	left	22	-8.105	1	471	0	304	1432	1903	1626	0	183	2906		548.902
127	139	iid	right	0.999	5.404	left	30	-9.09	1	449	0	303	1348	1797	1609	0	250	2800		551.822
128	100	iid	right	2.251	2.722	left	8	-3.383	1	205	0	304	1534	1739	1614	0	67	2740		554.638
129	111	iid	right	0.973	3.878	left	15	-2.704	1	200	0	302	1475	1675	1612	0	125	2677		557.389
130	2	iid	left	-2.413	2.537	left	6	-6.728	1	230	0	304	1556	1786	1618	0	50	2789		560.08
131	77	iid	left	-1.239	4.403	right	19	7.711	-1	297	0	303	1433	1730	1607	0	158	2732		562.884
132	46	iid	left	-1.185	6.479	left	42	-5.232	1	678	0	302	1240	1918	1602	0	350	2920		565.631
133	187	iid	right	1.988	5.494	right	30	5.674	-1	400	0	303	1341	1741	1604	0	250	2743		568.567
134	191	iid	right	2.078	6.196	right	38	11.804	1	692	0	302	1281	1973	1611	0	317	2975		571.319
135	85	iid	left	-1.907	4.917	right	24	2.755	-1	382	0	303	1393	1775	1604	0	200	2778		574.309
136	161	iid	right	1.454	3.202	right	10	2.972	1	230	0	304	1530	1760	1628	0	83	2762		577.103
137	36	iid	left	-1.917	5.864	left	35	-11.991	1	641	0	301	1315	1956	1618	0	292	2959		579.873
138	190	iid	right	2.137	6.102	right	37	2.857	-1	459	0	302	1297	1756	1620	0	308	2757		582.84
139	61	iid	left	-0.973	3.878	right	15	2.704	1	119	0	304	1485	1604	1610	1	125	2605		585.612
140	22	iid	left	-1.158	4.684	left	22	-3.138	-1	297	0	304	1420	1717	1614	0	183	2719		588.224
141	141	iid	right	1.575	6.045	left	37	-3.812	1	357	0	304	1283	1640	1602	0	308	2642		590.956
142	101	iid	right	0.806	2.319	left	5	-3.749	1	105	0	303	1553	1658	1607	0	42	2659		593.614
143	33	iid	left	-2.547	5.207	left	27	-4.706	-1	318	0	302	1358	1676	1594	0	225	2678		596.288
144	11	iid	left	-1.454	3.202	left	10	-2.972	1	132	0	303	1514	1646	1613	0	83	2648		598.982
145	194	iid	right	1.816	6.152	right	38	4.335	1	368	0	301	1264	1632	1595	0	317	2634		601.637
146	159	iid	right	1.71	2.788	right	8	5.391	1	142	0	303	1541	1683	1619	0	67	2690		604.287
147	6	iid	left	-2.375	2.81	left	8	-5.006	-1	210	0	301	1583	1792	1675	0	67	2797		606.984
148	27	iid	left	-2.389	4.145	left	17	-3.429	1	362	0	304	1508	1870	1675	0	142	2872		609.797
149	120	iid	right	1.926	4.487	left	20	-4.387	-1	339	0	302	1448	1787	1640	0	167	2788		612.686
150	114	rdw	right	1.583	3.228	left	10	-4.674	-1	308	0	301	1555	1863	1652	0	83	2870		615.488
151	173	rdw	right	2.217	4.012	right	16	3.328	1	202	0	304	1512	1714	1660	0	133	2718		748.466
152	5	rdw	left	-2.123	2.129	left	5	-3.169	-1	70	0	301	1579	1649	1646	0	42	2661		751.199
153	126	rdw	right	1.794	4.732	left	22	-6.096	-1	299	1	310	1463	1762	1657	0	183	2765		753.877
154	117	rdw	right	1.011	3.712	left	14	-2.576	-1	246	0	304	1526	1772	1661	0	117	2774		756.65
155	73	rdw	left	-2.056	4.699	right	22	3.118	1	305	0	303	1421	1726	1625	0	183	2728		759.439
156	140	rdw	right	2.17	6.546	left	43	-2.644	-1	821	0	306	1252	2073	1623	0	358	3075		762.181
157	98	rdw	left	-0.971	6.212	right	39	8.275	1	373	0	304	1281	1654	1614	0	325	2656		765.264
158	172	rdw	right	1.158	4.684	right	22	3.138	1	221	0	303	1404	1625	1595	0	183	2626		767.931
159	96	rdw	left	-1.995	6.028	right	36	3.041	1	303	0	302	1289	1592	1589	1	300	2593		770.565
160	169	rdw	right	1.394	3.481	right	12	5.649	1	97	0	302	1503	1600	1603	1	100	2601		773.166
161	97	rdw	left	-1.346	6.31	right	40	3.058	1	528	0	302	1261	1789	1607	0	333	2792		775.776
162	31	rdw	left	-2.689	5.667	left	33	-13.897	-1	248	0	302	1329	1577	1604	1	275	2578		778.581
163	12	rdw	left	-1.311	3.437	left	12	-3.281	-1	172	0	304	1492	1664	1611	0	100	2665		781.175
164	35	rdw	left	-2.32	5.071	left	26	-7.877	-1	280	0	301	1381	1661	1607	0	217	2666		783.849
165	119	rdw	right	2.377	3.329	left	11	-2.683	1	4026	0	302	1544	5570	1652	0	92	6572		786.523
166	42	rdw	left	-1.954	6.647	left	44	-13.663	-1	759	0	303	1246	2005	1624	0	367	3012		793.103
167	189	rdw	right	2.719	5.571	right	31	10.583	1	299	0	301	1334	1633	1609	0	258	2636		796.124
168	90	rdw	left	-2.17	6.546	right	43	2.644	1	567	0	303	1231	1798	1599	0	358	2800		798.776
169	136	rdw	right	1.405	5.417	left	29	-4.991	-1	273	0	303	1351	1624	1607	0	242	2627		801.588
170	51	rdw	left	-0.806	2.319	right	5	3.749	1	135	0	302	1566	1701	1621	0	42	2708		804.23
171	127	rdw	right	1.239	4.403	left	19	-7.711	-1	275	0	303	1449	1724	1620	0	158	2728		806.947
172	162	rdw	right	1.311	3.437	right	12	3.281	1	133	0	304	1505	1638	1616	0	100	2639		809.691
173	41	rdw	left	-2.078	6.196	left	38	-11.804	-1	390	0	301	1276	1666	1603	0	317	2668		812.338
174	118	rdw	right	1.071	3.23	left	10	-4.659	1	147	0	303	1524	1671	1618	0	83	2672		815.022
175	113	rdw	right	1.892	3.745	left	14	-4.613	1	231	0	303	1488	1719	1619	0	117	2723		817.711
176	26	rdw	left	-1.929	4.66	left	22	-8.105	-1	213	0	303	1415	1628	1610	0	183	2634		820.45
177	139	rdw	right	0.999	5.404	left	30	-9.09	-1	340	0	302	1367	1707	1629	0	250	2709		823.092
178	100	rdw	right	2.251	2.722	left	8	-3.383	1	137	0	303	1533	1670	1614	0	67	2672		825.817
179	111	rdw	right	0.973	3.878	left	15	-2.704	-1	184	0	304	1484	1668	1621	0	125	2670		828.505
180	2	rdw	left	-2.413	2.537	left	6	-6.728	-1	76	0	304	1574	1650	1639	0	50	2654		831.192
181	77	rdw	left	-1.239	4.403	right	19	7.711	1	331	0	304	1443	1774	1615	0	158	2775		833.864
182	46	rdw	left	-1.185	6.479	left	42	-5.232	-1	780	0	302	1258	2038	1621	0	350	3040		836.647
183	187	rdw	right	1.988	5.494	right	30	5.674	1	279	0	302	1343	1622	1608	0	250	2624		839.696
184	191	rdw	right	2.078	6.196	right	38	11.804	1	310	0	302	1272	1582	1589	1	317	2586		842.327
185	85	rdw	left	-1.907	4.917	right	24	2.755	1	712	0	303	1412	2124	1627	0	200	3125		844.93
186	161	rdw	right	1.454	3.202	right	10	2.972	1	123	1	304	1519	1642	1617	0	83	2643		848.062
