trial	index_traj	path	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	fix_start_time	dot_mvt_start_time	last_dot_time	button_pressed_time	line_cross_time	early_response (t/f)	rest_time	end_time	start_exp_time	time_from_start [ces]
0	56	rdw	left	-0.974	2.955	right	9	5.179	1	421	0	302	1495	1916	1586	0	75	2918	48149.0	61.023
1	37	rdw	left	-1.988	5.494	left	30	-5.674	-1	625	0	302	1320	1945	1581	0	250	2946		63.955
2	67	rdw	left	-1.011	3.712	right	14	2.576	1	591	0	301	1450	2041	1578	0	117	3042		66.907
3	79	rdw	left	-2.149	4.637	right	22	6.019	1	712	0	302	1394	2106	1588	0	183	3107		69.954
4	80	rdw	left	-1.134	4.973	right	25	3.726	1	655	0	301	1369	2024	1591	0	208	3026		73.067
5	188	rdw	right	2.822	5.379	right	29	8.417	1	514	0	301	1343	1857	1598	0	242	2858		76.099
6	183	rdw	right	2.547	5.207	right	27	4.706	1	764	0	302	1359	2123	1596	0	225	3124		78.962
7	10	rdw	left	-1.646	3.03	left	9	-6.579	-1	442	0	301	1511	1953	1600	0	75	2955		82.092
8	128	rdw	right	0.87	4.088	left	17	-2.599	-1	648	0	301	1447	2095	1603	0	142	3097		85.053
9	62	rdw	left	-1.05	3.553	right	13	3.169	1	672	0	302	1456	2128	1576	0	108	3129		88.156
10	65	rdw	left	-2.055	3.917	right	16	5.82	1	591	0	301	1435	2026	1579	0	133	3027		91.291
11	17	rdw	left	-2.376	3.95	left	16	-7.381	-1	699	0	302	1432	2131	1579	0	133	3133		94.336
12	133	rdw	right	1.014	5.344	left	29	-3.279	-1	534	0	301	1331	1865	1589	0	242	2866		97.474
13	195	rdw	right	0.81	6.405	right	41	10.068	1	476	0	301	1230	1706	1583	0	342	2708		100.347
14	146	rdw	right	1.995	6.028	left	36	-3.041	1	1234	0	302	1278	2512	1587	0	300	3514		103.06
15	38	rdw	left	-2.822	5.379	left	29	-8.417	-1	799	0	301	1336	2135	1590	0	242	3137		106.58
16	173	rdw	right	2.217	4.012	right	16	3.328	1	467	0	301	1455	1922	1597	0	133	2924		109.723
17	149	rdw	right	1.186	6.295	left	40	-3.668	1	1447	0	302	1240	2687	1582	0	333	3689		112.653
18	93	rdw	left	-1.486	6.421	right	41	8.888	1	557	0	301	1228	1785	1579	0	342	2786		116.347
19	29	rdw	left	-1.621	4.376	left	19	-14.001	-1	413	0	302	1427	1840	1596	0	158	2841		119.14
20	0	rdw	left	-1.672	2.125	left	5	-3.182	-1	574	1	302	1532	2106	1586	0	42	3107		121.987
