trial	index_traj	path	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	fix_start_time	dot_mvt_start_time	last_dot_time	button_pressed_time	line_cross_time	early_response (t/f)	rest_time	end_time	start_exp_time	time_from_start [ces]
0	56	iid	left	-0.974	2.955	right	9	5.179	1	2964	0	303	1513	4477	1600	0	75	5480	35179.0	36.884
1	37	iid	left	-1.988	5.494	left	30	-5.674	1	82	0	303	1322	1404	1572	1	250	2407		42.389
2	67	iid	left	-1.011	3.712	right	14	2.576	-1	327	0	303	1444	1771	1572	0	117	2773		44.81
3	79	iid	left	-2.149	4.637	right	22	6.019	-1	898	0	304	1394	2292	1587	0	183	3294		47.594
4	80	iid	left	-1.134	4.973	right	25	3.726	-1	691	0	304	1377	2068	1596	0	208	3070		50.902
5	188	iid	right	2.822	5.379	right	29	8.417	-1	5110	0	302	1340	6450	1594	0	242	7452		53.986
6	183	iid	right	2.547	5.207	right	27	4.706	1	855	1	303	1345	2200	1582	0	225	3202		61.456
7	10	iid	left	-1.646	3.03	left	9	-6.579	1	2027	0	303	1500	3527	1586	0	75	4530		64.667
8	128	iid	right	0.87	4.088	left	17	-2.599	1	91	0	303	1444	1535	1586	1	142	2537		69.211
9	62	iid	left	-1.05	3.553	right	13	3.169	1	2573	0	303	1478	4051	1596	0	108	5054		71.76
10	65	iid	left	-2.055	3.917	right	16	5.82	1	312	0	303	1443	1755	1588	0	133	2757		76.828
11	17	iid	left	-2.376	3.95	left	16	-7.381	1	3269	0	303	1463	4732	1607	0	133	5734		79.598
12	133	iid	right	1.014	5.344	left	29	-3.279	-1	712	0	301	1334	2046	1585	0	242	3049		85.337
13	195	iid	right	0.81	6.405	right	41	10.068	-1	2199	0	302	1233	3432	1584	0	342	4434		88.4
14	146	iid	right	1.995	6.028	left	36	-3.041	1	1453	0	303	1268	2721	1580	0	300	3723		92.848
15	38	iid	left	-2.822	5.379	left	29	-8.417	-1	1917	0	303	1332	3249	1584	0	242	4251		96.583
16	173	iid	right	2.217	4.012	right	16	3.328	1	2159	0	303	1454	3613	1598	0	133	4615		100.849
17	149	iid	right	1.186	6.295	left	40	-3.668	-1	1097	0	303	1244	2341	1588	0	333	3343		105.478
18	93	iid	left	-1.486	6.421	right	41	8.888	-1	559	0	303	1235	1794	1586	0	342	2796		108.833
19	29	iid	left	-1.621	4.376	left	19	-14.001	-1	679	0	303	1410	2089	1579	0	158	3092		111.643
