trial	index_traj	path	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	fix_start_time	dot_mvt_start_time	last_dot_time	button_pressed_time	line_cross_time	early_response (t/f)	rest_time	end_time	start_exp_time	time_from_start [ces]
0	95	iid	left	-1.969	6.295	right	40	10.722	1	1068	0	301	1233	2301	1576	0	333	3303	70095.0	80.399
1	15	iid	left	-2.085	3.039	left	9	-3.017	-1	1016	0	302	1493	2509	1578	0	75	3512		83.713
2	30	iid	left	-1.432	5.195	left	27	-7.161	-1	424	0	302	1330	1754	1567	0	225	2756		87.229
3	158	iid	right	1.147	2.092	right	4	3.873	1	461	0	302	1546	2007	1589	0	33	3009		89.991
4	128	iid	right	0.87	4.088	left	17	-2.599	1	375	0	303	1437	1812	1589	0	142	2814		93.007
5	115	iid	right	2.055	3.917	left	16	-5.82	1	796	0	302	1431	2227	1573	0	133	3230		95.829
6	69	iid	left	-2.377	3.329	right	11	2.683	-1	785	0	302	1477	2262	1580	0	92	3264		99.064
7	170	iid	right	2.263	4.205	right	18	3.056	1	632	0	303	1416	2048	1577	0	150	3051		102.334
8	174	iid	right	1.157	4.176	right	17	2.95	1	683	0	302	1422	2105	1573	0	142	3108		105.389
9	45	iid	left	-0.81	6.405	left	41	-10.068	-1	509	0	303	1226	1735	1577	0	342	2737		108.502
10	66	iid	left	-2.091	3.596	right	13	5.348	-1	891	0	302	1474	2365	1593	0	108	3367		111.243
11	182	iid	right	2.179	5.057	right	26	5.865	1	1161	0	303	1365	2526	1593	0	217	3528		114.615
12	165	iid	right	2.085	3.039	right	9	3.017	1	651	0	302	1474	2125	1559	0	75	3127		118.147
13	78	iid	left	-0.87	4.088	right	17	2.599	-1	607	0	302	1435	2042	1588	0	142	3044		121.28
14	186	iid	right	1.917	5.864	right	35	11.991	1	1063	0	303	1289	2352	1592	0	292	3355		124.329
15	177	iid	right	2.389	4.145	right	17	3.429	1	600	0	303	1430	2030	1582	0	142	3032		127.69
16	56	iid	left	-0.974	2.955	right	9	5.179	-1	634	0	303	1498	2132	1583	0	75	3135		130.729
17	152	iid	right	2.413	2.537	right	6	6.728	1	890	0	303	1534	2424	1594	0	50	3426		133.869
18	82	iid	left	-0.915	5.411	right	29	4.576	-1	773	0	302	1330	2103	1582	0	242	3104		137.301
19	68	iid	left	-1.071	3.23	right	10	4.659	-1	211	0	302	1495	1706	1587	0	83	2708		140.411
20	124	iid	right	1.906	4.326	left	19	-4.242	-1	1022	0	304	1414	2436	1582	0	158	3438		143.126
21	16	iid	left	-1.331	3.134	left	10	-7.001	-1	783	1	304	1494	2277	1587	0	83	3279		146.572
22	148	iid	right	0.971	6.212	left	39	-8.275	1	1112	0	302	1235	2347	1570	0	325	3349		149.856
23	93	iid	left	-1.486	6.421	right	41	8.888	-1	998	0	303	1221	2219	1575	0	342	3221		153.214
24	65	iid	left	-2.055	3.917	right	16	5.82	-1	943	0	302	1440	2383	1584	0	133	3385		156.44
25	60	iid	left	-0.889	3.379	right	11	3.456	-1	691	0	303	1463	2154	1566	0	92	3157		159.834
26	84	iid	left	-1.581	5.468	right	30	3.437	-1	1276	0	302	1315	2591	1575	0	250	3593		162.999
27	67	iid	left	-1.011	3.712	right	14	2.576	-1	935	1	303	1451	2386	1578	0	117	3388		166.597
28	125	iid	right	1.007	4.726	left	22	-7.396	1	966	0	302	1391	2357	1585	0	183	3358		169.99
29	132	iid	right	0.915	5.411	left	29	-4.576	-1	1793	0	303	1339	3132	1594	0	242	4134		173.357
30	9	iid	left	-1.71	2.788	left	8	-5.391	1	1358	0	301	1503	2861	1581	0	67	3863		177.498
