;noise_lvl;slope;prop_left;acc;RT
0;1.5;-6.0;1.0;1.0;0.216
1;1.5;-4.0;1.0;1.0;0.123
2;1.5;-2.0;1.0;1.0;0.084
3;1.5;-1.0;1.0;1.0;0.11425
4;1.5;-0.5;0.75;0.75;0.1525
5;1.5;0.0;0.0;0.0;0.1796
6;1.5;0.5;0.25;0.75;0.22162500000000002
7;1.5;1.0;0.1111111111111111;0.8888888888888888;0.16005555555555553
8;1.5;1.5;0.0;1.0;0.199
9;1.5;2.0;0.0;1.0;0.181
10;1.5;4.0;0.0;1.0;0.186
11;1.5;6.0;0.0;1.0;0.078
12;3.0;-6.0;1.0;1.0;0.09
13;3.0;-4.0;1.0;1.0;0.271
14;3.0;-2.5;1.0;1.0;0.12925
15;3.0;-2.0;0.4;0.4;0.221
16;3.0;-1.5;0.5;0.5;0.13825
17;3.0;-1.0;0.75;0.75;0.07875
18;3.0;-0.5;0.5;0.5;0.14350000000000002
19;3.0;0.0;0.5;0.0;0.2375
20;3.0;0.5;0.5;0.5;0.242
21;3.0;1.0;0.14285714285714285;0.8571428571428571;0.22942857142857145
22;3.0;1.5;0.3333333333333333;0.6666666666666666;0.22533333333333336
23;3.0;2.0;0.0;1.0;0.25333333333333335
24;3.0;4.0;0.0;1.0;0.1975
25;3.0;6.0;0.0;1.0;0.107
26;4.5;-6.0;1.0;1.0;0.203
27;4.5;-4.0;1.0;1.0;0.2215
28;4.5;-3.0;1.0;1.0;0.098
29;4.5;-2.5;0.0;0.0;0.217
30;4.5;-2.0;0.75;0.75;0.2415
31;4.5;-1.5;0.6;0.6;0.238
32;4.5;-1.0;0.6;0.6;0.1926
33;4.5;-0.5;0.0;0.0;0.299
34;4.5;0.0;0.0;0.0;0.20400000000000001
35;4.5;0.5;0.75;0.25;0.211
36;4.5;1.0;0.25;0.75;0.18653124999999998
37;4.5;1.5;0.0;1.0;0.21075
38;4.5;2.0;0.0;1.0;0.218
39;4.5;4.0;0.0;1.0;0.103
40;4.5;6.0;0.0;1.0;0.127
41;6.0;-6.0;1.0;1.0;0.151
42;6.0;-4.0;1.0;1.0;0.2668333333333333
43;6.0;-3.5;0.8571428571428571;0.8571428571428571;0.22100000000000003
44;6.0;-3.0;0.6666666666666666;0.6666666666666666;0.2222222222222222
45;6.0;-2.5;0.5;0.5;0.20800000000000002
46;6.0;-2.0;0.0;0.0;0.28900000000000003
47;6.0;-1.5;0.0;0.0;0.129
48;6.0;-1.0;0.8333333333333334;0.8333333333333334;0.17308333333333334
49;6.0;-0.5;0.3333333333333333;0.3333333333333333;0.231
50;6.0;0.0;0.0;0.0;0.033
51;6.0;2.0;0.0;1.0;0.283
52;6.0;4.0;0.0;1.0;0.148
53;6.0;6.0;0.0;1.0;0.071
