;noise_lvl;slope;prop_left;acc;RT
0;1.5;-6.0;1.0;1.0;0.644
1;1.5;-4.0;1.0;1.0;0.545
2;1.5;-2.0;1.0;1.0;0.546
3;1.5;-1.0;1.0;1.0;0.6315833333333333
4;1.5;-0.5;1.0;1.0;0.5688333333333333
5;1.5;0.0;0.8571428571428571;0.0;0.7297857142857141
6;1.5;0.5;0.2;0.8;0.6967000000000001
7;1.5;1.0;0.125;0.875;0.6428750000000001
8;1.5;1.5;0.0;1.0;0.636
9;1.5;2.0;0.0;1.0;0.483
10;1.5;4.0;0.0;1.0;0.462
11;1.5;6.0;0.0;1.0;0.416
12;3.0;-6.0;1.0;1.0;0.627
13;3.0;-4.0;1.0;1.0;1.186
14;3.0;-2.0;1.0;1.0;0.641
15;3.0;-1.5;0.8888888888888888;0.8888888888888888;0.7914444444444445
16;3.0;-1.0;0.7142857142857143;0.7142857142857143;0.7155714285714286
17;3.0;-0.5;0.5;0.5;0.7506666666666666
18;3.0;0.0;0.3333333333333333;0.0;0.7680000000000001
19;3.0;2.0;0.0;1.0;0.722
20;3.0;4.0;0.0;1.0;0.556
21;3.0;6.0;0.0;1.0;0.363
22;4.5;-6.0;1.0;1.0;0.615
23;4.5;-4.0;1.0;1.0;0.772
24;4.5;-2.5;1.0;1.0;0.79075
25;4.5;-2.0;0.875;0.875;0.8202499999999999
26;4.5;-1.5;0.6363636363636364;0.6363636363636364;0.8384545454545456
27;4.5;-1.0;0.2857142857142857;0.2857142857142857;0.7670714285714285
28;4.5;0.0;0.3333333333333333;0.0;0.8946666666666667
29;4.5;0.5;0.0;1.0;0.67575
30;4.5;1.0;0.0;1.0;0.8785000000000001
31;4.5;2.0;0.0;1.0;0.836
32;4.5;4.0;0.0;1.0;0.313
33;4.5;6.0;0.0;1.0;0.295
34;6.0;-6.0;1.0;1.0;0.546
35;6.0;-4.0;1.0;1.0;0.7224999999999999
36;6.0;-3.5;0.6666666666666666;0.6666666666666666;0.5813333333333334
37;6.0;-3.0;0.3333333333333333;0.3333333333333333;0.7596666666666668
38;6.0;-2.5;0.6666666666666666;0.6666666666666666;1.0493333333333332
39;6.0;-2.0;0.3333333333333333;0.3333333333333333;0.7825000000000001
40;6.0;-1.5;0.0;0.0;1.032
41;6.0;-1.0;0.6666666666666666;0.6666666666666666;0.8250000000000001
42;6.0;-0.5;0.3333333333333333;0.3333333333333333;0.5483333333333333
43;6.0;0.0;0.3333333333333333;0.0;0.7873333333333333
44;6.0;0.5;0.0;1.0;1.1935
45;6.0;1.0;0.3333333333333333;0.6666666666666666;0.9676666666666667
46;6.0;1.5;0.3333333333333333;0.6666666666666666;1.1073333333333333
47;6.0;2.0;0.0;1.0;0.6173333333333334
48;6.0;4.0;0.0;1.0;0.623
49;6.0;6.0;0.0;1.0;0.38
