;noise_lvl;slope;prop_left;acc;RT
0;1.5;-6.0;1.0;1.0;0.396
1;1.5;-4.0;1.0;1.0;0.351
2;1.5;-2.0;1.0;1.0;0.527
3;1.5;-1.5;0.8;0.8;0.5088
4;1.5;-1.0;0.75;0.75;0.542125
5;1.5;-0.5;1.0;1.0;0.47875
6;1.5;0.0;0.75;0.0;0.49050000000000005
7;1.5;0.5;0.0;1.0;0.5549999999999999
8;1.5;1.0;0.25;0.75;0.46975
9;1.5;1.5;0.3333333333333333;0.6666666666666666;0.48233333333333334
10;1.5;2.0;0.0;1.0;0.44966666666666666
11;1.5;4.0;0.0;1.0;0.4
12;1.5;6.0;0.0;1.0;0.485
13;3.0;-6.0;1.0;1.0;0.421
14;3.0;-4.0;1.0;1.0;0.393
15;3.0;-2.0;1.0;1.0;0.771
16;3.0;-1.5;1.0;1.0;0.4735
17;3.0;-1.0;0.75;0.75;0.491625
18;3.0;-0.5;0.5;0.5;0.47400000000000003
19;3.0;0.0;1.0;0.0;0.737
20;3.0;1.0;1.0;0.0;0.498
21;3.0;1.5;0.2;0.8;0.4328
22;3.0;2.0;0.2857142857142857;0.7142857142857143;0.6057142857142858
23;3.0;2.5;0.0;1.0;0.45475
24;3.0;4.0;0.0;1.0;0.284
25;3.0;6.0;0.0;1.0;0.249
26;4.5;-6.0;1.0;1.0;0.585
27;4.5;-4.0;1.0;1.0;0.378
28;4.5;-2.0;1.0;1.0;0.4628
29;4.5;-1.5;0.6;0.6;0.5858
30;4.5;-1.0;0.75;0.75;0.5217499999999999
31;4.5;-0.5;1.0;1.0;0.6585
32;4.5;0.0;0.6666666666666666;0.0;0.5843333333333333
33;4.5;1.0;1.0;0.0;0.516
34;4.5;1.5;0.6666666666666666;0.3333333333333333;0.5723333333333334
35;4.5;2.0;0.125;0.875;0.46275
36;4.5;2.5;0.0;1.0;0.497
37;4.5;4.0;0.0;1.0;0.5135000000000001
38;4.5;6.0;0.0;1.0;0.372
39;6.0;-6.0;1.0;1.0;0.433
40;6.0;-4.0;1.0;1.0;0.46
41;6.0;-2.0;1.0;1.0;0.568
42;6.0;0.0;0.0;0.0;0.47450000000000003
43;6.0;1.0;1.0;0.0;0.6964999999999999
44;6.0;1.5;0.4444444444444444;0.5555555555555556;0.6686666666666666
45;6.0;2.0;0.2;0.8;0.7106
46;6.0;2.5;0.2;0.8;0.5986
47;6.0;3.0;0.3333333333333333;0.6666666666666666;0.7923333333333332
48;6.0;3.5;0.0;1.0;0.5720000000000001
49;6.0;4.0;0.0;1.0;0.573
50;6.0;6.0;0.0;1.0;0.224
