;noise_lvl;slope;prop_left;acc;RT
0;1.5;-6.0;1.0;1.0;0.361
1;1.5;-4.0;1.0;1.0;0.436
2;1.5;-2.0;1.0;1.0;0.464
3;1.5;-1.0;1.0;1.0;0.48930000000000007
4;1.5;-0.5;1.0;1.0;0.33375
5;1.5;0.0;0.75;0.0;0.4284375
6;1.5;0.5;0.0;1.0;0.5609375
7;1.5;1.0;0.0;1.0;0.4863333333333333
8;1.5;2.0;0.0;1.0;0.4675
9;1.5;4.0;0.0;1.0;0.38
10;1.5;6.0;0.0;1.0;0.654
11;3.0;-6.0;1.0;1.0;0.485
12;3.0;-4.0;1.0;1.0;0.668
13;3.0;-2.0;1.0;1.0;0.825
14;3.0;-1.0;1.0;1.0;0.4135
15;3.0;-0.5;1.0;1.0;0.56725
16;3.0;0.0;0.75;0.0;0.55675
17;3.0;0.5;0.2857142857142857;0.7142857142857143;0.5852857142857143
18;3.0;1.0;0.1;0.9;0.4495
19;3.0;1.5;0.3333333333333333;0.6666666666666666;0.503
20;3.0;2.0;0.0;1.0;0.43133333333333335
21;3.0;4.0;0.0;1.0;0.34
22;3.0;6.0;0.0;1.0;0.476
23;4.5;-6.0;1.0;1.0;0.524
24;4.5;-4.0;1.0;1.0;0.465
25;4.5;-2.0;1.0;1.0;0.445
26;4.5;-1.0;1.0;1.0;0.54975
27;4.5;-0.5;1.0;1.0;0.45725
28;4.5;0.0;0.7142857142857143;0.0;0.5532857142857143
29;4.5;0.5;0.0;1.0;0.5095
30;4.5;1.0;0.2222222222222222;0.7777777777777778;0.5667777777777778
31;4.5;1.5;0.0;1.0;0.6092500000000001
32;4.5;2.0;0.0;1.0;0.419
33;4.5;4.0;0.0;1.0;0.447
34;4.5;6.0;0.0;1.0;0.365
35;6.0;-6.0;1.0;1.0;0.61
36;6.0;-4.0;1.0;1.0;0.455
37;6.0;-2.0;1.0;1.0;0.406
38;6.0;-1.5;1.0;1.0;0.927
39;6.0;-1.0;0.8;0.8;0.5008
40;6.0;-0.5;1.0;1.0;0.5935
41;6.0;0.0;0.2;0.0;0.5702
42;6.0;0.5;0.25;0.75;0.4555
43;6.0;1.0;0.375;0.625;0.6447499999999999
44;6.0;1.5;0.0;1.0;0.5461666666666667
45;6.0;2.0;0.0;1.0;0.529
46;6.0;4.0;0.0;1.0;0.363
47;6.0;6.0;0.0;1.0;0.127
