;noise_lvl;slope;prop_left;acc;RT
0;1.5;-6.0;1.0;1.0;0.721
1;1.5;-4.0;1.0;1.0;0.551
2;1.5;-2.0;1.0;1.0;0.489
3;1.5;0.0;0.3333333333333333;0.0;0.5633333333333334
4;1.5;0.5;0.5;0.5;0.553
5;1.5;1.0;0.2857142857142857;0.7142857142857143;0.5884285714285714
6;1.5;1.5;0.125;0.875;0.677375
7;1.5;2.0;0.25;0.75;0.5295
8;1.5;2.5;0.0;1.0;0.8285
9;1.5;4.0;0.0;1.0;0.438
10;1.5;6.0;0.0;1.0;0.8
11;3.0;-6.5;1.0;1.0;0.5535
12;3.0;-6.0;0.6666666666666666;0.6666666666666666;0.5346666666666667
13;3.0;-5.5;1.0;1.0;0.7785
14;3.0;-5.0;1.0;1.0;0.652
15;3.0;-4.5;1.0;1.0;0.7090000000000001
16;3.0;-4.0;1.0;1.0;0.536
17;3.0;-3.5;1.0;1.0;0.5609999999999999
18;3.0;-3.0;1.0;1.0;0.8085
19;3.0;-2.5;0.0;0.0;0.859
20;3.0;0.0;1.0;0.0;0.748
21;3.0;0.5;0.75;0.25;0.64375
22;3.0;1.0;0.1;0.9;0.6538999999999999
23;3.0;1.5;0.0;1.0;0.7905
24;3.0;2.0;0.0;1.0;0.514
25;3.0;4.0;0.0;1.0;0.383
26;3.0;6.0;0.0;1.0;0.461
27;4.5;-6.0;1.0;1.0;0.502
28;4.5;-4.0;1.0;1.0;0.825
29;4.5;-2.0;1.0;1.0;0.614
30;4.5;-1.5;0.75;0.75;0.6885
31;4.5;-1.0;0.75;0.75;0.6775
32;4.5;-0.5;1.0;1.0;0.6167499999999999
33;4.5;0.0;0.75;0.0;0.712
34;4.5;0.5;0.25;0.75;0.65425
35;4.5;1.0;0.42857142857142855;0.5714285714285714;0.6033571428571428
36;4.5;1.5;0.5;0.5;0.75175
37;4.5;2.0;0.0;1.0;0.63525
38;4.5;4.0;0.0;1.0;0.628
39;4.5;6.0;0.0;1.0;0.404
40;6.0;-6.0;1.0;1.0;0.513
41;6.0;-4.5;1.0;1.0;0.9523333333333334
42;6.0;-4.0;0.5;0.5;0.794
43;6.0;-3.5;0.5;0.5;0.738
44;6.0;-3.0;0.8;0.8;0.6372
45;6.0;-2.5;0.25;0.25;0.71875
46;6.0;-2.0;0.0;0.0;0.215
47;6.0;3.5;0.5;0.5;0.605
48;6.0;4.0;0.4444444444444444;0.5555555555555556;0.9832222222222222
49;6.0;4.5;0.0;1.0;0.8748750000000001
50;6.0;6.0;0.0;1.0;0.833
