;noise_lvl;slope;prop_left;acc;RT
0;1.5;-6.0;1.0;1.0;0.391
1;1.5;-4.0;1.0;1.0;0.431
2;1.5;-2.0;1.0;1.0;0.311
3;1.5;-1.5;1.0;1.0;0.3615
4;1.5;-1.0;0.8;0.8;0.5067
5;1.5;-0.5;1.0;1.0;0.48
6;1.5;0.0;0.4;0.0;0.5016
7;1.5;0.5;0.2;0.8;0.44495000000000007
8;1.5;1.0;0.0;1.0;0.5017
9;1.5;2.0;0.0;1.0;0.379
10;1.5;4.0;0.0;1.0;0.528
11;1.5;6.0;0.0;1.0;0.372
12;3.0;-6.0;1.0;1.0;0.38
13;3.0;-4.0;1.0;1.0;0.449
14;3.0;-2.0;1.0;1.0;0.408
15;3.0;-1.5;1.0;1.0;0.508
16;3.0;-1.0;0.6666666666666666;0.6666666666666666;0.5276666666666666
17;3.0;-0.5;1.0;1.0;0.459
18;3.0;0.0;0.5;0.0;0.6302500000000001
19;3.0;0.5;0.0;1.0;0.5307142857142858
20;3.0;1.0;0.2;0.8;0.5425
21;3.0;1.5;0.0;1.0;0.533
22;3.0;2.0;0.0;1.0;0.303
23;3.0;4.0;0.0;1.0;0.412
24;3.0;6.0;0.0;1.0;0.291
25;4.5;-6.0;1.0;1.0;0.24
26;4.5;-4.0;1.0;1.0;0.29
27;4.5;-2.0;1.0;1.0;0.349
28;4.5;-1.0;1.0;1.0;0.5965
29;4.5;-0.5;1.0;1.0;0.9415
30;4.5;0.0;1.0;0.0;0.5395
31;4.5;0.5;1.0;0.0;0.946
32;4.5;1.0;0.6;0.4;0.6455
33;4.5;1.5;0.42857142857142855;0.5714285714285714;0.5758571428571428
34;4.5;2.0;0.4444444444444444;0.5555555555555556;0.5006111111111111
35;4.5;2.5;0.14285714285714285;0.8571428571428571;0.4477142857142858
36;4.5;4.0;0.0;1.0;0.531
37;4.5;6.0;0.0;1.0;0.084
38;6.0;-6.0;1.0;1.0;0.85
39;6.0;-4.5;1.0;1.0;0.684
40;6.0;-4.0;0.6666666666666666;0.6666666666666666;0.3516666666666666
41;6.0;-3.5;1.0;1.0;0.41100000000000003
42;6.0;-3.0;0.6666666666666666;0.6666666666666666;0.631
43;6.0;-2.5;1.0;1.0;0.415
44;6.0;-2.0;1.0;1.0;0.453
45;6.0;-1.5;1.0;1.0;0.36150000000000004
46;6.0;-1.0;1.0;1.0;0.396
47;6.0;0.0;0.0;0.0;0.489
48;6.0;1.0;1.0;0.0;0.9410000000000001
49;6.0;1.5;0.4;0.6;0.8852
50;6.0;2.0;0.4;0.6;0.5846
51;6.0;2.5;0.3333333333333333;0.6666666666666666;0.902
52;6.0;3.0;0.0;1.0;1.0194999999999999
53;6.0;4.0;0.0;1.0;1.045
54;6.0;6.0;0.0;1.0;0.5495
