;noise_lvl;slope;prop_left;acc;RT
0;1.5;-6.0;1.0;1.0;0.408
1;1.5;-4.0;1.0;1.0;0.461
2;1.5;-2.0;1.0;1.0;0.375
3;1.5;-1.5;1.0;1.0;0.5035
4;1.5;-1.0;0.75;0.75;0.41600000000000004
5;1.5;-0.5;0.6666666666666666;0.6666666666666666;0.4166666666666667
6;1.5;0.0;0.6666666666666666;0.0;0.496
7;1.5;0.5;0.6666666666666666;0.3333333333333333;0.48433333333333334
8;1.5;1.0;0.2222222222222222;0.7777777777777778;0.46900000000000003
9;1.5;1.5;0.0;1.0;0.47850000000000004
10;1.5;2.0;0.0;1.0;0.53
11;1.5;4.0;0.0;1.0;0.485
12;1.5;6.0;0.0;1.0;0.351
13;3.0;-6.0;1.0;1.0;0.398
14;3.0;-4.0;1.0;1.0;0.443
15;3.0;-2.0;1.0;1.0;0.456
16;3.0;-1.5;0.0;0.0;0.952
17;3.0;-1.0;0.8;0.8;0.4234
18;3.0;-0.5;0.6666666666666666;0.6666666666666666;0.7083333333333334
19;3.0;0.0;1.0;0.0;0.520125
20;3.0;0.5;0.0;1.0;0.452
21;3.0;1.0;0.3333333333333333;0.6666666666666666;0.47550000000000003
22;3.0;1.5;0.2857142857142857;0.7142857142857143;0.5287857142857143
23;3.0;2.0;0.0;1.0;0.398
24;3.0;4.0;0.0;1.0;0.383
25;3.0;6.0;0.0;1.0;0.331
26;4.5;-6.0;1.0;1.0;0.403
27;4.5;-4.0;1.0;1.0;0.368
28;4.5;-2.0;1.0;1.0;0.457
29;4.5;0.0;0.3333333333333333;0.0;0.7506666666666667
30;4.5;0.5;0.5;0.5;0.72475
31;4.5;1.0;0.21428571428571427;0.7857142857142857;0.4873571428571429
32;4.5;1.5;0.14285714285714285;0.8571428571428571;0.6082857142857143
33;4.5;2.0;0.0;1.0;0.8703333333333334
34;4.5;4.0;0.0;1.0;0.26
35;4.5;6.0;0.0;1.0;0.381
36;6.0;-6.0;1.0;1.0;0.379
37;6.0;-4.5;1.0;1.0;0.43274999999999997
38;6.0;-4.0;0.6666666666666666;0.6666666666666666;0.5325000000000001
39;6.0;-3.5;1.0;1.0;0.437
40;6.0;-3.0;0.6666666666666666;0.6666666666666666;0.4851666666666666
41;6.0;-2.5;1.0;1.0;0.4595
42;6.0;-2.0;1.0;1.0;0.37175
43;6.0;-1.5;1.0;1.0;0.336
44;6.0;-1.0;1.0;1.0;0.351
45;6.0;0.0;1.0;0.0;0.229
46;6.0;1.0;1.0;0.0;0.37
47;6.0;1.5;0.4;0.6;0.5526
48;6.0;2.0;0.16666666666666666;0.8333333333333334;0.5886666666666667
49;6.0;2.5;0.3333333333333333;0.6666666666666666;0.35333333333333333
50;6.0;3.0;0.0;1.0;0.2565
51;6.0;4.0;0.0;1.0;0.547
52;6.0;6.0;0.0;1.0;0.365
