;noise_lvl;slope;prop_left;acc;RT
0;1.5;-6.0;1.0;1.0;0.422
1;1.5;-4.0;1.0;1.0;0.499
2;1.5;-2.0;1.0;1.0;0.46466666666666673
3;1.5;-1.5;0.6666666666666666;0.6666666666666666;0.5276666666666666
4;1.5;-1.0;0.9230769230769231;0.9230769230769231;0.5518076923076923
5;1.5;-0.5;0.9;0.9;0.5919000000000001
6;1.5;0.0;1.0;0.0;0.6026666666666667
7;1.5;2.0;0.0;1.0;0.584
8;1.5;4.0;0.0;1.0;0.5645
9;1.5;6.0;0.0;1.0;0.59
10;3.0;-6.0;1.0;1.0;0.489
11;3.0;-4.0;1.0;1.0;0.5
12;3.0;-2.0;1.0;1.0;0.465
13;3.0;-1.5;1.0;1.0;0.562
14;3.0;-1.0;0.9090909090909091;0.9090909090909091;0.6375454545454545
15;3.0;-0.5;0.6666666666666666;0.6666666666666666;0.517888888888889
16;3.0;0.0;0.75;0.0;0.53925
17;3.0;0.5;1.0;0.0;0.684
18;3.0;1.0;0.3333333333333333;0.6666666666666666;0.5873333333333334
19;3.0;1.5;0.5;0.5;0.681
20;3.0;2.0;0.0;1.0;0.5373333333333333
21;3.0;4.0;0.0;1.0;0.596
22;3.0;6.0;0.0;1.0;0.504
23;4.5;-6.0;1.0;1.0;0.488
24;4.5;-4.0;1.0;1.0;0.513
25;4.5;-2.0;1.0;1.0;0.5126666666666667
26;4.5;-1.5;0.625;0.625;0.5982500000000001
27;4.5;-1.0;0.0;0.0;0.5383333333333333
28;4.5;0.0;0.6666666666666666;0.0;0.5866666666666668
29;4.5;0.5;0.3333333333333333;0.6666666666666666;0.5666666666666667
30;4.5;1.0;0.3333333333333333;0.6666666666666666;0.64
31;4.5;1.5;0.25;0.75;0.612
32;4.5;2.0;0.0;1.0;0.5553333333333333
33;4.5;4.0;0.0;1.0;0.409
34;4.5;6.0;0.0;1.0;0.664
35;6.0;-6.0;1.0;1.0;0.618
36;6.0;-4.0;1.0;1.0;0.5925
37;6.0;-2.0;1.0;1.0;0.389
38;6.0;-1.0;1.0;1.0;0.5952500000000001
39;6.0;-0.5;1.0;1.0;0.5840000000000001
40;6.0;0.0;0.75;0.0;0.6205
41;6.0;0.5;1.0;0.0;0.684
42;6.0;1.0;0.4;0.6;0.5664
43;6.0;1.5;0.5;0.5;0.7090000000000001
44;6.0;2.0;0.4;0.6;0.5706
45;6.0;2.5;0.3333333333333333;0.6666666666666666;0.5573333333333333
46;6.0;3.0;0.3333333333333333;0.6666666666666666;0.5405000000000001
47;6.0;3.5;0.0;1.0;0.49050000000000005
48;6.0;4.0;0.0;1.0;0.524
49;6.0;6.0;0.0;1.0;0.5925
