# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	exept_prop_left_lv	acc_lv
17	56	iid	LR	different	iid_different	left	-0.974	2.955	right	9	5.179	-1	1	0.101	1	1
17	37	iid	LL	same	iid_same	left	-1.988	5.494	left	30	-5.674	1	0	0.335	1	0
17	67	iid	LR	different	iid_different	left	-1.011	3.712	right	14	2.576	1	0	0.134	1	0
17	79	iid	LR	different	iid_different	left	-2.149	4.637	right	22	6.019	1	0	0.107	1	0
17	80	iid	LR	different	iid_different	left	-1.134	4.973	right	25	3.726	-1	1	0.266	1	1
17	188	iid	RR	same	iid_same	right	2.822	5.379	right	29	8.417	1	0	0.293	0	1
17	183	iid	RR	same	iid_same	right	2.547	5.207	right	27	4.706	1	0	0.244	0	1
17	10	iid	LL	same	iid_same	left	-1.646	3.03	left	9	-6.579	-1	1	0.017	1	1
17	128	iid	RL	different	iid_different	right	0.87	4.088	left	17	-2.599	-1	1	0.107	0	0
17	62	iid	LR	different	iid_different	left	-1.05	3.553	right	13	3.169	-1	1	0.113	1	1
17	65	iid	LR	different	iid_different	left	-2.055	3.917	right	16	5.82	1	0	0.274	1	0
17	17	iid	LL	same	iid_same	left	-2.376	3.95	left	16	-7.381	1	0	0.152	1	0
17	133	iid	RL	different	iid_different	right	1.014	5.344	left	29	-3.279	-1	1	0.328	0	0
17	195	iid	RR	same	iid_same	right	0.81	6.405	right	41	10.068	1	0	0.212	0	1
17	146	iid	RL	different	iid_different	right	1.995	6.028	left	36	-3.041	-1	1	0.244	0	0
17	38	iid	LL	same	iid_same	left	-2.822	5.379	left	29	-8.417	-1	1	0.165	1	1
17	173	iid	RR	same	iid_same	right	2.217	4.012	right	16	3.328	-1	1	0.014	0	0
17	149	iid	RL	different	iid_different	right	1.186	6.295	left	40	-3.668	-1	1	0.21	0	0
17	93	iid	LR	different	iid_different	left	-1.486	6.421	right	41	8.888	1	0	0.352	1	0
17	29	iid	LL	same	iid_same	left	-1.621	4.376	left	19	-14.001	1	0	0.048	1	0
17	0	iid	LL	same	iid_same	left	-1.672	2.125	left	5	-3.182	1	0	0.156	1	0
17	2	iid	LL	same	iid_same	left	-2.413	2.537	left	6	-6.728	-1	1	0.22	1	1
17	122	iid	RL	different	iid_different	right	1.283	4.911	left	24	-3.587	-1	1	0.069	0	0
17	180	iid	RR	same	iid_same	right	1.432	5.195	right	27	7.161	1	0	0.282	0	1
17	95	iid	LR	different	iid_different	left	-1.969	6.295	right	40	10.722	1	0	0.303	1	0
17	121	iid	RL	different	iid_different	right	1.764	4.73	left	22	-2.728	1	0	0.231	0	1
17	185	iid	RR	same	iid_same	right	2.32	5.071	right	26	7.877	1	0	0.218	0	1
17	39	iid	LL	same	iid_same	left	-2.719	5.571	left	31	-10.583	-1	1	0.24	1	1
