# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	exept_prop_left_lv	acc_lv
18	56	iid	LR	different	iid_different	left	-0.974	2.955	right	9	5.179	-1	1	0.456	1	1
18	37	iid	LL	same	iid_same	left	-1.988	5.494	left	30	-5.674	-1	1	0.553	1	1
18	67	iid	LR	different	iid_different	left	-1.011	3.712	right	14	2.576	-1	1	0.332	1	1
18	79	iid	LR	different	iid_different	left	-2.149	4.637	right	22	6.019	-1	1	0.335	1	1
18	80	iid	LR	different	iid_different	left	-1.134	4.973	right	25	3.726	1	0	0.311	1	0
18	188	iid	RR	same	iid_same	right	2.822	5.379	right	29	8.417	1	0	0.312	0	1
18	183	iid	RR	same	iid_same	right	2.547	5.207	right	27	4.706	1	0	0.249	0	1
18	10	iid	LL	same	iid_same	left	-1.646	3.03	left	9	-6.579	-1	1	0.251	1	1
18	128	iid	RL	different	iid_different	right	0.87	4.088	left	17	-2.599	1	0	0.115	0	1
18	62	iid	LR	different	iid_different	left	-1.05	3.553	right	13	3.169	1	0	0.54	1	0
18	65	iid	LR	different	iid_different	left	-2.055	3.917	right	16	5.82	-1	1	0.336	1	1
18	17	iid	LL	same	iid_same	left	-2.376	3.95	left	16	-7.381	-1	1	0.236	1	1
18	133	iid	RL	different	iid_different	right	1.014	5.344	left	29	-3.279	1	0	0.287	0	1
18	195	iid	RR	same	iid_same	right	0.81	6.405	right	41	10.068	1	0	0.663	0	1
18	146	iid	RL	different	iid_different	right	1.995	6.028	left	36	-3.041	1	0	0.391	0	1
18	38	iid	LL	same	iid_same	left	-2.822	5.379	left	29	-8.417	1	0	0.489	1	0
18	173	iid	RR	same	iid_same	right	2.217	4.012	right	16	3.328	1	0	0.141	0	1
18	149	iid	RL	different	iid_different	right	1.186	6.295	left	40	-3.668	1	0	0.428	0	1
18	93	iid	LR	different	iid_different	left	-1.486	6.421	right	41	8.888	1	0	0.452	1	0
18	29	iid	LL	same	iid_same	left	-1.621	4.376	left	19	-14.001	-1	1	0.199	1	1
18	0	iid	LL	same	iid_same	left	-1.672	2.125	left	5	-3.182	-1	1	0.166	1	1
18	2	iid	LL	same	iid_same	left	-2.413	2.537	left	6	-6.728	-1	1	0.154	1	1
18	122	iid	RL	different	iid_different	right	1.283	4.911	left	24	-3.587	1	0	0.45	0	1
18	180	iid	RR	same	iid_same	right	1.432	5.195	right	27	7.161	1	0	0.468	0	1
18	95	iid	LR	different	iid_different	left	-1.969	6.295	right	40	10.722	1	0	0.514	1	0
18	121	iid	RL	different	iid_different	right	1.764	4.73	left	22	-2.728	1	0	0.33	0	1
18	185	iid	RR	same	iid_same	right	2.32	5.071	right	26	7.877	1	0	0.347	0	1
18	39	iid	LL	same	iid_same	left	-2.719	5.571	left	31	-10.583	1	0	0.4685	1	0
18	66	iid	LR	different	iid_different	left	-2.091	3.596	right	13	5.348	-1	1	0.552	1	1
18	19	iid	LL	same	iid_same	left	-1.394	3.481	left	12	-5.649	-1	1	0.561	1	1
18	11	iid	LL	same	iid_same	left	-1.454	3.202	left	10	-2.972	-1	1	0.517	1	1
18	45	iid	LL	same	iid_same	left	-0.81	6.405	left	41	-10.068	-1	1	0.729	1	1
18	41	iid	LL	same	iid_same	left	-2.078	6.196	left	38	-11.804	-1	1	0.396	1	1
18	92	iid	LR	different	iid_different	left	-1.12	6.035	right	36	5.179	-1	1	0.552	1	1
18	168	iid	RR	same	iid_same	right	1.853	3.209	right	10	4.809	1	0	0.405	0	1
18	1	iid	LL	same	iid_same	left	-1.432	2.804	left	8	-3.469	-1	1	0.502	1	1
18	57	iid	LR	different	iid_different	left	-2.189	2.964	right	9	2.592	-1	1	0.516	1	1
18	189	iid	RR	same	iid_same	right	2.719	5.571	right	31	10.583	1	0	0.607	0	1
18	151	iid	RR	same	iid_same	right	1.432	2.804	right	8	3.469	1	0	0.528	0	1
18	167	iid	RR	same	iid_same	right	2.376	3.95	right	16	7.381	1	0	0.451	0	1
18	116	iid	RL	different	iid_different	right	2.091	3.596	left	13	-5.348	1	0	0.588	0	1
18	138	iid	RL	different	iid_different	right	1.027	5.533	left	31	-3.742	1	0	0.433	0	1
18	155	iid	RR	same	iid_same	right	2.123	2.129	right	5	3.169	1	0	0.477	0	1
18	82	iid	LR	different	iid_different	left	-0.915	5.411	right	29	4.576	1	0	0.721	1	0
18	160	iid	RR	same	iid_same	right	1.646	3.03	right	9	6.579	1	0	0.315	0	1
18	181	iid	RR	same	iid_same	right	2.689	5.667	right	33	13.897	1	0	0.542	0	1
18	171	iid	RR	same	iid_same	right	2.081	4.839	right	24	11.931	1	0	0.707	0	1
18	12	iid	LL	same	iid_same	left	-1.311	3.437	left	12	-3.281	-1	1	0.483	1	1
18	55	iid	LR	different	iid_different	left	-1.076	2.085	right	4	4.474	-1	1	0.699	1	1
18	77	iid	LR	different	iid_different	left	-1.239	4.403	right	19	7.711	-1	1	0.469	1	1
18	22	iid	LL	same	iid_same	left	-1.158	4.684	left	22	-3.138	1	0	0.4685	1	0
18	129	iid	RL	different	iid_different	right	2.149	4.637	left	22	-6.019	1	0	0.395	0	1
18	105	iid	RL	different	iid_different	right	1.076	2.085	left	4	-4.474	1	0	0.499	0	1
18	102	iid	RL	different	iid_different	right	1.512	2.3	left	5	-5.012	1	0	0.607	0	1
18	159	iid	RR	same	iid_same	right	1.71	2.788	right	8	5.391	1	0	0.539	0	1
18	9	iid	LL	same	iid_same	left	-1.71	2.788	left	8	-5.391	-1	1	0.489	1	1
18	15	iid	LL	same	iid_same	left	-2.085	3.039	left	9	-3.017	-1	1	0.441	1	1
18	150	iid	RR	same	iid_same	right	1.672	2.125	right	5	3.182	1	0	0.434	0	1
18	76	iid	LR	different	iid_different	left	-1.794	4.732	right	22	6.096	-1	1	0.472	1	1
18	119	iid	RL	different	iid_different	right	2.377	3.329	left	11	-2.683	1	0	0.488	0	1
18	71	iid	LR	different	iid_different	left	-1.764	4.73	right	22	2.728	-1	1	0.453	1	1
18	90	iid	LR	different	iid_different	left	-2.17	6.546	right	43	2.644	-1	1	0.66	1	1
18	100	iid	RL	different	iid_different	right	2.251	2.722	left	8	-3.383	1	0	0.575	0	1
18	44	iid	LL	same	iid_same	left	-1.816	6.152	left	38	-4.335	1	0	0.654	1	0
18	94	iid	LR	different	iid_different	left	-1.676	6.092	right	37	6.022	-1	1	0.511	1	1
18	176	iid	RR	same	iid_same	right	1.929	4.66	right	22	8.105	1	0	0.618	0	1
18	142	iid	RL	different	iid_different	right	1.12	6.035	left	36	-5.179	1	0	0.646	0	1
18	113	iid	RL	different	iid_different	right	1.892	3.745	left	14	-4.613	1	0	0.474	0	1
18	53	iid	LR	different	iid_different	left	-0.961	2.657	right	7	2.843	-1	1	0.601	1	1
18	20	iid	LL	same	iid_same	left	-2.263	4.205	left	18	-3.056	-1	1	0.413	1	1
18	30	iid	LL	same	iid_same	left	-1.432	5.195	left	27	-7.161	-1	1	0.431	1	1
18	114	iid	RL	different	iid_different	right	1.583	3.228	left	10	-4.674	1	0	0.447	0	1
18	172	iid	RR	same	iid_same	right	1.158	4.684	right	22	3.138	1	0	0.488	0	1
18	26	iid	LL	same	iid_same	left	-1.929	4.66	left	22	-8.105	-1	1	0.503	1	1
18	50	iid	LR	different	iid_different	left	-2.251	2.722	right	8	3.383	-1	1	0.528	1	1
18	192	iid	RR	same	iid_same	right	1.954	6.647	right	44	13.663	1	0	0.732	0	1
18	179	iid	RR	same	iid_same	right	1.621	4.376	right	19	14.001	1	0	0.528	0	1
