# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	exept_prop_left_lv	acc_lv
19	9	iid	LL	same	iid_same	left	-1.71	2.788	left	8	-5.391	-1	1	0.685	1	1
19	15	iid	LL	same	iid_same	left	-2.085	3.039	left	9	-3.017	-1	1	0.416	1	1
19	150	iid	RR	same	iid_same	right	1.672	2.125	right	5	3.182	1	0	0.569	0	1
19	76	iid	LR	different	iid_different	left	-1.794	4.732	right	22	6.096	-1	1	0.383	1	1
19	119	iid	RL	different	iid_different	right	2.377	3.329	left	11	-2.683	1	0	0.402	0	1
19	71	iid	LR	different	iid_different	left	-1.764	4.73	right	22	2.728	-1	1	0.457	1	1
19	90	iid	LR	different	iid_different	left	-2.17	6.546	right	43	2.644	-1	1	0.602	1	1
19	100	iid	RL	different	iid_different	right	2.251	2.722	left	8	-3.383	1	0	0.638	0	1
19	44	iid	LL	same	iid_same	left	-1.816	6.152	left	38	-4.335	1	0	0.422	1	0
19	94	iid	LR	different	iid_different	left	-1.676	6.092	right	37	6.022	-1	1	0.417	1	1
19	176	iid	RR	same	iid_same	right	1.929	4.66	right	22	8.105	-1	1	0.498	0	0
19	142	iid	RL	different	iid_different	right	1.12	6.035	left	36	-5.179	1	0	0.524	0	1
19	113	iid	RL	different	iid_different	right	1.892	3.745	left	14	-4.613	1	0	0.352	0	1
19	53	iid	LR	different	iid_different	left	-0.961	2.657	right	7	2.843	-1	1	0.284	1	1
19	20	iid	LL	same	iid_same	left	-2.263	4.205	left	18	-3.056	1	0	0.4445	1	0
19	30	iid	LL	same	iid_same	left	-1.432	5.195	left	27	-7.161	-1	1	0.452	1	1
19	114	iid	RL	different	iid_different	right	1.583	3.228	left	10	-4.674	1	0	0.434	0	1
19	172	iid	RR	same	iid_same	right	1.158	4.684	right	22	3.138	1	0	0.398	0	1
19	26	iid	LL	same	iid_same	left	-1.929	4.66	left	22	-8.105	1	0	0.455	1	0
19	50	iid	LR	different	iid_different	left	-2.251	2.722	right	8	3.383	-1	1	0.258	1	1
19	192	iid	RR	same	iid_same	right	1.954	6.647	right	44	13.663	1	0	0.515	0	1
19	179	iid	RR	same	iid_same	right	1.621	4.376	right	19	14.001	1	0	0.472	0	1
19	184	iid	RR	same	iid_same	right	2.325	5.238	right	27	4.616	-1	1	0.413	0	0
19	199	iid	RR	same	iid_same	right	1.82	6.317	right	40	5.053	-1	1	0.691	0	0
19	109	iid	RL	different	iid_different	right	1.193	2.511	left	6	-2.767	1	0	0.482	0	1
19	115	iid	RL	different	iid_different	right	2.055	3.917	left	16	-5.82	1	0	0.334	0	1
19	98	iid	LR	different	iid_different	left	-0.971	6.212	right	39	8.275	-1	1	0.43	1	1
19	97	iid	LR	different	iid_different	left	-1.346	6.31	right	40	3.058	1	0	0.478	1	0
19	69	iid	LR	different	iid_different	left	-2.377	3.329	right	11	2.683	-1	1	0.087	1	1
19	161	iid	RR	same	iid_same	right	1.454	3.202	right	10	2.972	1	0	0.406	0	1
19	174	iid	RR	same	iid_same	right	1.157	4.176	right	17	2.95	1	0	0.435	0	1
19	107	iid	RL	different	iid_different	right	2.189	2.964	left	9	-2.592	1	0	0.393	0	1
19	72	iid	LR	different	iid_different	left	-1.283	4.911	right	24	3.587	1	0	0.623	1	0
19	88	iid	LR	different	iid_different	left	-1.027	5.533	right	31	3.742	-1	1	0.454	1	1
19	130	iid	RL	different	iid_different	right	1.134	4.973	left	25	-3.726	1	0	0.525	0	1
19	96	iid	LR	different	iid_different	left	-1.995	6.028	right	36	3.041	-1	1	0.381	1	1
19	86	iid	LR	different	iid_different	left	-1.405	5.417	right	29	4.991	-1	1	0.396	1	1
19	101	iid	RL	different	iid_different	right	0.806	2.319	left	5	-3.749	1	0	0.323	0	1
19	18	iid	LL	same	iid_same	left	-1.853	3.209	left	10	-4.809	-1	1	0.317	1	1
19	190	iid	RR	same	iid_same	right	2.137	6.102	right	37	2.857	1	0	0.387	0	1
19	164	iid	RR	same	iid_same	right	2.465	3.163	right	10	5.991	1	0	0.24	0	1
19	144	iid	RL	different	iid_different	right	1.676	6.092	left	37	-6.022	1	0	0.436	0	1
19	148	iid	RL	different	iid_different	right	0.971	6.212	left	39	-8.275	1	0	0.416	0	1
19	140	iid	RL	different	iid_different	right	2.17	6.546	left	43	-2.644	1	0	0.448	0	1
19	143	iid	RL	different	iid_different	right	1.486	6.421	left	41	-8.888	1	0	0.396	0	1
19	56	rdw	LR	different	rdw_different	left	-0.974	2.955	right	9	5.179	1	0	0.367	0	1
19	37	rdw	LL	same	rdw_same	left	-1.988	5.494	left	30	-5.674	-1	1	0.209	1	1
19	67	rdw	LR	different	rdw_different	left	-1.011	3.712	right	14	2.576	1	0	0.192	0	1
19	79	rdw	LR	different	rdw_different	left	-2.149	4.637	right	22	6.019	1	0	0.258	0	1
19	80	rdw	LR	different	rdw_different	left	-1.134	4.973	right	25	3.726	1	0	0.385	0	1
19	188	rdw	RR	same	rdw_same	right	2.822	5.379	right	29	8.417	1	0	0.392	0	1
19	183	rdw	RR	same	rdw_same	right	2.547	5.207	right	27	4.706	1	0	0.125	0	1
19	10	rdw	LL	same	rdw_same	left	-1.646	3.03	left	9	-6.579	-1	1	0.197	1	1
19	128	rdw	RL	different	rdw_different	right	0.87	4.088	left	17	-2.599	-1	1	0.366	1	1
19	62	rdw	LR	different	rdw_different	left	-1.05	3.553	right	13	3.169	1	0	0.547	0	1
19	65	rdw	LR	different	rdw_different	left	-2.055	3.917	right	16	5.82	1	0	0.296	0	1
19	17	rdw	LL	same	rdw_same	left	-2.376	3.95	left	16	-7.381	-1	1	0.334	1	1
19	133	rdw	RL	different	rdw_different	right	1.014	5.344	left	29	-3.279	-1	1	0.398	1	1
19	195	rdw	RR	same	rdw_same	right	0.81	6.405	right	41	10.068	1	0	0.55	0	1
19	146	rdw	RL	different	rdw_different	right	1.995	6.028	left	36	-3.041	-1	1	0.352	1	1
19	38	rdw	LL	same	rdw_same	left	-2.822	5.379	left	29	-8.417	-1	1	0.338	1	1
19	173	rdw	RR	same	rdw_same	right	2.217	4.012	right	16	3.328	1	0	0.306	0	1
19	149	rdw	RL	different	rdw_different	right	1.186	6.295	left	40	-3.668	-1	1	0.268	1	1
19	93	rdw	LR	different	rdw_different	left	-1.486	6.421	right	41	8.888	1	0	0.4	0	1
19	29	rdw	LL	same	rdw_same	left	-1.621	4.376	left	19	-14.001	-1	1	0.265	1	1
19	0	rdw	LL	same	rdw_same	left	-1.672	2.125	left	5	-3.182	-1	1	0.227	1	1
19	2	rdw	LL	same	rdw_same	left	-2.413	2.537	left	6	-6.728	-1	1	0.144	1	1
19	122	rdw	RL	different	rdw_different	right	1.283	4.911	left	24	-3.587	-1	1	0.304	1	1
19	180	rdw	RR	same	rdw_same	right	1.432	5.195	right	27	7.161	1	0	0.294	0	1
19	95	rdw	LR	different	rdw_different	left	-1.969	6.295	right	40	10.722	1	0	0.471	0	1
19	121	rdw	RL	different	rdw_different	right	1.764	4.73	left	22	-2.728	-1	1	0.345	1	1
19	185	rdw	RR	same	rdw_same	right	2.32	5.071	right	26	7.877	1	0	0.427	0	1
19	39	rdw	LL	same	rdw_same	left	-2.719	5.571	left	31	-10.583	-1	1	0.331	1	1
19	66	rdw	LR	different	rdw_different	left	-2.091	3.596	right	13	5.348	1	0	0.307	0	1
19	19	rdw	LL	same	rdw_same	left	-1.394	3.481	left	12	-5.649	-1	1	0.203	1	1
19	11	rdw	LL	same	rdw_same	left	-1.454	3.202	left	10	-2.972	-1	1	0.211	1	1
19	45	rdw	LL	same	rdw_same	left	-0.81	6.405	left	41	-10.068	-1	1	0.271	1	1
19	41	rdw	LL	same	rdw_same	left	-2.078	6.196	left	38	-11.804	-1	1	0.255	1	1
19	92	rdw	LR	different	rdw_different	left	-1.12	6.035	right	36	5.179	1	0	0.38	0	1
19	168	rdw	RR	same	rdw_same	right	1.853	3.209	right	10	4.809	1	0	0.189	0	1
19	1	rdw	LL	same	rdw_same	left	-1.432	2.804	left	8	-3.469	-1	1	0.317	1	1
19	57	rdw	LR	different	rdw_different	left	-2.189	2.964	right	9	2.592	1	0	0.341	0	1
19	189	rdw	RR	same	rdw_same	right	2.719	5.571	right	31	10.583	1	0	0.3275	0	1
19	151	rdw	RR	same	rdw_same	right	1.432	2.804	right	8	3.469	1	0	0.304	0	1
19	167	rdw	RR	same	rdw_same	right	2.376	3.95	right	16	7.381	1	0	0.242	0	1
19	116	rdw	RL	different	rdw_different	right	2.091	3.596	left	13	-5.348	-1	1	0.299	1	1
19	138	rdw	RL	different	rdw_different	right	1.027	5.533	left	31	-3.742	-1	1	0.378	1	1
19	155	rdw	RR	same	rdw_same	right	2.123	2.129	right	5	3.169	1	0	0.093	0	1
19	82	rdw	LR	different	rdw_different	left	-0.915	5.411	right	29	4.576	1	0	0.393	0	1
19	160	rdw	RR	same	rdw_same	right	1.646	3.03	right	9	6.579	1	0	0.259	0	1
19	181	rdw	RR	same	rdw_same	right	2.689	5.667	right	33	13.897	1	0	0.315	0	1
19	171	rdw	RR	same	rdw_same	right	2.081	4.839	right	24	11.931	1	0	0.349	0	1
19	12	rdw	LL	same	rdw_same	left	-1.311	3.437	left	12	-3.281	-1	1	0.237	1	1
19	55	rdw	LR	different	rdw_different	left	-1.076	2.085	right	4	4.474	-1	1	0.123	0	0
19	77	rdw	LR	different	rdw_different	left	-1.239	4.403	right	19	7.711	1	0	0.304	0	1
19	22	rdw	LL	same	rdw_same	left	-1.158	4.684	left	22	-3.138	-1	1	0.341	1	1
19	129	rdw	RL	different	rdw_different	right	2.149	4.637	left	22	-6.019	-1	1	0.229	1	1
19	105	rdw	RL	different	rdw_different	right	1.076	2.085	left	4	-4.474	1	0	0.129	1	0
19	102	rdw	RL	different	rdw_different	right	1.512	2.3	left	5	-5.012	-1	1	0.337	1	1
19	159	rdw	RR	same	rdw_same	right	1.71	2.788	right	8	5.391	1	0	0.261	0	1
19	9	rdw	LL	same	rdw_same	left	-1.71	2.788	left	8	-5.391	-1	1	0.245	1	1
19	15	rdw	LL	same	rdw_same	left	-2.085	3.039	left	9	-3.017	-1	1	0.278	1	1
19	150	rdw	RR	same	rdw_same	right	1.672	2.125	right	5	3.182	1	0	0.175	0	1
19	76	rdw	LR	different	rdw_different	left	-1.794	4.732	right	22	6.096	1	0	0.284	0	1
19	119	rdw	RL	different	rdw_different	right	2.377	3.329	left	11	-2.683	1	0	0.536	1	0
19	71	rdw	LR	different	rdw_different	left	-1.764	4.73	right	22	2.728	1	0	0.387	0	1
19	90	rdw	LR	different	rdw_different	left	-2.17	6.546	right	43	2.644	1	0	0.528	0	1
19	100	rdw	RL	different	rdw_different	right	2.251	2.722	left	8	-3.383	-1	1	0.66	1	1
19	44	rdw	LL	same	rdw_same	left	-1.816	6.152	left	38	-4.335	-1	1	0.721	1	1
19	94	rdw	LR	different	rdw_different	left	-1.676	6.092	right	37	6.022	1	0	0.743	0	1
19	176	rdw	RR	same	rdw_same	right	1.929	4.66	right	22	8.105	1	0	0.398	0	1
19	142	rdw	RL	different	rdw_different	right	1.12	6.035	left	36	-5.179	-1	1	0.421	1	1
19	113	rdw	RL	different	rdw_different	right	1.892	3.745	left	14	-4.613	-1	1	0.408	1	1
19	53	rdw	LR	different	rdw_different	left	-0.961	2.657	right	7	2.843	1	0	0.581	0	1
19	20	rdw	LL	same	rdw_same	left	-2.263	4.205	left	18	-3.056	-1	1	0.352	1	1
19	30	rdw	LL	same	rdw_same	left	-1.432	5.195	left	27	-7.161	-1	1	0.341	1	1
19	114	rdw	RL	different	rdw_different	right	1.583	3.228	left	10	-4.674	-1	1	0.273	1	1
19	172	rdw	RR	same	rdw_same	right	1.158	4.684	right	22	3.138	1	0	0.279	0	1
19	26	rdw	LL	same	rdw_same	left	-1.929	4.66	left	22	-8.105	-1	1	0.316	1	1
19	50	rdw	LR	different	rdw_different	left	-2.251	2.722	right	8	3.383	1	0	0.321	0	1
19	192	rdw	RR	same	rdw_same	right	1.954	6.647	right	44	13.663	1	0	0.464	0	1
19	179	rdw	RR	same	rdw_same	right	1.621	4.376	right	19	14.001	1	0	0.26	0	1
19	184	rdw	RR	same	rdw_same	right	2.325	5.238	right	27	4.616	1	0	0.354	0	1
19	199	rdw	RR	same	rdw_same	right	1.82	6.317	right	40	5.053	1	0	0.351	0	1
19	109	rdw	RL	different	rdw_different	right	1.193	2.511	left	6	-2.767	-1	1	0.581	1	1
19	115	rdw	RL	different	rdw_different	right	2.055	3.917	left	16	-5.82	-1	1	0.326	1	1
19	98	rdw	LR	different	rdw_different	left	-0.971	6.212	right	39	8.275	1	0	0.271	0	1
19	97	rdw	LR	different	rdw_different	left	-1.346	6.31	right	40	3.058	1	0	0.349	0	1
19	69	rdw	LR	different	rdw_different	left	-2.377	3.329	right	11	2.683	1	0	0.387	0	1
19	161	rdw	RR	same	rdw_same	right	1.454	3.202	right	10	2.972	1	0	0.194	0	1
19	174	rdw	RR	same	rdw_same	right	1.157	4.176	right	17	2.95	1	0	0.46	0	1
19	107	rdw	RL	different	rdw_different	right	2.189	2.964	left	9	-2.592	-1	1	0.502	1	1
19	72	rdw	LR	different	rdw_different	left	-1.283	4.911	right	24	3.587	1	0	0.832	0	1
19	88	rdw	LR	different	rdw_different	left	-1.027	5.533	right	31	3.742	1	0	0.525	0	1
19	130	rdw	RL	different	rdw_different	right	1.134	4.973	left	25	-3.726	-1	1	0.3275	1	1
19	96	rdw	LR	different	rdw_different	left	-1.995	6.028	right	36	3.041	1	0	0.329	0	1
19	86	rdw	LR	different	rdw_different	left	-1.405	5.417	right	29	4.991	1	0	0.191	0	1
19	101	rdw	RL	different	rdw_different	right	0.806	2.319	left	5	-3.749	-1	1	0.425	1	1
19	18	rdw	LL	same	rdw_same	left	-1.853	3.209	left	10	-4.809	-1	1	0.24	1	1
19	190	rdw	RR	same	rdw_same	right	2.137	6.102	right	37	2.857	1	0	0.164	0	1
19	164	rdw	RR	same	rdw_same	right	2.465	3.163	right	10	5.991	1	0	0.185	0	1
19	144	rdw	RL	different	rdw_different	right	1.676	6.092	left	37	-6.022	-1	1	0.394	1	1
19	148	rdw	RL	different	rdw_different	right	0.971	6.212	left	39	-8.275	-1	1	0.533	1	1
19	140	rdw	RL	different	rdw_different	right	2.17	6.546	left	43	-2.644	-1	1	0.619	1	1
19	143	rdw	RL	different	rdw_different	right	1.486	6.421	left	41	-8.888	-1	1	0.422	1	1
19	169	iid	RR	same	iid_same	right	1.394	3.481	right	12	5.649	-1	1	0.601	0	0
19	25	iid	LL	same	iid_same	left	-1.971	4.243	left	18	-3.981	-1	1	0.464	1	1
19	136	iid	RL	different	iid_different	right	1.405	5.417	left	29	-4.991	1	0	0.463	0	1
19	43	iid	LL	same	iid_same	left	-1.762	6.619	left	43	-11.962	-1	1	0.447	1	1
19	137	iid	RL	different	iid_different	right	1.078	5.502	left	30	-5.305	1	0	0.374	0	1
19	46	iid	LL	same	iid_same	left	-1.185	6.479	left	42	-5.232	1	0	0.4445	1	0
19	4	iid	LL	same	iid_same	left	-2.051	2.291	left	5	-3.295	-1	1	0.4445	1	1
19	165	iid	RR	same	iid_same	right	2.085	3.039	right	9	3.017	1	0	0.374	0	1
19	54	iid	LR	different	iid_different	left	-1.113	2.948	right	9	2.555	-1	1	0.511	1	1
19	139	iid	RL	different	iid_different	right	0.999	5.404	left	30	-9.09	1	0	0.417	0	1
19	186	iid	RR	same	iid_same	right	1.917	5.864	right	35	11.991	-1	1	0.497	0	0
19	8	iid	LL	same	iid_same	left	-1.147	2.092	left	4	-3.873	1	0	0.399	1	0
19	13	iid	LL	same	iid_same	left	-1.629	3.238	left	11	-7.675	-1	1	0.426	1	1
19	5	iid	LL	same	iid_same	left	-2.123	2.129	left	5	-3.169	-1	1	0.362	1	1
19	33	iid	LL	same	iid_same	left	-2.547	5.207	left	27	-4.706	-1	1	0.378	1	1
19	81	iid	LR	different	iid_different	left	-1.773	5.602	right	31	12.73	1	0	0.521	1	0
19	31	iid	LL	same	iid_same	left	-2.689	5.667	left	33	-13.897	1	0	0.687	1	0
19	59	iid	LR	different	iid_different	left	-1.193	2.511	right	6	2.767	-1	1	0.4445	1	1
19	166	iid	RR	same	iid_same	right	1.331	3.134	right	10	7.001	1	0	0.287	0	1
19	103	iid	RL	different	iid_different	right	0.961	2.657	left	7	-2.843	1	0	0.432	0	1
19	63	iid	LR	different	iid_different	left	-1.892	3.745	right	14	4.613	1	0	0.4445	1	0
19	78	iid	LR	different	iid_different	left	-0.87	4.088	right	17	2.599	1	0	0.81	1	0
19	108	iid	RL	different	iid_different	right	2.027	2.567	left	7	-4.044	1	0	0.265	0	1
19	124	iid	RL	different	iid_different	right	1.906	4.326	left	19	-4.242	-1	1	0.4445	0	0
19	194	iid	RR	same	iid_same	right	1.816	6.152	right	38	4.335	-1	1	0.779	0	0
19	141	iid	RL	different	iid_different	right	1.575	6.045	left	37	-3.812	1	0	0.516	0	1
19	197	iid	RR	same	iid_same	right	2.158	6.978	right	49	5.806	1	0	0.042	0	1
19	42	iid	LL	same	iid_same	left	-1.954	6.647	left	44	-13.663	1	0	0.429	1	0
19	152	iid	RR	same	iid_same	right	2.413	2.537	right	6	6.728	1	0	0.312	0	1
19	126	iid	RL	different	iid_different	right	1.794	4.732	left	22	-6.096	1	0	0.48	0	1
19	40	iid	LL	same	iid_same	left	-2.137	6.102	left	37	-2.857	1	0	0.384	1	0
19	134	iid	RL	different	iid_different	right	1.581	5.468	left	30	-3.437	1	0	0.605	0	1
19	83	iid	LR	different	iid_different	left	-1.014	5.344	right	29	3.279	-1	1	0.523	1	1
19	14	iid	LL	same	iid_same	left	-2.465	3.163	left	10	-5.991	-1	1	0.4445	1	1
19	85	iid	LR	different	iid_different	left	-1.907	4.917	right	24	2.755	-1	1	0.541	1	1
19	175	iid	RR	same	iid_same	right	1.971	4.243	right	18	3.981	1	0	0.795	0	1
19	191	iid	RR	same	iid_same	right	2.078	6.196	right	38	11.804	-1	1	0.439	0	0
19	125	iid	RL	different	iid_different	right	1.007	4.726	left	22	-7.396	-1	1	0.334	0	0
19	6	iid	LL	same	iid_same	left	-2.375	2.81	left	8	-5.006	-1	1	0.475	1	1
19	147	iid	RL	different	iid_different	right	1.346	6.31	left	40	-3.058	-1	1	0.584	0	0
