# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	exept_prop_left_lv	acc_lv
20	56	iid	LR	different	iid_different	left	-0.974	2.955	right	9	5.179	-1	1	0.2105	1	1
20	37	iid	LL	same	iid_same	left	-1.988	5.494	left	30	-5.674	-1	1	0.235	1	1
20	67	iid	LR	different	iid_different	left	-1.011	3.712	right	14	2.576	-1	1	0.031	1	1
20	79	iid	LR	different	iid_different	left	-2.149	4.637	right	22	6.019	-1	1	0.136	1	1
20	80	iid	LR	different	iid_different	left	-1.134	4.973	right	25	3.726	1	0	0.227	1	0
20	188	iid	RR	same	iid_same	right	2.822	5.379	right	29	8.417	1	0	0.125	0	1
20	183	iid	RR	same	iid_same	right	2.547	5.207	right	27	4.706	1	0	0.187	0	1
20	10	iid	LL	same	iid_same	left	-1.646	3.03	left	9	-6.579	-1	1	0.2105	1	1
20	128	iid	RL	different	iid_different	right	0.87	4.088	left	17	-2.599	1	0	0.255	0	1
20	62	iid	LR	different	iid_different	left	-1.05	3.553	right	13	3.169	-1	1	0.179	1	1
20	65	iid	LR	different	iid_different	left	-2.055	3.917	right	16	5.82	-1	1	0.162	1	1
20	17	iid	LL	same	iid_same	left	-2.376	3.95	left	16	-7.381	-1	1	0.054	1	1
20	133	iid	RL	different	iid_different	right	1.014	5.344	left	29	-3.279	1	0	0.264	0	1
20	195	iid	RR	same	iid_same	right	0.81	6.405	right	41	10.068	1	0	0.498	0	1
20	146	iid	RL	different	iid_different	right	1.995	6.028	left	36	-3.041	1	0	0.177	0	1
20	38	iid	LL	same	iid_same	left	-2.822	5.379	left	29	-8.417	1	0	0.2105	1	0
20	173	iid	RR	same	iid_same	right	2.217	4.012	right	16	3.328	-1	1	0.2105	0	0
20	149	iid	RL	different	iid_different	right	1.186	6.295	left	40	-3.668	-1	1	0.235	0	0
20	93	iid	LR	different	iid_different	left	-1.486	6.421	right	41	8.888	-1	1	0.311	1	1
20	29	iid	LL	same	iid_same	left	-1.621	4.376	left	19	-14.001	-1	1	0.114	1	1
20	0	iid	LL	same	iid_same	left	-1.672	2.125	left	5	-3.182	-1	1	0.2105	1	1
20	2	iid	LL	same	iid_same	left	-2.413	2.537	left	6	-6.728	-1	1	0.2105	1	1
20	122	iid	RL	different	iid_different	right	1.283	4.911	left	24	-3.587	1	0	0.11	0	1
20	180	iid	RR	same	iid_same	right	1.432	5.195	right	27	7.161	1	0	0.259	0	1
20	95	iid	LR	different	iid_different	left	-1.969	6.295	right	40	10.722	-1	1	0.283	1	1
20	121	iid	RL	different	iid_different	right	1.764	4.73	left	22	-2.728	1	0	0.194	0	1
20	185	iid	RR	same	iid_same	right	2.32	5.071	right	26	7.877	1	0	0.264	0	1
20	39	iid	LL	same	iid_same	left	-2.719	5.571	left	31	-10.583	-1	1	0.195	1	1
20	66	iid	LR	different	iid_different	left	-2.091	3.596	right	13	5.348	-1	1	0.135	1	1
20	19	iid	LL	same	iid_same	left	-1.394	3.481	left	12	-5.649	-1	1	0.093	1	1
20	11	iid	LL	same	iid_same	left	-1.454	3.202	left	10	-2.972	-1	1	0.085	1	1
20	45	iid	LL	same	iid_same	left	-0.81	6.405	left	41	-10.068	-1	1	0.342	1	1
20	41	iid	LL	same	iid_same	left	-2.078	6.196	left	38	-11.804	-1	1	0.251	1	1
20	92	iid	LR	different	iid_different	left	-1.12	6.035	right	36	5.179	-1	1	0.206	1	1
20	168	iid	RR	same	iid_same	right	1.853	3.209	right	10	4.809	1	0	0.2105	0	1
20	1	iid	LL	same	iid_same	left	-1.432	2.804	left	8	-3.469	1	0	0.2105	1	0
20	57	iid	LR	different	iid_different	left	-2.189	2.964	right	9	2.592	-1	1	0.046	1	1
20	189	iid	RR	same	iid_same	right	2.719	5.571	right	31	10.583	1	0	0.169	0	1
20	151	iid	RR	same	iid_same	right	1.432	2.804	right	8	3.469	1	0	0.046	0	1
20	167	iid	RR	same	iid_same	right	2.376	3.95	right	16	7.381	1	0	0.2105	0	1
20	116	iid	RL	different	iid_different	right	2.091	3.596	left	13	-5.348	1	0	0.202	0	1
20	138	iid	RL	different	iid_different	right	1.027	5.533	left	31	-3.742	-1	1	0.325	0	0
20	155	iid	RR	same	iid_same	right	2.123	2.129	right	5	3.169	1	0	0.037	0	1
20	82	iid	LR	different	iid_different	left	-0.915	5.411	right	29	4.576	1	0	0.108	1	0
20	160	iid	RR	same	iid_same	right	1.646	3.03	right	9	6.579	1	0	0.124	0	1
20	181	iid	RR	same	iid_same	right	2.689	5.667	right	33	13.897	1	0	0.216	0	1
20	171	iid	RR	same	iid_same	right	2.081	4.839	right	24	11.931	1	0	0.072	0	1
20	12	iid	LL	same	iid_same	left	-1.311	3.437	left	12	-3.281	-1	1	0.2105	1	1
20	55	iid	LR	different	iid_different	left	-1.076	2.085	right	4	4.474	1	0	0.091	1	0
20	77	iid	LR	different	iid_different	left	-1.239	4.403	right	19	7.711	-1	1	0.17	1	1
20	56	rdw	LR	different	rdw_different	left	-0.974	2.955	right	9	5.179	1	0	0.21	0	1
20	37	rdw	LL	same	rdw_same	left	-1.988	5.494	left	30	-5.674	-1	1	0.204	1	1
20	67	rdw	LR	different	rdw_different	left	-1.011	3.712	right	14	2.576	1	0	0.055	0	1
20	79	rdw	LR	different	rdw_different	left	-2.149	4.637	right	22	6.019	1	0	0.183	0	1
20	80	rdw	LR	different	rdw_different	left	-1.134	4.973	right	25	3.726	1	0	0.117	0	1
20	188	rdw	RR	same	rdw_same	right	2.822	5.379	right	29	8.417	1	0	0.112	0	1
20	183	rdw	RR	same	rdw_same	right	2.547	5.207	right	27	4.706	1	0	0.178	0	1
20	10	rdw	LL	same	rdw_same	left	-1.646	3.03	left	9	-6.579	1	0	0.019	1	0
20	128	rdw	RL	different	rdw_different	right	0.87	4.088	left	17	-2.599	-1	1	0.121	1	1
20	62	rdw	LR	different	rdw_different	left	-1.05	3.553	right	13	3.169	1	0	0.181	0	1
20	65	rdw	LR	different	rdw_different	left	-2.055	3.917	right	16	5.82	1	0	0.16	0	1
20	17	rdw	LL	same	rdw_same	left	-2.376	3.95	left	16	-7.381	-1	1	0.078	1	1
20	133	rdw	RL	different	rdw_different	right	1.014	5.344	left	29	-3.279	-1	1	0.283	1	1
20	195	rdw	RR	same	rdw_same	right	0.81	6.405	right	41	10.068	1	0	0.241	0	1
20	146	rdw	RL	different	rdw_different	right	1.995	6.028	left	36	-3.041	-1	1	0.234	1	1
20	38	rdw	LL	same	rdw_same	left	-2.822	5.379	left	29	-8.417	-1	1	0.084	1	1
20	173	rdw	RR	same	rdw_same	right	2.217	4.012	right	16	3.328	1	0	0.21	0	1
20	149	rdw	RL	different	rdw_different	right	1.186	6.295	left	40	-3.668	-1	1	0.139	1	1
20	93	rdw	LR	different	rdw_different	left	-1.486	6.421	right	41	8.888	1	0	0.144	0	1
20	29	rdw	LL	same	rdw_same	left	-1.621	4.376	left	19	-14.001	1	0	0.21	1	0
20	0	rdw	LL	same	rdw_same	left	-1.672	2.125	left	5	-3.182	-1	1	0.21	1	1
20	2	rdw	LL	same	rdw_same	left	-2.413	2.537	left	6	-6.728	-1	1	0.114	1	1
20	122	rdw	RL	different	rdw_different	right	1.283	4.911	left	24	-3.587	-1	1	0.21	1	1
20	180	rdw	RR	same	rdw_same	right	1.432	5.195	right	27	7.161	1	0	0.186	0	1
20	95	rdw	LR	different	rdw_different	left	-1.969	6.295	right	40	10.722	1	0	0.214	0	1
20	121	rdw	RL	different	rdw_different	right	1.764	4.73	left	22	-2.728	1	0	0.09	1	0
20	185	rdw	RR	same	rdw_same	right	2.32	5.071	right	26	7.877	1	0	0.152	0	1
20	39	rdw	LL	same	rdw_same	left	-2.719	5.571	left	31	-10.583	-1	1	0.141	1	1
20	66	rdw	LR	different	rdw_different	left	-2.091	3.596	right	13	5.348	1	0	0.21	0	1
20	19	rdw	LL	same	rdw_same	left	-1.394	3.481	left	12	-5.649	-1	1	0.095	1	1
20	11	rdw	LL	same	rdw_same	left	-1.454	3.202	left	10	-2.972	1	0	0.21	1	0
20	45	rdw	LL	same	rdw_same	left	-0.81	6.405	left	41	-10.068	-1	1	0.294	1	1
20	41	rdw	LL	same	rdw_same	left	-2.078	6.196	left	38	-11.804	-1	1	0.237	1	1
20	92	rdw	LR	different	rdw_different	left	-1.12	6.035	right	36	5.179	1	0	0.217	0	1
20	168	rdw	RR	same	rdw_same	right	1.853	3.209	right	10	4.809	1	0	0.088	0	1
20	1	rdw	LL	same	rdw_same	left	-1.432	2.804	left	8	-3.469	1	0	0.016	1	0
20	57	rdw	LR	different	rdw_different	left	-2.189	2.964	right	9	2.592	1	0	0.21	0	1
20	189	rdw	RR	same	rdw_same	right	2.719	5.571	right	31	10.583	1	0	0.192	0	1
