# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	exept_prop_left_lv	acc_lv
1	95	rdw	LR	different	rdw_different	left	-1.969	6.295	right	40	10.722	1	0	0.635	0	1
1	15	rdw	LL	same	rdw_same	left	-2.085	3.039	left	9	-3.017	-1	1	0.592	1	1
1	30	rdw	LL	same	rdw_same	left	-1.432	5.195	left	27	-7.161	-1	1	0.533	1	1
1	158	rdw	RR	same	rdw_same	right	1.147	2.092	right	4	3.873	1	0	0.538	0	1
1	128	rdw	RL	different	rdw_different	right	0.87	4.088	left	17	-2.599	-1	1	0.627	1	1
1	115	rdw	RL	different	rdw_different	right	2.055	3.917	left	16	-5.82	-1	1	0.456	1	1
1	69	rdw	LR	different	rdw_different	left	-2.377	3.329	right	11	2.683	-1	1	0.583	0	0
1	170	rdw	RR	same	rdw_same	right	2.263	4.205	right	18	3.056	1	0	0.554	0	1
1	174	rdw	RR	same	rdw_same	right	1.157	4.176	right	17	2.95	1	0	0.5	0	1
1	45	rdw	LL	same	rdw_same	left	-0.81	6.405	left	41	-10.068	-1	1	0.483	1	1
1	66	rdw	LR	different	rdw_different	left	-2.091	3.596	right	13	5.348	1	0	0.366	0	1
1	182	rdw	RR	same	rdw_same	right	2.179	5.057	right	26	5.865	1	0	0.359	0	1
1	165	rdw	RR	same	rdw_same	right	2.085	3.039	right	9	3.017	1	0	0.354	0	1
1	78	rdw	LR	different	rdw_different	left	-0.87	4.088	right	17	2.599	1	0	0.548	0	1
1	186	rdw	RR	same	rdw_same	right	1.917	5.864	right	35	11.991	1	0	0.448	0	1
1	177	rdw	RR	same	rdw_same	right	2.389	4.145	right	17	3.429	1	0	0.41	0	1
1	56	rdw	LR	different	rdw_different	left	-0.974	2.955	right	9	5.179	1	0	0.396	0	1
1	152	rdw	RR	same	rdw_same	right	2.413	2.537	right	6	6.728	1	0	0.524	0	1
1	82	rdw	LR	different	rdw_different	left	-0.915	5.411	right	29	4.576	1	0	0.456	0	1
1	68	rdw	LR	different	rdw_different	left	-1.071	3.23	right	10	4.659	1	0	0.419	0	1
1	124	rdw	RL	different	rdw_different	right	1.906	4.326	left	19	-4.242	-1	1	0.458	1	1
1	16	rdw	LL	same	rdw_same	left	-1.331	3.134	left	10	-7.001	-1	1	0.336	1	1
1	148	rdw	RL	different	rdw_different	right	0.971	6.212	left	39	-8.275	-1	1	0.556	1	1
1	93	rdw	LR	different	rdw_different	left	-1.486	6.421	right	41	8.888	1	0	0.638	0	1
1	65	rdw	LR	different	rdw_different	left	-2.055	3.917	right	16	5.82	1	0	0.409	0	1
1	60	rdw	LR	different	rdw_different	left	-0.889	3.379	right	11	3.456	1	0	0.398	0	1
1	84	rdw	LR	different	rdw_different	left	-1.581	5.468	right	30	3.437	1	0	0.455	0	1
1	67	rdw	LR	different	rdw_different	left	-1.011	3.712	right	14	2.576	1	0	0.379	0	1
1	125	rdw	RL	different	rdw_different	right	1.007	4.726	left	22	-7.396	-1	1	0.443	1	1
1	132	rdw	RL	different	rdw_different	right	0.915	5.411	left	29	-4.576	-1	1	0.416	1	1
1	9	rdw	LL	same	rdw_same	left	-1.71	2.788	left	8	-5.391	-1	1	0.344	1	1
