# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	acc_lv	same_side_as_lv	same_side_as_ms
26	120	rdw	RL	different	rdw_different	right	1.926	4.487	left	20	-4.387	-1	1	0.469	1	1	0
26	48	rdw	LL	same	rdw_same	left	-2.101	6.227	left	39	-4.733	-1	1	0.583	1	1	1
26	162	rdw	RR	same	rdw_same	right	1.311	3.437	right	12	3.281	1	0	0.415	1	1	1
26	73	rdw	LR	different	rdw_different	left	-2.056	4.699	right	22	3.118	1	0	0.468	1	1	0
26	112	rdw	RL	different	rdw_different	right	1.05	3.553	left	13	-3.169	-1	1	0.501	1	1	0
26	61	rdw	LR	different	rdw_different	left	-0.973	3.878	right	15	2.704	1	0	0.443	1	1	0
26	60	rdw	LR	different	rdw_different	left	-0.889	3.379	right	11	3.456	1	0	0.304	1	1	0
26	177	rdw	RR	same	rdw_same	right	2.389	4.145	right	17	3.429	1	0	0.34	1	1	1
26	36	rdw	LL	same	rdw_same	left	-1.917	5.864	left	35	-11.991	-1	1	0.233	1	1	1
26	132	rdw	RL	different	rdw_different	right	0.915	5.411	left	29	-4.576	-1	1	0.371	1	1	0
26	117	rdw	RL	different	rdw_different	right	1.011	3.712	left	14	-2.576	-1	1	0.124	1	1	0
26	75	rdw	LR	different	rdw_different	left	-1.007	4.726	right	22	7.396	1	0	0.323	1	1	0
26	34	rdw	LL	same	rdw_same	left	-2.325	5.238	left	27	-4.616	-1	1	0.384	1	1	1
26	111	rdw	RL	different	rdw_different	right	0.973	3.878	left	15	-2.704	-1	1	0.093	1	1	0
26	32	rdw	LL	same	rdw_same	left	-2.179	5.057	left	26	-5.865	-1	1	0.3925	1	1	1
26	180	rdw	RR	same	rdw_same	right	1.432	5.195	right	27	7.161	1	0	0.384	1	1	1
26	57	rdw	LR	different	rdw_different	left	-2.189	2.964	right	9	2.592	1	0	0.31	1	1	0
26	121	rdw	RL	different	rdw_different	right	1.764	4.73	left	22	-2.728	-1	1	0.307	1	1	0
26	97	rdw	LR	different	rdw_different	left	-1.346	6.31	right	40	3.058	-1	1	0.3925	0	0	1
26	69	rdw	LR	different	rdw_different	left	-2.377	3.329	right	11	2.683	1	0	0.39225	1	1	0
26	161	rdw	RR	same	rdw_same	right	1.454	3.202	right	10	2.972	1	0	0.73	1	1	1
26	174	rdw	RR	same	rdw_same	right	1.157	4.176	right	17	2.95	1	0	0.587	1	1	1
26	107	rdw	RL	different	rdw_different	right	2.189	2.964	left	9	-2.592	-1	1	0.333	1	1	0
26	72	rdw	LR	different	rdw_different	left	-1.283	4.911	right	24	3.587	1	0	0.368	1	1	0
26	88	rdw	LR	different	rdw_different	left	-1.027	5.533	right	31	3.742	1	0	0.3925	1	1	0
26	130	rdw	RL	different	rdw_different	right	1.134	4.973	left	25	-3.726	-1	1	0.3925	1	1	0
26	96	rdw	LR	different	rdw_different	left	-1.995	6.028	right	36	3.041	1	0	0.459	1	1	0
26	86	rdw	LR	different	rdw_different	left	-1.405	5.417	right	29	4.991	1	0	0.572	1	1	0
26	101	rdw	RL	different	rdw_different	right	0.806	2.319	left	5	-3.749	-1	1	0.303	1	1	0
26	18	rdw	LL	same	rdw_same	left	-1.853	3.209	left	10	-4.809	-1	1	0.263	1	1	1
26	190	rdw	RR	same	rdw_same	right	2.137	6.102	right	37	2.857	-1	1	0.3925	0	0	0
26	164	rdw	RR	same	rdw_same	right	2.465	3.163	right	10	5.991	1	0	0.301	1	1	1
26	144	rdw	RL	different	rdw_different	right	1.676	6.092	left	37	-6.022	-1	1	0.603	1	1	0
26	148	rdw	RL	different	rdw_different	right	0.971	6.212	left	39	-8.275	-1	1	0.723	1	1	0
26	140	rdw	RL	different	rdw_different	right	2.17	6.546	left	43	-2.644	-1	1	0.733	1	1	0
26	77	rdw	LR	different	rdw_different	left	-1.239	4.403	right	19	7.711	1	0	0.319	1	1	0
26	169	rdw	RR	same	rdw_same	right	1.394	3.481	right	12	5.649	1	0	0.379	1	1	1
26	25	rdw	LL	same	rdw_same	left	-1.971	4.243	left	18	-3.981	-1	1	0.36	1	1	1
26	136	rdw	RL	different	rdw_different	right	1.405	5.417	left	29	-4.991	-1	1	0.609	1	1	0
26	43	rdw	LL	same	rdw_same	left	-1.762	6.619	left	43	-11.962	-1	1	0.629	1	1	1
26	137	rdw	RL	different	rdw_different	right	1.078	5.502	left	30	-5.305	-1	1	0.488	1	1	0
26	46	rdw	LL	same	rdw_same	left	-1.185	6.479	left	42	-5.232	1	0	0.3925	0	0	0
26	4	rdw	LL	same	rdw_same	left	-2.051	2.291	left	5	-3.295	-1	1	0.227	1	1	1
26	165	rdw	RR	same	rdw_same	right	2.085	3.039	right	9	3.017	1	0	0.345	1	1	1
