# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	acc_lv	same_side_as_lv	same_side_as_ms
16	56	iid	LR	different	iid_different	left	-0.974	2.955	right	9	5.179	1	0	0.413	0	1	0
16	68	iid	LR	different	iid_different	left	-1.071	3.23	right	10	4.659	1	0	0.371	0	1	0
16	64	iid	LR	different	iid_different	left	-1.583	3.228	right	10	4.674	1	0	0.4125	0	1	0
16	49	iid	LL	same	iid_same	left	-1.82	6.317	left	40	-5.053	-1	1	0.479	1	1	1
16	21	iid	LL	same	iid_same	left	-2.081	4.839	left	24	-11.931	1	0	0.455	0	0	0
16	58	iid	LR	different	iid_different	left	-2.027	2.567	right	7	4.044	1	0	0.4125	0	1	0
16	16	iid	LL	same	iid_same	left	-1.331	3.134	left	10	-7.001	-1	1	0.361	1	1	1
16	51	iid	LR	different	iid_different	left	-0.806	2.319	right	5	3.749	-1	1	0.406	1	0	1
16	145	iid	RL	different	iid_different	right	1.969	6.295	left	40	-10.722	1	0	0.413	1	0	1
16	187	iid	RR	same	iid_same	right	1.988	5.494	right	30	5.674	1	0	0.378	1	1	1
16	91	iid	LR	different	iid_different	left	-1.575	6.045	right	37	3.812	-1	1	0.353	1	0	1
16	110	iid	RL	different	iid_different	right	0.889	3.379	left	11	-3.456	1	0	0.292	1	0	1
16	158	iid	RR	same	iid_same	right	1.147	2.092	right	4	3.873	-1	1	0.17	0	0	0
16	87	iid	LR	different	iid_different	left	-1.078	5.502	right	30	5.305	-1	1	0.352	1	0	1
16	198	iid	RR	same	iid_same	right	2.101	6.227	right	39	4.733	1	0	0.344	1	1	1
16	35	iid	LL	same	iid_same	left	-2.32	5.071	left	26	-7.877	1	0	0.408	0	0	0
16	127	iid	RL	different	iid_different	right	1.239	4.403	left	19	-7.711	-1	1	0.355	0	1	0
16	178	iid	RR	same	iid_same	right	1.983	4.508	right	20	4.197	1	0	0.109	1	1	1
16	123	iid	RL	different	iid_different	right	2.056	4.699	left	22	-3.118	1	0	0.15	1	0	1
16	89	iid	LR	different	iid_different	left	-0.999	5.404	right	30	9.09	-1	1	0.257	1	0	1
16	111	iid	RL	different	iid_different	right	0.973	3.878	left	15	-2.704	1	0	0.253	1	0	1
16	34	iid	LL	same	iid_same	left	-2.325	5.238	left	27	-4.616	-1	1	0.4125	1	1	1
16	194	iid	RR	same	iid_same	right	1.816	6.152	right	38	4.335	-1	1	0.586	0	0	0
16	75	iid	LR	different	iid_different	left	-1.007	4.726	right	22	7.396	1	0	0.127	0	1	0
16	141	iid	RL	different	iid_different	right	1.575	6.045	left	37	-3.812	-1	1	0.317	0	1	0
16	42	iid	LL	same	iid_same	left	-1.954	6.647	left	44	-13.663	-1	1	0.388	1	1	1
16	156	iid	RR	same	iid_same	right	2.375	2.81	right	8	5.006	1	0	0.464	1	1	1
16	193	iid	RR	same	iid_same	right	1.762	6.619	right	43	11.962	1	0	0.477	1	1	1
16	106	iid	RL	different	iid_different	right	0.974	2.955	left	9	-5.179	1	0	0.51	1	0	1
16	52	iid	LR	different	iid_different	left	-1.512	2.3	right	5	5.012	1	0	0.66	0	1	0
16	23	iid	LL	same	iid_same	left	-2.217	4.012	left	16	-3.328	1	0	0.519	0	0	0
16	131	iid	RL	different	iid_different	right	1.773	5.602	left	31	-12.73	-1	1	0.501	0	1	0
16	182	iid	RR	same	iid_same	right	2.179	5.057	right	26	5.865	1	0	0.4125	1	1	1
16	70	iid	LR	different	iid_different	left	-1.926	4.487	right	20	4.387	1	0	0.52	0	1	0
16	24	iid	LL	same	iid_same	left	-1.157	4.176	left	17	-2.95	-1	1	0.318	1	1	1
16	147	iid	RL	different	iid_different	right	1.346	6.31	left	40	-3.058	-1	1	0.445	0	1	0
16	6	iid	LL	same	iid_same	left	-2.375	2.81	left	8	-5.006	-1	1	0.294	1	1	1
16	125	iid	RL	different	iid_different	right	1.007	4.726	left	22	-7.396	-1	1	0.418	0	1	0
16	191	iid	RR	same	iid_same	right	2.078	6.196	right	38	11.804	-1	1	0.414	0	0	0
16	175	iid	RR	same	iid_same	right	1.971	4.243	right	18	3.981	1	0	0.422	1	1	1
16	85	iid	LR	different	iid_different	left	-1.907	4.917	right	24	2.755	-1	1	0.501	1	0	1
16	14	iid	LL	same	iid_same	left	-2.465	3.163	left	10	-5.991	-1	1	0.47	1	1	1
16	83	iid	LR	different	iid_different	left	-1.014	5.344	right	29	3.279	-1	1	0.4125	1	0	1
16	134	iid	RL	different	iid_different	right	1.581	5.468	left	30	-3.437	-1	1	0.463	0	1	0
16	40	iid	LL	same	iid_same	left	-2.137	6.102	left	37	-2.857	1	0	0.567	0	0	0
16	126	iid	RL	different	iid_different	right	1.794	4.732	left	22	-6.096	-1	1	0.408	0	1	0
16	152	iid	RR	same	iid_same	right	2.413	2.537	right	6	6.728	-1	1	0.501	0	0	0
16	197	iid	RR	same	iid_same	right	2.158	6.978	right	49	5.806	-1	1	0.444	0	0	0
16	117	iid	RL	different	iid_different	right	1.011	3.712	left	14	-2.576	1	0	0.17	1	0	1
16	132	iid	RL	different	iid_different	right	0.915	5.411	left	29	-4.576	1	0	0.272	1	0	1
