# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	acc_lv	same_side_as_lv	same_side_as_ms
23	56	iid	LR	different	iid_different	left	-0.974	2.955	right	9	5.179	-1	1	0.2105	1	0	1
23	54	iid	LR	different	iid_different	left	-1.113	2.948	right	9	2.555	-1	1	0.2105	1	0	1
23	139	iid	RL	different	iid_different	right	0.999	5.404	left	30	-9.09	1	0	0.22	1	0	1
23	186	iid	RR	same	iid_same	right	1.917	5.864	right	35	11.991	-1	1	0.252	0	0	0
23	8	iid	LL	same	iid_same	left	-1.147	2.092	left	4	-3.873	-1	1	0.09	1	1	1
23	13	iid	LL	same	iid_same	left	-1.629	3.238	left	11	-7.675	-1	1	0.159	1	1	1
23	5	iid	LL	same	iid_same	left	-2.123	2.129	left	5	-3.169	-1	1	0.069	1	1	1
23	33	iid	LL	same	iid_same	left	-2.547	5.207	left	27	-4.706	-1	1	0.283	1	1	1
23	81	iid	LR	different	iid_different	left	-1.773	5.602	right	31	12.73	-1	1	0.183	1	0	1
23	31	iid	LL	same	iid_same	left	-2.689	5.667	left	33	-13.897	-1	1	0.275	1	1	1
23	59	iid	LR	different	iid_different	left	-1.193	2.511	right	6	2.767	-1	1	0.159	1	0	1
23	166	iid	RR	same	iid_same	right	1.331	3.134	right	10	7.001	1	0	0.091	1	1	1
23	103	iid	RL	different	iid_different	right	0.961	2.657	left	7	-2.843	1	0	0.114	1	0	1
23	63	iid	LR	different	iid_different	left	-1.892	3.745	right	14	4.613	-1	1	0.092	1	0	1
23	78	iid	LR	different	iid_different	left	-0.87	4.088	right	17	2.599	1	0	0.2105	0	1	0
23	108	iid	RL	different	iid_different	right	2.027	2.567	left	7	-4.044	1	0	0.035	1	0	1
23	124	iid	RL	different	iid_different	right	1.906	4.326	left	19	-4.242	1	0	0.131	1	0	1
23	194	iid	RR	same	iid_same	right	1.816	6.152	right	38	4.335	1	0	0.258	1	1	1
23	141	iid	RL	different	iid_different	right	1.575	6.045	left	37	-3.812	1	0	0.355	1	0	1
23	197	iid	RR	same	iid_same	right	2.158	6.978	right	49	5.806	1	0	0.369	1	1	1
23	42	iid	LL	same	iid_same	left	-1.954	6.647	left	44	-13.663	-1	1	0.218	1	1	1
23	152	iid	RR	same	iid_same	right	2.413	2.537	right	6	6.728	-1	1	0.2105	0	0	0
23	126	iid	RL	different	iid_different	right	1.794	4.732	left	22	-6.096	1	0	0.058	1	0	1
23	40	iid	LL	same	iid_same	left	-2.137	6.102	left	37	-2.857	-1	1	0.244	1	1	1
23	134	iid	RL	different	iid_different	right	1.581	5.468	left	30	-3.437	1	0	0.234	1	0	1
23	83	iid	LR	different	iid_different	left	-1.014	5.344	right	29	3.279	-1	1	0.256	1	0	1
23	14	iid	LL	same	iid_same	left	-2.465	3.163	left	10	-5.991	-1	1	0.2105	1	1	1
23	85	iid	LR	different	iid_different	left	-1.907	4.917	right	24	2.755	-1	1	0.255	1	0	1
23	165	iid	RR	same	iid_same	right	2.085	3.039	right	9	3.017	-1	1	0.2105	0	0	0
23	4	iid	LL	same	iid_same	left	-2.051	2.291	left	5	-3.295	-1	1	0.2105	1	1	1
23	46	iid	LL	same	iid_same	left	-1.185	6.479	left	42	-5.232	-1	1	0.208	1	1	1
23	137	iid	RL	different	iid_different	right	1.078	5.502	left	30	-5.305	1	0	0.237	1	0	1
23	184	iid	RR	same	iid_same	right	2.325	5.238	right	27	4.616	1	0	0.243	1	1	1
23	199	iid	RR	same	iid_same	right	1.82	6.317	right	40	5.053	1	0	0.234	1	1	1
23	109	iid	RL	different	iid_different	right	1.193	2.511	left	6	-2.767	1	0	0.052	1	0	1
23	115	iid	RL	different	iid_different	right	2.055	3.917	left	16	-5.82	1	0	0.21	1	0	1
23	98	iid	LR	different	iid_different	left	-0.971	6.212	right	39	8.275	-1	1	0.391	1	0	1
23	97	iid	LR	different	iid_different	left	-1.346	6.31	right	40	3.058	-1	1	0.337	1	0	1
23	69	iid	LR	different	iid_different	left	-2.377	3.329	right	11	2.683	-1	1	0.085	1	0	1
23	161	iid	RR	same	iid_same	right	1.454	3.202	right	10	2.972	1	0	0.098	1	1	1
23	174	iid	RR	same	iid_same	right	1.157	4.176	right	17	2.95	1	0	0.147	1	1	1
23	107	iid	RL	different	iid_different	right	2.189	2.964	left	9	-2.592	1	0	0.057	1	0	1
23	72	iid	LR	different	iid_different	left	-1.283	4.911	right	24	3.587	1	0	0.269	0	1	0
23	88	iid	LR	different	iid_different	left	-1.027	5.533	right	31	3.742	-1	1	0.268	1	0	1
23	130	iid	RL	different	iid_different	right	1.134	4.973	left	25	-3.726	1	0	0.161	1	0	1
23	175	iid	RR	same	iid_same	right	1.971	4.243	right	18	3.981	1	0	0.15	1	1	1
23	96	iid	LR	different	iid_different	left	-1.995	6.028	right	36	3.041	1	0	0.236	0	1	0
23	101	iid	RL	different	iid_different	right	0.806	2.319	left	5	-3.749	1	0	0.102	1	0	1
23	18	iid	LL	same	iid_same	left	-1.853	3.209	left	10	-4.809	-1	1	0.149	1	1	1
23	190	iid	RR	same	iid_same	right	2.137	6.102	right	37	2.857	1	0	0.179	1	1	1
23	164	iid	RR	same	iid_same	right	2.465	3.163	right	10	5.991	1	0	0.2105	1	1	1
23	144	iid	RL	different	iid_different	right	1.676	6.092	left	37	-6.022	-1	1	0.299	0	1	0
23	148	iid	RL	different	iid_different	right	0.971	6.212	left	39	-8.275	-1	1	0.21025	0	1	0
23	140	iid	RL	different	iid_different	right	2.17	6.546	left	43	-2.644	1	0	0.255	1	0	1
23	143	iid	RL	different	iid_different	right	1.486	6.421	left	41	-8.888	1	0	0.264	1	0	1
23	64	iid	LR	different	iid_different	left	-1.583	3.228	right	10	4.674	-1	1	0.119	1	0	1
23	169	iid	RR	same	iid_same	right	1.394	3.481	right	12	5.649	1	0	0.028	1	1	1
23	25	iid	LL	same	iid_same	left	-1.971	4.243	left	18	-3.981	-1	1	0.148	1	1	1
23	136	iid	RL	different	iid_different	right	1.405	5.417	left	29	-4.991	1	0	0.267	1	0	1
23	43	iid	LL	same	iid_same	left	-1.762	6.619	left	43	-11.962	-1	1	0.307	1	1	1
23	86	iid	LR	different	iid_different	left	-1.405	5.417	right	29	4.991	-1	1	0.287	1	0	1
23	179	iid	RR	same	iid_same	right	1.621	4.376	right	19	14.001	1	0	0.209	1	1	1
23	191	iid	RR	same	iid_same	right	2.078	6.196	right	38	11.804	1	0	0.36	1	1	1
23	6	iid	LL	same	iid_same	left	-2.375	2.81	left	8	-5.006	-1	1	0.2105	1	1	1
23	112	iid	RL	different	iid_different	right	1.05	3.553	left	13	-3.169	1	0	0.052	1	0	1
23	60	iid	LR	different	iid_different	left	-0.889	3.379	right	11	3.456	1	0	0.2105	0	1	0
23	32	iid	LL	same	iid_same	left	-2.179	5.057	left	26	-5.865	-1	1	0.252	1	1	1
23	177	iid	RR	same	iid_same	right	2.389	4.145	right	17	3.429	1	0	0.182	1	1	1
23	36	iid	LL	same	iid_same	left	-1.917	5.864	left	35	-11.991	-1	1	0.304	1	1	1
