# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	acc_lv	same_side_as_lv	same_side_as_ms
12	143	iid	RL	different	iid_different	right	1.486	6.421	left	41	-8.888	1	0	0.433	1	0	1
12	119	iid	RL	different	iid_different	right	2.377	3.329	left	11	-2.683	1	0	0.248	1	0	1
12	71	iid	LR	different	iid_different	left	-1.764	4.73	right	22	2.728	-1	1	0.444	1	0	1
12	90	iid	LR	different	iid_different	left	-2.17	6.546	right	43	2.644	1	0	0.532	0	1	0
12	100	iid	RL	different	iid_different	right	2.251	2.722	left	8	-3.383	-1	1	0.533	0	1	0
12	44	iid	LL	same	iid_same	left	-1.816	6.152	left	38	-4.335	1	0	0.584	0	0	0
12	94	iid	LR	different	iid_different	left	-1.676	6.092	right	37	6.022	-1	1	0.512	1	0	1
12	176	iid	RR	same	iid_same	right	1.929	4.66	right	22	8.105	1	0	0.432	1	1	1
12	142	iid	RL	different	iid_different	right	1.12	6.035	left	36	-5.179	1	0	0.391	1	0	1
12	113	iid	RL	different	iid_different	right	1.892	3.745	left	14	-4.613	1	0	0.453	1	0	1
12	53	iid	LR	different	iid_different	left	-0.961	2.657	right	7	2.843	-1	1	0.277	1	0	1
12	20	iid	LL	same	iid_same	left	-2.263	4.205	left	18	-3.056	-1	1	0.321	1	1	1
12	30	iid	LL	same	iid_same	left	-1.432	5.195	left	27	-7.161	-1	1	0.358	1	1	1
12	114	iid	RL	different	iid_different	right	1.583	3.228	left	10	-4.674	1	0	0.309	1	0	1
12	172	iid	RR	same	iid_same	right	1.158	4.684	right	22	3.138	-1	1	0.327	0	0	0
12	26	iid	LL	same	iid_same	left	-1.929	4.66	left	22	-8.105	-1	1	0.327	1	1	1
12	50	iid	LR	different	iid_different	left	-2.251	2.722	right	8	3.383	-1	1	0.234	1	0	1
12	192	iid	RR	same	iid_same	right	1.954	6.647	right	44	13.663	1	0	0.583	1	1	1
12	179	iid	RR	same	iid_same	right	1.621	4.376	right	19	14.001	1	0	0.277	1	1	1
12	184	iid	RR	same	iid_same	right	2.325	5.238	right	27	4.616	1	0	0.33	1	1	1
12	199	iid	RR	same	iid_same	right	1.82	6.317	right	40	5.053	1	0	0.576	1	1	1
12	109	iid	RL	different	iid_different	right	1.193	2.511	left	6	-2.767	-1	1	0.475	0	1	0
12	115	iid	RL	different	iid_different	right	2.055	3.917	left	16	-5.82	1	0	0.472	1	0	1
12	98	iid	LR	different	iid_different	left	-0.971	6.212	right	39	8.275	1	0	0.481	0	1	0
12	97	iid	LR	different	iid_different	left	-1.346	6.31	right	40	3.058	-1	1	0.649	1	0	1
12	69	iid	LR	different	iid_different	left	-2.377	3.329	right	11	2.683	1	0	0.373	0	1	0
12	161	iid	RR	same	iid_same	right	1.454	3.202	right	10	2.972	1	0	0.327	1	1	1
12	174	iid	RR	same	iid_same	right	1.157	4.176	right	17	2.95	1	0	0.36	1	1	1
12	76	iid	LR	different	iid_different	left	-1.794	4.732	right	22	6.096	1	0	0.446	0	1	0
12	107	iid	RL	different	iid_different	right	2.189	2.964	left	9	-2.592	1	0	0.314	1	0	1
12	150	iid	RR	same	iid_same	right	1.672	2.125	right	5	3.182	1	0	0.312	1	1	1
12	9	iid	LL	same	iid_same	left	-1.71	2.788	left	8	-5.391	-1	1	0.457	1	1	1
12	60	iid	LR	different	iid_different	left	-0.889	3.379	right	11	3.456	-1	1	0.394	1	0	1
12	112	iid	RL	different	iid_different	right	1.05	3.553	left	13	-3.169	-1	1	0.325	0	1	0
12	73	iid	LR	different	iid_different	left	-2.056	4.699	right	22	3.118	-1	1	0.519	1	0	1
