# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	acc_lv	same_side_as_lv	same_side_as_ms
27	56	iid	LR	different	iid_different	left	-0.974	2.955	right	9	5.179	-1	1	0.116	1	0	1
27	194	iid	RR	same	iid_same	right	1.816	6.152	right	38	4.335	-1	1	0.56	0	0	0
27	141	iid	RL	different	iid_different	right	1.575	6.045	left	37	-3.812	-1	1	0.464	0	1	0
27	197	iid	RR	same	iid_same	right	2.158	6.978	right	49	5.806	1	0	0.383	1	1	1
27	42	iid	LL	same	iid_same	left	-1.954	6.647	left	44	-13.663	-1	1	0.289	1	1	1
27	152	iid	RR	same	iid_same	right	2.413	2.537	right	6	6.728	-1	1	0.38	0	0	0
27	126	iid	RL	different	iid_different	right	1.794	4.732	left	22	-6.096	-1	1	0.353	0	1	0
27	40	iid	LL	same	iid_same	left	-2.137	6.102	left	37	-2.857	1	0	0.424	0	0	0
27	134	iid	RL	different	iid_different	right	1.581	5.468	left	30	-3.437	-1	1	0.428	0	1	0
27	83	iid	LR	different	iid_different	left	-1.014	5.344	right	29	3.279	1	0	0.437	0	1	0
27	14	iid	LL	same	iid_same	left	-2.465	3.163	left	10	-5.991	-1	1	0.216	1	1	1
27	85	iid	LR	different	iid_different	left	-1.907	4.917	right	24	2.755	-1	1	0.309	1	0	1
27	175	iid	RR	same	iid_same	right	1.971	4.243	right	18	3.981	1	0	0.367	1	1	1
27	191	iid	RR	same	iid_same	right	2.078	6.196	right	38	11.804	1	0	0.412	1	1	1
27	125	iid	RL	different	iid_different	right	1.007	4.726	left	22	-7.396	-1	1	0.421	0	1	0
27	6	iid	LL	same	iid_same	left	-2.375	2.81	left	8	-5.006	-1	1	0.334	1	1	1
27	147	iid	RL	different	iid_different	right	1.346	6.31	left	40	-3.058	-1	1	0.531	0	1	0
27	24	iid	LL	same	iid_same	left	-1.157	4.176	left	17	-2.95	-1	1	0.406	1	1	1
27	70	iid	LR	different	iid_different	left	-1.926	4.487	right	20	4.387	1	0	0.459	0	1	0
27	182	iid	RR	same	iid_same	right	2.179	5.057	right	26	5.865	1	0	0.412	1	1	1
27	131	iid	RL	different	iid_different	right	1.773	5.602	left	31	-12.73	-1	1	0.471	0	1	0
27	23	iid	LL	same	iid_same	left	-2.217	4.012	left	16	-3.328	-1	1	0.465	1	1	1
27	124	iid	RL	different	iid_different	right	1.906	4.326	left	19	-4.242	-1	1	0.38	0	1	0
27	52	iid	LR	different	iid_different	left	-1.512	2.3	right	5	5.012	-1	1	0.215	1	0	1
27	108	iid	RL	different	iid_different	right	2.027	2.567	left	7	-4.044	1	0	0.124	1	0	1
27	63	iid	LR	different	iid_different	left	-1.892	3.745	right	14	4.613	-1	1	0.185	1	0	1
27	64	iid	LR	different	iid_different	left	-1.583	3.228	right	10	4.674	1	0	0.632	0	1	0
27	169	iid	RR	same	iid_same	right	1.394	3.481	right	12	5.649	1	0	0.198	1	1	1
27	25	iid	LL	same	iid_same	left	-1.971	4.243	left	18	-3.981	-1	1	0.227	1	1	1
27	136	iid	RL	different	iid_different	right	1.405	5.417	left	29	-4.991	1	0	0.342	1	0	1
27	43	iid	LL	same	iid_same	left	-1.762	6.619	left	43	-11.962	-1	1	0.364	1	1	1
27	137	iid	RL	different	iid_different	right	1.078	5.502	left	30	-5.305	1	0	0.347	1	0	1
27	46	iid	LL	same	iid_same	left	-1.185	6.479	left	42	-5.232	1	0	0.387	0	0	0
27	4	iid	LL	same	iid_same	left	-2.051	2.291	left	5	-3.295	-1	1	0.06	1	1	1
27	165	iid	RR	same	iid_same	right	2.085	3.039	right	9	3.017	-1	1	0.154	0	0	0
27	54	iid	LR	different	iid_different	left	-1.113	2.948	right	9	2.555	-1	1	0.305	1	0	1
27	139	iid	RL	different	iid_different	right	0.999	5.404	left	30	-9.09	1	0	0.366	1	0	1
27	186	iid	RR	same	iid_same	right	1.917	5.864	right	35	11.991	1	0	0.363	1	1	1
27	8	iid	LL	same	iid_same	left	-1.147	2.092	left	4	-3.873	-1	1	0.157	1	1	1
27	13	iid	LL	same	iid_same	left	-1.629	3.238	left	11	-7.675	-1	1	0.143	1	1	1
27	5	iid	LL	same	iid_same	left	-2.123	2.129	left	5	-3.169	-1	1	0.215	1	1	1
27	33	iid	LL	same	iid_same	left	-2.547	5.207	left	27	-4.706	-1	1	0.359	1	1	1
27	81	iid	LR	different	iid_different	left	-1.773	5.602	right	31	12.73	1	0	0.424	0	1	0
27	31	iid	LL	same	iid_same	left	-2.689	5.667	left	33	-13.897	-1	1	0.482	1	1	1
27	59	iid	LR	different	iid_different	left	-1.193	2.511	right	6	2.767	-1	1	0.353	1	0	1
27	166	iid	RR	same	iid_same	right	1.331	3.134	right	10	7.001	1	0	0.38	1	1	1
27	103	iid	RL	different	iid_different	right	0.961	2.657	left	7	-2.843	-1	1	0.391	0	1	0
27	78	iid	LR	different	iid_different	left	-0.87	4.088	right	17	2.599	1	0	0.284	0	1	0
27	106	iid	RL	different	iid_different	right	0.974	2.955	left	9	-5.179	1	0	0.243	1	0	1
27	193	iid	RR	same	iid_same	right	1.762	6.619	right	43	11.962	1	0	0.48	1	1	1
27	156	iid	RR	same	iid_same	right	2.375	2.81	right	8	5.006	1	0	0.387	1	1	1
27	36	iid	LL	same	iid_same	left	-1.917	5.864	left	35	-11.991	1	0	0.443	0	0	0
27	132	iid	RL	different	iid_different	right	0.915	5.411	left	29	-4.576	1	0	0.421	1	0	1
27	117	iid	RL	different	iid_different	right	1.011	3.712	left	14	-2.576	1	0	0.206	1	0	1
27	75	iid	LR	different	iid_different	left	-1.007	4.726	right	22	7.396	-1	1	0.37	1	0	1
27	34	iid	LL	same	iid_same	left	-2.325	5.238	left	27	-4.616	1	0	0.46	0	0	0
27	111	iid	RL	different	iid_different	right	0.973	3.878	left	15	-2.704	-1	1	0.287	0	1	0
27	89	iid	LR	different	iid_different	left	-0.999	5.404	right	30	9.09	1	0	0.46	0	1	0
27	123	iid	RL	different	iid_different	right	2.056	4.699	left	22	-3.118	1	0	0.423	1	0	1
27	178	iid	RR	same	iid_same	right	1.983	4.508	right	20	4.197	1	0	0.382	1	1	1
27	127	iid	RL	different	iid_different	right	1.239	4.403	left	19	-7.711	-1	1	0.337	0	1	0
27	35	iid	LL	same	iid_same	left	-2.32	5.071	left	26	-7.877	-1	1	0.282	1	1	1
27	198	iid	RR	same	iid_same	right	2.101	6.227	right	39	4.733	1	0	0.43	1	1	1
27	87	iid	LR	different	iid_different	left	-1.078	5.502	right	30	5.305	-1	1	0.481	1	0	1
27	158	iid	RR	same	iid_same	right	1.147	2.092	right	4	3.873	-1	1	0.419	0	0	0
27	110	iid	RL	different	iid_different	right	0.889	3.379	left	11	-3.456	-1	1	0.444	0	1	0
27	91	iid	LR	different	iid_different	left	-1.575	6.045	right	37	3.812	-1	1	0.483	1	0	1
27	187	iid	RR	same	iid_same	right	1.988	5.494	right	30	5.674	1	0	0.495	1	1	1
27	145	iid	RL	different	iid_different	right	1.969	6.295	left	40	-10.722	1	0	0.38	1	0	1
27	51	iid	LR	different	iid_different	left	-0.806	2.319	right	5	3.749	1	0	0.421	0	1	0
27	16	iid	LL	same	iid_same	left	-1.331	3.134	left	10	-7.001	-1	1	0.35	1	1	1
27	58	iid	LR	different	iid_different	left	-2.027	2.567	right	7	4.044	1	0	0.38	0	1	0
27	177	iid	RR	same	iid_same	right	2.389	4.145	right	17	3.429	1	0	0.412	1	1	1
27	32	iid	LL	same	iid_same	left	-2.179	5.057	left	26	-5.865	-1	1	0.558	1	1	1
27	60	iid	LR	different	iid_different	left	-0.889	3.379	right	11	3.456	-1	1	0.377	1	0	1
27	112	iid	RL	different	iid_different	right	1.05	3.553	left	13	-3.169	-1	1	0.439	0	1	0
27	99	iid	LR	different	iid_different	left	-1.186	6.295	right	40	3.668	-1	1	0.535	1	0	1
27	163	iid	RR	same	iid_same	right	1.629	3.238	right	11	7.675	1	0	0.312	1	1	1
27	7	iid	LL	same	iid_same	left	-2.172	2.398	left	6	-6.377	-1	1	0.195	1	1	1
27	27	iid	LL	same	iid_same	left	-2.389	4.145	left	17	-3.429	-1	1	0.343	1	1	1
27	74	iid	LR	different	iid_different	left	-1.906	4.326	right	19	4.242	-1	1	0.283	1	0	1
27	196	iid	RR	same	iid_same	right	1.185	6.479	right	42	5.232	1	0	0.437	1	1	1
27	154	iid	RR	same	iid_same	right	2.051	2.291	right	5	3.295	1	0	0.454	1	1	1
27	118	iid	RL	different	iid_different	right	1.071	3.23	left	10	-4.659	-1	1	0.38	0	1	0
27	157	iid	RR	same	iid_same	right	2.172	2.398	right	6	6.377	1	0	0.378	1	1	1
27	153	iid	RR	same	iid_same	right	1.229	2.32	right	5	4.069	1	0	0.303	1	1	1
27	68	iid	LR	different	iid_different	left	-1.071	3.23	right	10	4.659	-1	1	0.371	1	0	1
27	3	iid	LL	same	iid_same	left	-1.229	2.32	left	5	-4.069	-1	1	0.239	1	1	1
27	47	iid	LL	same	iid_same	left	-2.158	6.978	left	49	-5.806	-1	1	0.622	1	1	1
27	84	iid	LR	different	iid_different	left	-1.581	5.468	right	30	3.437	-1	1	0.414	1	0	1
27	61	iid	LR	different	iid_different	left	-0.973	3.878	right	15	2.704	1	0	0.492	0	1	0
27	135	iid	RL	different	iid_different	right	1.907	4.917	left	24	-2.755	1	0	0.404	1	0	1
27	170	iid	RR	same	iid_same	right	2.263	4.205	right	18	3.056	1	0	0.093	1	1	1
27	28	iid	LL	same	iid_same	left	-1.983	4.508	left	20	-4.197	-1	1	0.302	1	1	1
27	120	iid	RL	different	iid_different	right	1.926	4.487	left	20	-4.387	1	0	0.366	1	0	1
27	48	iid	LL	same	iid_same	left	-2.101	6.227	left	39	-4.733	-1	1	0.475	1	1	1
27	162	iid	RR	same	iid_same	right	1.311	3.437	right	12	3.281	-1	1	0.365	0	0	0
27	73	iid	LR	different	iid_different	left	-2.056	4.699	right	22	3.118	-1	1	0.401	1	0	1
27	104	iid	RL	different	iid_different	right	1.113	2.948	left	9	-2.555	1	0	0.407	1	0	1
27	21	iid	LL	same	iid_same	left	-2.081	4.839	left	24	-11.931	1	0	0.615	0	0	0
27	49	iid	LL	same	iid_same	left	-1.82	6.317	left	40	-5.053	-1	1	0.472	1	1	1
27	148	iid	RL	different	iid_different	right	0.971	6.212	left	39	-8.275	1	0	0.468	1	0	1
27	30	iid	LL	same	iid_same	left	-1.432	5.195	left	27	-7.161	-1	1	0.405	1	1	1
27	20	iid	LL	same	iid_same	left	-2.263	4.205	left	18	-3.056	-1	1	0.4	1	1	1
27	53	iid	LR	different	iid_different	left	-0.961	2.657	right	7	2.843	-1	1	0.234	1	0	1
27	113	iid	RL	different	iid_different	right	1.892	3.745	left	14	-4.613	1	0	0.286	1	0	1
27	142	iid	RL	different	iid_different	right	1.12	6.035	left	36	-5.179	1	0	0.414	1	0	1
27	176	iid	RR	same	iid_same	right	1.929	4.66	right	22	8.105	1	0	0.442	1	1	1
27	94	iid	LR	different	iid_different	left	-1.676	6.092	right	37	6.022	1	0	0.45	0	1	0
27	44	iid	LL	same	iid_same	left	-1.816	6.152	left	38	-4.335	-1	1	0.533	1	1	1
27	100	iid	RL	different	iid_different	right	2.251	2.722	left	8	-3.383	1	0	0.435	1	0	1
27	90	iid	LR	different	iid_different	left	-2.17	6.546	right	43	2.644	-1	1	0.444	1	0	1
27	71	iid	LR	different	iid_different	left	-1.764	4.73	right	22	2.728	-1	1	0.458	1	0	1
27	119	iid	RL	different	iid_different	right	2.377	3.329	left	11	-2.683	1	0	0.289	1	0	1
27	76	iid	LR	different	iid_different	left	-1.794	4.732	right	22	6.096	-1	1	0.379	1	0	1
27	150	iid	RR	same	iid_same	right	1.672	2.125	right	5	3.182	1	0	0.36	1	1	1
27	15	iid	LL	same	iid_same	left	-2.085	3.039	left	9	-3.017	-1	1	0.265	1	1	1
27	9	iid	LL	same	iid_same	left	-1.71	2.788	left	8	-5.391	-1	1	0.353	1	1	1
27	159	iid	RR	same	iid_same	right	1.71	2.788	right	8	5.391	-1	1	0.569	0	0	0
27	102	iid	RL	different	iid_different	right	1.512	2.3	left	5	-5.012	-1	1	0.323	0	1	0
27	105	iid	RL	different	iid_different	right	1.076	2.085	left	4	-4.474	-1	1	0.498	0	1	0
27	129	iid	RL	different	iid_different	right	2.149	4.637	left	22	-6.019	1	0	0.253	1	0	1
27	22	iid	LL	same	iid_same	left	-1.158	4.684	left	22	-3.138	1	0	0.24	0	0	0
27	114	iid	RL	different	iid_different	right	1.583	3.228	left	10	-4.674	1	0	0.449	1	0	1
27	77	iid	LR	different	iid_different	left	-1.239	4.403	right	19	7.711	1	0	0.347	0	1	0
27	172	iid	RR	same	iid_same	right	1.158	4.684	right	22	3.138	-1	1	0.417	0	0	0
27	50	iid	LR	different	iid_different	left	-2.251	2.722	right	8	3.383	-1	1	0.317	1	0	1
27	164	iid	RR	same	iid_same	right	2.465	3.163	right	10	5.991	1	0	0.387	1	1	1
27	190	iid	RR	same	iid_same	right	2.137	6.102	right	37	2.857	-1	1	0.563	0	0	0
27	18	iid	LL	same	iid_same	left	-1.853	3.209	left	10	-4.809	-1	1	0.371	1	1	1
27	101	iid	RL	different	iid_different	right	0.806	2.319	left	5	-3.749	1	0	0.414	1	0	1
27	86	iid	LR	different	iid_different	left	-1.405	5.417	right	29	4.991	-1	1	0.431	1	0	1
27	96	iid	LR	different	iid_different	left	-1.995	6.028	right	36	3.041	-1	1	0.402	1	0	1
27	130	iid	RL	different	iid_different	right	1.134	4.973	left	25	-3.726	-1	1	0.47	0	1	0
27	88	iid	LR	different	iid_different	left	-1.027	5.533	right	31	3.742	-1	1	0.513	1	0	1
27	72	iid	LR	different	iid_different	left	-1.283	4.911	right	24	3.587	1	0	0.649	0	1	0
27	107	iid	RL	different	iid_different	right	2.189	2.964	left	9	-2.592	1	0	0.176	1	0	1
27	174	iid	RR	same	iid_same	right	1.157	4.176	right	17	2.95	1	0	0.312	1	1	1
27	161	iid	RR	same	iid_same	right	1.454	3.202	right	10	2.972	1	0	0.508	1	1	1
27	69	iid	LR	different	iid_different	left	-2.377	3.329	right	11	2.683	-1	1	0.302	1	0	1
27	97	iid	LR	different	iid_different	left	-1.346	6.31	right	40	3.058	1	0	0.374	0	1	0
27	98	iid	LR	different	iid_different	left	-0.971	6.212	right	39	8.275	-1	1	0.492	1	0	1
27	115	iid	RL	different	iid_different	right	2.055	3.917	left	16	-5.82	-1	1	0.418	0	1	0
27	109	iid	RL	different	iid_different	right	1.193	2.511	left	6	-2.767	1	0	0.278	1	0	1
27	199	iid	RR	same	iid_same	right	1.82	6.317	right	40	5.053	1	0	0.378	1	1	1
27	184	iid	RR	same	iid_same	right	2.325	5.238	right	27	4.616	-1	1	0.439	0	0	0
27	179	iid	RR	same	iid_same	right	1.621	4.376	right	19	14.001	1	0	0.263	1	1	1
27	192	iid	RR	same	iid_same	right	1.954	6.647	right	44	13.663	1	0	0.518	1	1	1
27	26	iid	LL	same	iid_same	left	-1.929	4.66	left	22	-8.105	-1	1	0.426	1	1	1
27	140	iid	RL	different	iid_different	right	2.17	6.546	left	43	-2.644	1	0	0.503	1	0	1
27	55	iid	LR	different	iid_different	left	-1.076	2.085	right	4	4.474	1	0	0.048	0	1	0
27	143	iid	RL	different	iid_different	right	1.486	6.421	left	41	-8.888	1	0	0.218	1	0	1
27	2	iid	LL	same	iid_same	left	-2.413	2.537	left	6	-6.728	-1	1	0.081	1	1	1
27	0	iid	LL	same	iid_same	left	-1.672	2.125	left	5	-3.182	-1	1	0.106	1	1	1
