# subj	trial	index_traj	path	last_cond	condition	index_old	mean_side	mean_val	mean_last5	mean_last15	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	prop_last_5	prop_last_15	prop_ms	prop_lv	accuracy
2	129	4	15%	same	same_15	17	left	-0.985	-1.043	-1.041	3.711	right	13	2.576	-1	0.724	1	1	1	0	1
2	0	20	15%	same	same_15	44	left	-1.608	-1.599	-1.642	6.108	right	36	6.022	-1	1.695	1	1	1	0	1
2	126	22	15%	same	same_15	47	right	1.307	1.324	1.304	6.295	left	39	-3.058	1	0.644	1	1	1	0	1
2	52	15	5%	same	same_5	34	left	-1.54	-1.511	1.022	5.464	right	29	3.437	1	1.118	0	1	0	1	0
2	51	2	5%	same	same_5	9	left	-1.166	-1.125	0.128	2.524	right	5	2.767	-1	0.982	1	0	1	0	1
2	50	20	5%	same	same_5	44	left	-1.608	-1.595	0.095	6.108	right	36	6.022	-1	1.156	1	0	1	0	1
2	49	10	15%	same	same_15	29	left	-2.085	-2.054	-2.042	4.674	right	21	6.019	1	0.917	0	0	0	1	0
2	48	2	15%	same	same_15	9	right	1.166	1.191	1.212	2.524	left	5	-2.767	-1	1.252	0	0	0	1	0
2	46	6	15%	same	same_15	21	right	1.729	1.819	1.753	4.728	left	21	-2.728	1	1.133	1	1	1	0	1
2	43	17	15%	same	same_15	40	right	2.125	2.208	2.087	6.532	left	42	-2.644	-1	0.984	0	0	0	1	0
2	42	18	15%	same	same_15	41	left	-1.528	-1.518	-1.564	6.039	right	36	3.812	1	0.982	0	0	0	1	0
2	41	23	15%	same	same_15	48	left	-0.888	-0.866	-0.928	6.245	right	38	8.275	1	0.982	0	0	0	1	0
2	39	6	15%	same	same_15	21	left	-1.729	-1.819	-1.753	4.728	right	21	2.728	-1	0.982	1	1	1	0	1
2	38	24	15%	same	same_15	49	left	-1.143	-1.227	-1.17	6.283	right	39	3.668	-1	0.982	1	1	1	0	1
2	37	14	15%	same	same_15	33	right	0.979	0.973	0.996	5.336	left	28	-3.279	1	1.353	1	1	1	0	1
2	34	14	15%	same	same_15	33	left	-0.979	-0.973	-0.996	5.336	right	28	3.279	-1	0.98	1	1	1	0	1
2	33	19	15%	same	same_15	43	left	-1.392	-1.428	-1.447	6.468	right	40	8.888	-1	0.997	1	1	1	0	1
2	32	20	15%	same	same_15	44	right	1.608	1.599	1.642	6.108	left	36	-6.022	-1	1.08	0	0	0	1	0
2	31	8	15%	same	same_15	26	right	1.733	1.778	1.829	4.764	left	21	-6.096	-1	1.0	0	0	0	1	0
2	30	8	15%	same	same_15	26	left	-1.733	-1.778	-1.829	4.764	right	21	6.096	1	1.062	0	0	0	1	0
2	1	2	15%	same	same_15	9	left	-1.166	-1.191	-1.212	2.524	right	5	2.767	-1	1.563	1	1	1	0	1
2	2	15	15%	same	same_15	34	left	-1.54	-1.495	-1.599	5.464	right	29	3.437	1	0.997	0	0	0	1	0
2	3	22	15%	same	same_15	47	left	-1.307	-1.324	-1.304	6.295	right	39	3.058	-1	1.305	1	1	1	0	1
2	8	11	15%	same	same_15	30	left	-1.096	-1.174	-1.041	4.972	right	24	3.726	-1	1.904	1	1	1	0	1
2	10	9	15%	same	same_15	27	left	-1.171	-1.165	-1.159	4.454	right	18	7.711	-1	0.782	1	1	1	0	1
2	11	13	15%	same	same_15	32	right	0.87	0.842	0.86	5.412	left	28	-4.576	1	0.726	1	1	1	0	1
2	53	22	5%	same	same_5	47	left	-1.307	-1.292	0.477	6.295	right	39	3.058	1	0.863	0	1	0	1	0
2	13	0	15%	same	same_15	1	left	-0.775	-0.739	-0.796	2.342	right	4	3.749	1	0.681	0	0	0	1	0
2	16	5	15%	same	same_15	18	left	-1.031	-1.055	-0.965	3.254	right	9	4.659	-1	0.982	1	1	1	0	1
2	17	1	15%	same	same_15	6	left	-0.931	-0.863	-0.896	2.989	right	8	5.179	-1	0.811	1	1	1	0	1
2	20	19	15%	same	same_15	43	right	1.392	1.428	1.447	6.468	left	40	-8.888	1	1.736	1	1	1	0	1
2	21	12	15%	same	same_15	31	left	-1.652	-1.559	-1.573	5.732	right	30	12.73	1	0.95	0	0	0	1	0
2	24	12	15%	same	same_15	31	right	1.652	1.559	1.573	5.732	left	30	-12.73	-1	1.568	0	0	0	1	0
2	29	21	15%	same	same_15	45	right	1.854	1.756	1.876	6.381	left	39	-10.722	-1	1.403	0	0	0	1	0
2	15	13	15%	same	same_15	32	left	-0.87	-0.842	-0.86	5.412	right	28	4.576	-1	1.33	1	1	1	0	1
2	58	11	5%	same	same_5	30	left	-1.096	-1.093	0.527	4.972	right	24	3.726	-1	1.036	1	0	1	0	1
2	60	9	5%	same	same_5	27	left	-1.171	-1.15	0.605	4.454	right	18	7.711	-1	0.656	1	0	1	0	1
2	61	13	5%	same	same_5	32	right	0.87	0.823	-0.779	5.412	left	28	-4.576	1	0.899	1	0	1	0	1
2	93	17	5%	same	same_5	40	right	2.125	2.076	-0.862	6.532	left	42	-2.644	-1	0.659	0	1	0	1	0
2	96	6	5%	same	same_5	22	right	1.244	1.278	-0.269	4.911	left	23	-3.587	-1	0.873	0	1	0	1	0
2	98	2	5%	same	same_5	9	right	1.166	1.125	-0.128	2.524	left	5	-2.767	-1	1.701	0	1	0	1	0
2	100	15	15%	same	same_15	34	right	1.54	1.495	1.599	5.464	left	29	-3.437	1	0.606	1	1	1	0	1
2	104	1	15%	same	same_15	6	right	0.931	0.863	0.896	2.989	left	8	-5.179	-1	0.97	0	0	0	1	0
2	107	4	15%	same	same_15	17	right	0.985	1.043	1.041	3.711	left	13	-2.576	-1	1.123	0	0	0	1	0
2	92	18	5%	same	same_5	41	left	-1.528	-1.438	0.779	6.039	right	36	3.812	-1	1.161	1	0	1	0	1
2	108	0	15%	same	same_15	1	right	0.775	0.739	0.796	2.342	left	4	-3.749	-1	0.771	0	0	0	1	0
2	110	16	15%	same	same_15	39	right	0.915	0.924	0.87	5.459	left	29	-9.09	-1	0.843	0	0	0	1	0
2	112	3	15%	same	same_15	11	left	-0.946	-0.864	-0.966	3.877	right	14	2.704	1	0.982	0	0	0	1	0
2	117	7	15%	same	same_15	25	left	-0.942	-0.973	-0.846	4.765	right	21	7.396	1	1.261	0	0	0	1	0
2	118	3	15%	same	same_15	11	right	0.946	0.864	0.966	3.877	left	14	-2.704	-1	0.92	0	0	0	1	0
2	121	23	15%	same	same_15	48	right	0.888	0.866	0.928	6.245	left	38	-8.275	1	0.76	1	1	1	0	1
2	125	7	15%	same	same_15	25	right	0.942	0.973	0.846	4.765	left	21	-7.396	1	0.653	1	1	1	0	1
2	109	18	15%	same	same_15	41	right	1.528	1.518	1.564	6.039	left	36	-3.812	-1	1.273	0	0	0	1	0
2	128	11	15%	same	same_15	30	right	1.096	1.174	1.041	4.972	left	24	-3.726	1	0.657	1	1	1	0	1
2	91	23	5%	same	same_5	48	left	-0.888	-0.867	0.112	6.245	right	38	8.275	1	0.744	0	1	0	1	0
2	88	24	5%	same	same_5	49	left	-1.143	-1.175	0.382	6.283	right	39	3.668	1	0.65	0	1	0	1	0
2	63	0	5%	same	same_5	1	left	-0.775	-0.751	0.082	2.342	right	4	3.749	1	0.725	0	1	0	1	0
2	65	13	5%	same	same_5	32	left	-0.87	-0.823	0.779	5.412	right	28	4.576	-1	1.194	1	0	1	0	1
2	66	5	5%	same	same_5	18	left	-1.031	-1.043	0.197	3.254	right	9	4.659	1	0.659	0	1	0	1	0
2	67	1	5%	same	same_5	6	left	-0.931	-1.029	0.275	2.989	right	8	5.179	1	0.765	0	1	0	1	0
2	70	19	5%	same	same_5	43	right	1.392	1.395	-1.036	6.468	left	40	-8.888	-1	0.738	0	1	0	1	0
2	71	12	5%	same	same_5	31	left	-1.652	-1.56	0.405	5.732	right	30	12.73	1	0.659	0	1	0	1	0
2	89	6	5%	same	same_5	22	left	-1.244	-1.278	0.269	4.911	right	23	3.587	-1	0.749	1	0	1	0	1
2	74	12	5%	same	same_5	31	right	1.652	1.56	-0.405	5.732	left	30	-12.73	-1	1.324	0	1	0	1	0
2	80	8	5%	same	same_5	26	left	-1.733	-1.806	0.163	4.764	right	21	6.096	1	0.839	0	1	0	1	0
2	81	8	5%	same	same_5	26	right	1.733	1.806	-0.163	4.764	left	21	-6.096	1	0.558	1	0	1	0	1
2	82	20	5%	same	same_5	44	right	1.608	1.595	-0.095	6.108	left	36	-6.022	-1	0.719	0	1	0	1	0
2	83	19	5%	same	same_5	43	left	-1.392	-1.395	1.036	6.468	right	40	8.888	1	1.987	0	1	0	1	0
2	84	14	5%	same	same_5	33	left	-0.979	-0.946	0.98	5.336	right	28	3.279	-1	1.866	1	0	1	0	1
2	87	14	5%	same	same_5	33	right	0.979	0.946	-0.98	5.336	left	28	-3.279	-1	1.112	0	1	0	1	0
2	79	21	5%	same	same_5	45	right	1.854	1.84	-0.117	6.381	left	39	-10.722	-1	1.277	0	1	0	1	0
2	99	10	5%	same	same_5	29	left	-2.085	-2.034	0.587	4.674	right	21	6.019	1	0.73	0	1	0	1	0
