;num_trial;path_seed;noise_lvl;slope;sd;mean;min;max;response;RT;prop_left;acc
0;0;564542017;3.0;6.0;3.0;5.96;-0.74;13.03;1;0.4;0;1
1;1;564542017;3.0;4.0;3.0;3.96;-2.74;11.03;1;0.349;0;1
2;2;708828609;3.0;2.0;2.98;1.99;-4.33;8.74;1;0.369;0;1
3;3;708828609;3.0;0.0;2.98;-0.01;-6.33;6.74;1;0.406;0;0
4;4;348283459;3.0;-1.0;2.98;-0.99;-9.26;6.74;-1;0.372;1;1
5;5;348283459;3.0;-1.0;2.98;-0.99;-9.26;6.74;1;0.176;0;0
6;6;267566244;3.0;-1.5;2.98;-1.5;-8.18;5.06;1;0.153;0;0
7;7;267566244;3.0;-2.0;2.98;-2.0;-8.68;4.56;1;0.282;0;0
8;8;16647301;3.0;-2.5;3.0;-2.54;-9.3;4.45;1;0.412;0;0
9;9;16647301;3.0;-3.0;3.0;-3.04;-9.8;3.95;1;0.376;0;0
10;10;182719943;3.0;-3.5;3.03;-3.57;-9.89;3.16;-1;0.409;1;1
11;11;182719943;3.0;-3.5;3.03;-3.57;-9.89;3.16;-1;0.445;1;1
12;12;663561545;3.0;-3.0;2.97;-3.0;-10.28;4.5;-1;0.408;1;1
13;13;663561545;3.0;-3.0;2.97;-3.0;-10.28;4.5;-1;0.548;1;1
14;14;736200266;3.0;-2.5;2.98;-2.51;-9.95;4.08;-1;0.592;1;1
15;15;736200266;3.0;-2.5;2.98;-2.51;-9.95;4.08;-1;0.40700000000000003;1;1
16;16;939097707;3.0;-2.0;3.0;-2.03;-9.34;5.36;-1;0.3;1;1
17;17;939097707;3.0;-2.0;3.0;-2.03;-9.34;5.36;-1;0.276;1;1
18;18;347338382;3.0;-1.5;2.99;-1.51;-9.21;6.24;1;0.287;0;0
19;19;347338382;3.0;-2.0;2.99;-2.01;-9.71;5.74;-1;0.421;1;1
20;20;714756784;3.0;-6.0;3.0;-6.05;-13.51;1.39;-1;0.40700000000000003;1;1
21;21;714756784;3.0;-4.0;3.0;-4.05;-11.51;3.39;-1;0.389;1;1
22;22;550250207;3.0;-2.0;3.0;-2.03;-8.74;4.33;-1;0.40700000000000003;1;1
23;23;550250207;3.0;0.0;3.0;-0.03;-6.74;6.33;-1;0.374;1;0
24;24;893629044;3.0;1.0;3.0;0.96;-6.05;8.4;1;0.572;0;1
25;25;893629044;3.0;1.0;3.0;0.96;-6.05;8.4;1;0.53;0;1
26;26;994409911;3.0;0.5;2.99;0.52;-6.62;6.64;1;0.412;0;1
27;27;994409911;3.0;0.5;2.99;0.52;-6.62;6.64;1;0.534;0;1
28;28;935484024;3.0;0.0;2.97;-0.0;-7.88;7.72;1;0.25;0;0
29;29;935484024;3.0;1.0;2.97;1.0;-6.88;8.72;1;0.756;0;1
30;30;798330489;3.0;1.0;2.99;1.03;-6.42;8.01;1;0.68;0;1
31;31;798330489;3.0;0.5;2.99;0.53;-6.92;7.51;1;0.31;0;1
32;32;928864415;3.0;0.5;2.98;0.48;-7.45;8.19;1;0.334;0;1
33;33;928864415;3.0;0.0;2.98;-0.02;-7.95;7.69;1;0.515;0;0
34;34;347338382;3.0;1.0;2.99;0.99;-6.71;8.74;1;0.404;0;1
35;35;347338382;3.0;1.0;2.99;0.99;-6.71;8.74;1;0.259;0;1
36;36;409060100;3.0;0.5;3.01;0.55;-5.66;6.66;1;0.788;0;1
37;37;409060100;3.0;0.5;3.01;0.55;-5.66;6.66;1;0.40700000000000003;0;1
38;38;658159113;3.0;0.0;2.99;0.04;-6.87;7.56;1;0.822;0;0
39;39;658159113;3.0;1.0;2.99;1.04;-5.87;8.56;1;0.373;0;1
40;0;380127118;1.5;6.0;1.49;5.98;2.81;9.17;1;0.427;0;1
41;1;380127118;1.5;4.0;1.49;3.98;0.81;7.17;1;0.405;0;1
42;2;438462352;1.5;2.0;1.49;2.0;-0.59;5.52;1;0.467;0;1
43;3;438462352;1.5;0.0;1.49;-0.0;-2.59;3.52;1;0.537;0;0
44;4;570875540;1.5;-1.0;1.5;-0.98;-4.87;2.94;1;0.375;0;0
45;5;570875540;1.5;-1.5;1.5;-1.48;-5.37;2.44;1;0.295;0;0
46;6;79695259;1.5;-2.0;1.5;-2.0;-5.67;2.09;-1;0.489;1;1
47;7;79695259;1.5;-2.0;1.5;-2.0;-5.67;2.09;-1;0.416;1;1
48;8;357337627;1.5;-1.5;1.49;-1.52;-4.82;1.25;-1;0.422;1;1
49;9;357337627;1.5;-1.5;1.49;-1.52;-4.82;1.25;-1;0.458;1;1
50;10;339048478;1.5;-1.0;1.53;-1.04;-4.46;2.23;-1;0.489;1;1
51;11;339048478;1.5;-1.0;1.53;-1.04;-4.46;2.23;-1;0.466;1;1
52;12;3897512;1.5;-0.5;1.5;-0.53;-3.41;2.57;-1;0.51;1;1
53;13;3897512;1.5;-0.5;1.5;-0.53;-3.41;2.57;-1;0.687;1;1
54;14;152833960;1.5;0.0;1.48;-0.0;-3.44;3.53;-1;0.506;1;0
55;15;152833960;1.5;-1.0;1.48;-1.0;-4.44;2.53;1;0.568;0;0
56;16;386198835;1.5;-1.5;1.5;-1.5;-4.78;1.48;-1;0.511;1;1
57;17;386198835;1.5;-1.5;1.5;-1.5;-4.78;1.48;-1;0.533;1;1
58;18;426752948;1.5;-1.0;1.5;-1.01;-4.29;2.66;-1;0.353;1;1
59;19;426752948;1.5;-1.0;1.5;-1.01;-4.29;2.66;-1;0.616;1;1
60;20;279855541;1.5;-6.0;1.53;-6.05;-9.73;-2.99;-1;0.475;1;1
61;21;279855541;1.5;-4.0;1.53;-4.05;-7.73;-0.99;-1;0.585;1;1
62;22;295334325;1.5;-2.0;1.48;-2.0;-6.12;1.16;1;0.525;0;0
63;23;295334325;1.5;-2.5;1.48;-2.5;-6.62;0.66;-1;0.662;1;1
64;24;188144440;1.5;-2.5;1.51;-2.46;-6.33;0.74;-1;0.599;1;1
65;25;188144440;1.5;-2.0;1.51;-1.96;-5.83;1.24;1;0.566;0;0
66;26;393153215;1.5;-2.5;1.49;-2.51;-6.04;1.21;-1;0.54;1;1
67;27;393153215;1.5;-2.5;1.49;-2.51;-6.04;1.21;1;0.505;0;0
68;28;639661761;1.5;-3.0;1.49;-2.99;-6.75;0.64;-1;0.551;1;1
69;29;639661761;1.5;-3.0;1.49;-2.99;-6.75;0.64;-1;0.442;1;1
70;30;854310224;1.5;-2.5;1.5;-2.53;-5.53;1.23;-1;0.439;1;1
71;31;854310224;1.5;-2.5;1.5;-2.53;-5.53;1.23;-1;0.428;1;1
72;32;969697365;1.5;-2.0;1.5;-2.02;-5.81;1.38;-1;0.399;1;1
73;33;969697365;1.5;-2.0;1.5;-2.02;-5.81;1.38;-1;0.481;1;1
74;34;573494491;1.5;-1.5;1.55;-1.45;-4.9;2.04;1;0.44;0;0
75;35;573494491;1.5;-2.0;1.55;-1.95;-5.4;1.54;-1;0.544;1;1
76;36;206088160;1.5;-2.0;1.48;-2.01;-5.54;1.23;-1;0.386;1;1
77;37;206088160;1.5;-1.5;1.48;-1.51;-5.04;1.73;-1;0.323;1;1
78;38;427832034;1.5;-1.5;1.49;-1.51;-4.42;2.04;-1;0.497;1;1
79;39;427832034;1.5;-1.0;1.49;-1.01;-3.92;2.54;-1;0.472;1;1
80;0;372553040;6.0;6.0;6.07;5.87;-9.69;18.29;1;0.383;0;1
81;1;372553040;6.0;4.0;6.07;3.87;-11.69;16.29;1;0.367;0;1
82;2;733117513;6.0;2.0;5.98;1.94;-15.1;15.46;1;0.299;0;1
83;3;733117513;6.0;0.0;5.98;-0.06;-17.1;13.46;1;0.405;0;0
84;4;575387501;6.0;-1.0;6.17;-1.2;-18.57;9.12;-1;0.396;1;1
85;5;575387501;6.0;-1.0;6.17;-1.2;-18.57;9.12;-1;0.472;1;1
86;6;16647301;6.0;-0.5;6.01;-0.59;-14.1;13.4;1;0.714;0;0
87;7;16647301;6.0;-1.0;6.01;-1.09;-14.6;12.9;1;0.366;0;0
88;8;610624057;6.0;-1.5;5.99;-1.43;-15.72;11.24;1;0.808;0;0
89;9;610624057;6.0;-2.0;5.99;-1.93;-16.22;10.74;1;0.463;0;0
90;10;731673578;6.0;-2.5;5.96;-2.52;-16.29;11.56;-1;0.419;1;1
91;11;731673578;6.0;-2.5;5.96;-2.52;-16.29;11.56;1;0.794;0;0
92;12;538339265;6.0;-3.0;6.03;-2.89;-17.08;12.07;1;0.833;0;0
93;13;538339265;6.0;-3.5;6.03;-3.39;-17.58;11.57;-1;0.875;1;1
94;14;638354634;6.0;-3.5;5.96;-3.45;-17.99;13.23;-1;0.418;1;1
95;15;638354634;6.0;-3.0;5.96;-2.95;-17.49;13.73;-1;0.78;1;1
96;16;956002509;6.0;-3.0;5.96;-3.02;-16.82;9.07;-1;0.522;1;1
97;17;956002509;6.0;-2.5;5.96;-2.52;-16.32;9.57;-1;0.727;1;1
98;18;728976698;6.0;-2.5;6.02;-2.39;-17.24;10.29;1;0.973;0;0
99;19;728976698;6.0;-3.0;6.02;-2.89;-17.74;9.79;-1;0.538;1;1
100;20;372553040;6.0;-6.0;6.07;-6.13;-21.69;6.29;-1;0.739;1;1
101;21;372553040;6.0;-4.0;6.07;-4.13;-19.69;8.29;-1;0.767;1;1
102;22;733117513;6.0;-2.0;5.98;-2.06;-19.1;11.46;1;0.535;0;0
103;23;733117513;6.0;-2.5;5.98;-2.56;-19.6;10.96;-1;0.421;1;1
104;24;575387501;6.0;-2.5;6.17;-2.7;-20.07;7.62;-1;0.519;1;1
105;25;575387501;6.0;-2.0;6.17;-2.2;-19.57;8.12;-1;0.509;1;1
106;26;16647301;6.0;-2.0;6.01;-2.09;-15.6;11.9;-1;0.439;1;1
107;27;16647301;6.0;-1.5;6.01;-1.59;-15.1;12.4;-1;0.486;1;1
108;28;610624057;6.0;-1.5;5.99;-1.43;-15.72;11.24;1;0.473;0;0
109;29;610624057;6.0;-2.0;5.99;-1.93;-16.22;10.74;1;0.477;0;0
110;30;731673578;6.0;-2.5;5.96;-2.52;-16.29;11.56;-1;0.37;1;1
111;31;731673578;6.0;-2.5;5.96;-2.52;-16.29;11.56;-1;0.386;1;1
112;32;538339265;6.0;-2.0;6.03;-1.89;-16.08;13.07;1;0.475;0;0
113;33;538339265;6.0;-2.5;6.03;-2.39;-16.58;12.57;-1;0.847;1;1
114;34;638354634;6.0;-2.5;5.96;-2.45;-16.99;14.23;-1;0.499;1;1
115;35;638354634;6.0;-2.0;5.96;-1.95;-16.49;14.73;-1;0.54;1;1
116;36;956002509;6.0;-2.0;5.96;-2.02;-15.82;10.07;-1;0.507;1;1
117;37;956002509;6.0;-1.5;5.96;-1.52;-15.32;10.57;-1;0.55;1;1
118;38;728976698;6.0;-1.5;6.02;-1.39;-16.24;11.29;-1;0.442;1;1
119;39;728976698;6.0;-1.0;6.02;-0.89;-15.74;11.79;-1;0.423;1;1
120;0;678891659;4.5;6.0;4.51;5.94;-5.44;17.66;1;0.533;0;1
121;1;678891659;4.5;4.0;4.51;3.94;-7.44;15.66;1;0.061;0;1
122;2;101637981;4.5;2.0;4.48;2.06;-8.95;12.03;1;0.487;0;1
123;3;101637981;4.5;0.0;4.48;0.06;-10.95;10.03;1;0.461;0;0
124;4;347338382;4.5;1.0;4.48;0.98;-10.57;12.62;1;0.773;0;1
125;5;347338382;4.5;1.0;4.48;0.98;-10.57;12.62;1;0.865;0;1
126;6;538339265;4.5;0.5;4.52;0.58;-10.06;11.8;1;0.613;0;1
127;7;538339265;4.5;0.5;4.52;0.58;-10.06;11.8;1;0.977;0;1
128;8;731673578;4.5;0.0;4.47;-0.02;-10.34;10.54;1;0.927;0;0
129;9;731673578;4.5;1.0;4.47;0.98;-9.34;11.54;1;0.655;0;1
130;10;447369645;4.5;1.0;4.49;1.04;-10.73;10.67;1;1.009;0;1
131;11;447369645;4.5;0.5;4.49;0.54;-11.23;10.17;1;0.938;0;1
132;12;164302326;4.5;0.5;4.46;0.5;-10.8;13.62;1;0.744;0;1
133;13;164302326;4.5;0.0;4.46;0.0;-11.3;13.12;1;0.627;0;0
134;14;610624057;4.5;-1.0;4.49;-0.95;-11.66;8.56;1;0.573;0;0
135;15;610624057;4.5;-1.5;4.49;-1.45;-12.16;8.06;1;0.527;0;0
136;16;973130780;4.5;-2.0;4.61;-2.15;-12.89;9.55;1;0.743;0;0
137;17;973130780;4.5;-2.5;4.61;-2.65;-13.39;9.05;-1;0.803;1;1
138;18;570542700;4.5;-2.5;4.5;-2.44;-13.54;6.21;-1;0.754;1;1
139;19;570542700;4.5;-2.0;4.5;-1.94;-13.04;6.71;1;0.592;0;0
140;20;956002509;4.5;-6.0;4.47;-6.01;-16.36;3.06;-1;0.534;1;1
141;21;956002509;4.5;-4.0;4.47;-4.01;-14.36;5.06;-1;0.496;1;1
142;22;575387501;4.5;-2.0;4.63;-2.15;-15.18;5.59;-1;0.794;1;1
143;23;575387501;4.5;0.0;4.63;-0.15;-13.18;7.59;-1;0.581;1;0
144;24;675929460;4.5;1.0;4.51;1.06;-10.29;12.92;1;0.384;0;1
145;25;675929460;4.5;1.0;4.51;1.06;-10.29;12.92;1;0.483;0;1
146;26;953722694;4.5;0.5;4.6;0.63;-8.47;12.75;1;0.464;0;1
147;27;953722694;4.5;0.5;4.6;0.63;-8.47;12.75;1;1.158;0;1
148;28;242808426;4.5;0.0;4.46;-0.01;-11.94;15.07;1;0.521;0;0
149;29;242808426;4.5;-1.0;4.46;-1.01;-12.94;14.07;-1;0.593;1;1
150;30;893241675;4.5;-1.0;4.46;-0.99;-15.56;6.3;1;0.411;0;0
151;31;893241675;4.5;-1.5;4.46;-1.49;-16.06;5.8;-1;0.558;1;1
152;32;764797806;4.5;-1.5;4.48;-1.53;-12.04;8.25;-1;0.491;1;1
153;33;764797806;4.5;-1.0;4.48;-1.03;-11.54;8.75;-1;0.345;1;1
154;34;164302326;4.5;-1.0;4.46;-1.0;-12.3;12.12;-1;0.652;1;1
155;35;164302326;4.5;-0.5;4.46;-0.5;-11.8;12.62;-1;0.825;1;1
156;36;851986172;4.5;-0.5;4.48;-0.53;-10.69;11.53;-1;0.837;1;1
157;37;851986172;4.5;0.0;4.48;-0.03;-10.19;12.03;-1;0.329;1;0
158;38;851986172;4.5;1.0;4.48;0.97;-9.19;13.03;1;0.453;0;1
159;39;851986172;4.5;1.0;4.48;0.97;-9.19;13.03;1;0.344;0;1
