;num_trial;path_seed;noise_lvl;slope;sd;mean;min;max;response;RT;prop_left;acc
0;0;380127118;1.5;6.0;1.49;5.98;2.81;9.17;1;0.485;0;1
1;1;380127118;1.5;4.0;1.49;3.98;0.81;7.17;1;0.4;0;1
2;2;438462352;1.5;2.0;1.49;2.0;-0.59;5.52;1;0.439;0;1
3;3;438462352;1.5;0.0;1.49;-0.0;-2.59;3.52;-1;0.533;1;0
4;4;570875540;1.5;-1.0;1.5;-0.98;-4.87;2.94;-1;0.554;1;1
5;5;570875540;1.5;-1.0;1.5;-0.98;-4.87;2.94;-1;0.415;1;1
6;6;79695259;1.5;-0.5;1.5;-0.5;-4.17;3.59;-1;0.332;1;1
7;7;79695259;1.5;-0.5;1.5;-0.5;-4.17;3.59;-1;0.435;1;1
8;8;357337627;1.5;0.0;1.49;-0.02;-3.32;2.75;-1;0.415;1;0
9;9;357337627;1.5;1.0;1.49;0.98;-2.32;3.75;1;0.409;0;1
10;10;339048478;1.5;1.0;1.53;0.96;-2.46;4.23;-1;0.485;1;0
11;11;339048478;1.5;1.5;1.53;1.46;-1.96;4.73;-1;0.485;1;0
12;12;3897512;1.5;2.0;1.5;1.97;-0.91;5.07;1;0.476;0;1
13;13;3897512;1.5;2.0;1.5;1.97;-0.91;5.07;1;0.434;0;1
14;14;152833960;1.5;1.5;1.48;1.5;-1.94;5.03;1;0.477;0;1
15;15;152833960;1.5;1.5;1.48;1.5;-1.94;5.03;1;0.485;0;1
16;16;386198835;1.5;1.0;1.5;1.0;-2.28;3.98;1;0.331;0;1
17;17;386198835;1.5;1.0;1.5;1.0;-2.28;3.98;1;0.654;0;1
18;18;426752948;1.5;0.5;1.5;0.49;-2.79;4.16;1;0.529;0;1
19;19;426752948;1.5;0.5;1.5;0.49;-2.79;4.16;1;0.581;0;1
20;20;279855541;1.5;-6.0;1.53;-6.05;-9.73;-2.99;-1;0.396;1;1
21;21;279855541;1.5;-4.0;1.53;-4.05;-7.73;-0.99;-1;0.351;1;1
22;22;295334325;1.5;-2.0;1.48;-2.0;-6.12;1.16;-1;0.368;1;1
23;23;295334325;1.5;0.0;1.48;0.0;-4.12;3.16;1;0.525;0;0
