;num_trial;path_seed;noise_lvl;slope;sd;mean;min;max;response;RT;prop_left;acc
0;0;372553040;6.0;6.0;6.07;5.87;-9.69;18.29;-1;0.352;1;0
1;1;372553040;6.0;6.5;6.07;6.37;-9.19;18.79;-1;0.282;1;0
2;2;733117513;6.0;7.0;5.98;6.94;-10.1;20.46;1;0.36;0;1
3;3;733117513;6.0;7.0;5.98;6.94;-10.1;20.46;1;0.422;0;1
4;4;575387501;6.0;6.5;6.17;6.3;-11.07;16.62;-1;0.409;1;0
5;5;575387501;6.0;7.0;6.17;6.8;-10.57;17.12;1;0.346;0;1
6;6;16647301;6.0;7.0;6.01;6.91;-6.6;20.9;1;0.339;0;1
7;7;16647301;6.0;6.5;6.01;6.41;-7.1;20.4;1;0.353;0;1
8;8;610624057;6.0;6.5;5.99;6.57;-7.72;19.24;1;0.358;0;1
9;9;610624057;6.0;6.0;5.99;6.07;-8.22;18.74;1;0.439;0;1
10;10;731673578;6.0;6.0;5.96;5.98;-7.79;20.06;1;0.537;0;1
11;11;731673578;6.0;5.5;5.96;5.48;-8.29;19.56;1;0.641;0;1
12;12;538339265;6.0;5.5;6.03;5.61;-8.58;20.57;-1;0.483;1;0
13;13;538339265;6.0;6.0;6.03;6.11;-8.08;21.07;1;0.49;0;1
14;14;638354634;6.0;6.0;5.96;6.05;-8.49;22.73;1;0.636;0;1
15;15;638354634;6.0;5.5;5.96;5.55;-8.99;22.23;1;0.723;0;1
16;16;956002509;6.0;5.5;5.96;5.48;-8.32;17.57;1;0.6;0;1
17;17;956002509;6.0;5.0;5.96;4.98;-8.82;17.07;1;0.631;0;1
18;18;728976698;6.0;5.0;6.02;5.11;-9.74;17.79;1;0.486;0;1
19;19;728976698;6.0;4.5;6.02;4.61;-10.24;17.29;1;0.486;0;1
20;20;372553040;6.0;-6.0;6.07;-6.13;-21.69;6.29;1;0.333;0;0
21;21;372553040;6.0;-6.5;6.07;-6.63;-22.19;5.79;-1;0.355;1;1
22;22;733117513;6.0;-6.5;5.98;-6.56;-23.6;6.96;-1;0.465;1;1
23;23;733117513;6.0;-6.0;5.98;-6.06;-23.1;7.46;-1;0.72;1;1
24;24;575387501;6.0;-6.0;6.17;-6.2;-23.57;4.12;-1;0.793;1;1
25;25;575387501;6.0;-5.5;6.17;-5.7;-23.07;4.62;-1;0.49;1;1
26;26;16647301;6.0;-5.5;6.01;-5.59;-19.1;8.4;-1;0.494;1;1
27;27;16647301;6.0;-5.0;6.01;-5.09;-18.6;8.9;1;0.49;0;0
28;28;610624057;6.0;-5.5;5.99;-5.43;-19.72;7.24;1;0.502;0;0
29;29;610624057;6.0;-6.0;5.99;-5.93;-20.22;6.74;-1;0.354;1;1
30;30;731673578;6.0;-6.0;5.96;-6.02;-19.79;8.06;-1;0.634;1;1
31;31;731673578;6.0;-5.5;5.96;-5.52;-19.29;8.56;-1;0.483;1;1
32;32;538339265;6.0;-5.5;6.03;-5.39;-19.58;9.57;-1;0.951;1;1
33;33;538339265;6.0;-5.0;6.03;-4.89;-19.08;10.07;-1;0.465;1;1
34;34;638354634;6.0;-5.0;5.96;-4.95;-19.49;11.73;-1;0.423;1;1
35;35;638354634;6.0;-4.5;5.96;-4.45;-18.99;12.23;-1;0.49;1;1
36;36;956002509;6.0;-4.5;5.96;-4.52;-18.32;7.57;-1;0.609;1;1
37;37;956002509;6.0;-4.0;5.96;-4.02;-17.82;8.07;-1;1.05;1;1
38;38;728976698;6.0;-4.0;6.02;-3.89;-18.74;8.79;-1;0.721;1;1
39;39;728976698;6.0;-3.5;6.02;-3.39;-18.24;9.29;-1;0.604;1;1
40;0;380127118;1.5;6.0;1.49;5.98;2.81;9.17;1;0.417;0;1
41;1;380127118;1.5;4.0;1.49;3.98;0.81;7.17;1;0.245;0;1
42;2;438462352;1.5;2.0;1.49;2.0;-0.59;5.52;1;0.356;0;1
43;3;438462352;1.5;0.0;1.49;-0.0;-2.59;3.52;1;0.5045;0;0
44;4;570875540;1.5;-1.0;1.5;-0.98;-4.87;2.94;-1;0.803;1;1
45;5;570875540;1.5;-1.0;1.5;-0.98;-4.87;2.94;-1;0.526;1;1
46;6;79695259;1.5;-0.5;1.5;-0.5;-4.17;3.59;-1;0.696;1;1
47;7;79695259;1.5;-0.5;1.5;-0.5;-4.17;3.59;-1;0.523;1;1
48;8;357337627;1.5;0.0;1.49;-0.02;-3.32;2.75;1;0.498;0;0
49;9;357337627;1.5;-1.0;1.49;-1.02;-4.32;1.75;-1;0.69;1;1
50;10;339048478;1.5;-1.0;1.53;-1.04;-4.46;2.23;1;0.847;0;0
51;11;339048478;1.5;-1.5;1.53;-1.54;-4.96;1.73;-1;0.423;1;1
52;12;3897512;1.5;-1.5;1.5;-1.53;-4.41;1.57;-1;0.504;1;1
53;13;3897512;1.5;-1.0;1.5;-1.03;-3.91;2.07;-1;0.564;1;1
54;14;152833960;1.5;-1.0;1.48;-1.0;-4.44;2.53;-1;0.558;1;1
55;15;152833960;1.5;-0.5;1.48;-0.5;-3.94;3.03;-1;0.489;1;1
56;16;386198835;1.5;-0.5;1.5;-0.5;-3.78;2.48;-1;0.505;1;1
57;17;386198835;1.5;0.0;1.5;-0.0;-3.28;2.98;-1;0.559;1;0
58;18;426752948;1.5;-1.0;1.5;-1.01;-4.29;2.66;-1;0.576;1;1
59;19;426752948;1.5;-1.0;1.5;-1.01;-4.29;2.66;-1;0.439;1;1
60;20;279855541;1.5;-6.0;1.53;-6.05;-9.73;-2.99;-1;0.484;1;1
61;21;279855541;1.5;-4.0;1.53;-4.05;-7.73;-0.99;-1;0.48;1;1
62;22;295334325;1.5;-2.0;1.48;-2.0;-6.12;1.16;-1;0.389;1;1
63;23;295334325;1.5;0.0;1.48;0.0;-4.12;3.16;-1;0.454;1;0
64;24;188144440;1.5;-1.0;1.51;-0.96;-4.83;2.24;-1;0.39;1;1
65;25;188144440;1.5;-1.0;1.51;-0.96;-4.83;2.24;-1;0.367;1;1
66;26;393153215;1.5;-0.5;1.49;-0.51;-4.04;3.21;-1;0.351;1;1
67;27;393153215;1.5;-0.5;1.49;-0.51;-4.04;3.21;-1;0.303;1;1
68;28;639661761;1.5;0.0;1.49;0.01;-3.75;3.64;-1;0.535;1;0
69;29;639661761;1.5;-1.0;1.49;-0.99;-4.75;2.64;-1;0.632;1;1
70;30;854310224;1.5;-1.0;1.5;-1.03;-4.03;2.73;-1;0.674;1;1
71;31;854310224;1.5;-0.5;1.5;-0.53;-3.53;3.23;-1;0.448;1;1
72;32;969697365;1.5;-0.5;1.5;-0.52;-4.31;2.88;-1;0.796;1;1
73;33;969697365;1.5;0.0;1.5;-0.02;-3.81;3.38;-1;0.418;1;0
74;34;573494491;1.5;1.0;1.55;1.05;-2.4;4.54;1;0.812;0;1
75;35;573494491;1.5;1.0;1.55;1.05;-2.4;4.54;1;0.5045;0;1
76;36;206088160;1.5;0.5;1.48;0.49;-3.04;3.73;1;0.477;0;1
77;37;206088160;1.5;0.5;1.48;0.49;-3.04;3.73;-1;0.434;1;0
78;38;427832034;1.5;1.0;1.49;0.99;-1.92;4.54;1;0.8;0;1
79;39;427832034;1.5;1.0;1.49;0.99;-1.92;4.54;1;0.584;0;1
80;0;564542017;3.0;6.0;3.0;5.96;-0.74;13.03;1;0.437;0;1
81;1;564542017;3.0;4.0;3.0;3.96;-2.74;11.03;1;0.378;0;1
82;2;708828609;3.0;2.0;2.98;1.99;-4.33;8.74;1;0.525;0;1
83;3;708828609;3.0;0.0;2.98;-0.01;-6.33;6.74;1;0.81;0;0
84;4;348283459;3.0;-1.0;2.98;-0.99;-9.26;6.74;-1;1.137;1;1
85;5;348283459;3.0;-1.0;2.98;-0.99;-9.26;6.74;-1;0.834;1;1
86;6;267566244;3.0;-0.5;2.98;-0.5;-7.18;6.06;1;0.702;0;0
87;7;267566244;3.0;-1.0;2.98;-1.0;-7.68;5.56;1;1.093;0;0
88;8;16647301;3.0;-1.5;3.0;-1.54;-8.3;5.45;-1;0.882;1;1
