;num_trial;path_seed;noise_lvl;slope;sd;mean;min;max;response;RT;prop_left;acc
0;0;372553040;6.0;6.0;6.07;5.87;-9.69;18.29;1;0.365;0;1
1;1;372553040;6.0;4.0;6.07;3.87;-11.69;16.29;1;0.547;0;1
2;2;733117513;6.0;2.0;5.98;1.94;-15.1;15.46;1;0.473;0;1
3;3;733117513;6.0;0.0;5.98;-0.06;-17.1;13.46;-1;0.229;1;0
4;4;575387501;6.0;1.0;6.17;0.8;-16.57;11.12;-1;0.37;1;0
5;5;575387501;6.0;1.5;6.17;1.3;-16.07;11.62;-1;0.315;1;0
6;6;16647301;6.0;2.0;6.01;1.91;-11.6;15.9;-1;0.562;1;0
7;7;16647301;6.0;2.5;6.01;2.41;-11.1;16.4;-1;0.433;1;0
8;8;610624057;6.0;3.0;5.99;3.07;-11.22;15.74;1;0.237;0;1
9;9;610624057;6.0;3.0;5.99;3.07;-11.22;15.74;1;0.276;0;1
10;10;731673578;6.0;2.5;5.96;2.48;-11.29;16.56;1;0.205;0;1
11;11;731673578;6.0;2.5;5.96;2.48;-11.29;16.56;1;0.422;0;1
12;12;538339265;6.0;2.0;6.03;2.11;-12.08;17.07;1;0.575;0;1
13;13;538339265;6.0;2.0;6.03;2.11;-12.08;17.07;1;0.857;0;1
14;14;638354634;6.0;1.5;5.96;1.55;-12.99;18.23;1;0.452;0;1
15;15;638354634;6.0;1.5;5.96;1.55;-12.99;18.23;-1;0.78;1;0
16;16;956002509;6.0;2.0;5.96;1.98;-11.82;14.07;1;0.445;0;1
17;17;956002509;6.0;2.0;5.96;1.98;-11.82;14.07;1;0.62;0;1
18;18;728976698;6.0;1.5;6.02;1.61;-13.24;14.29;1;0.529;0;1
19;19;728976698;6.0;1.5;6.02;1.61;-13.24;14.29;1;0.687;0;1
20;20;372553040;6.0;-6.0;6.07;-6.13;-21.69;6.29;-1;0.379;1;1
21;21;372553040;6.0;-4.0;6.07;-4.13;-19.69;8.29;1;0.39;0;0
22;22;733117513;6.0;-4.5;5.98;-4.56;-21.6;8.96;-1;0.417;1;1
23;23;733117513;6.0;-4.5;5.98;-4.56;-21.6;8.96;-1;0.4485;1;1
24;24;575387501;6.0;-4.0;6.17;-4.2;-21.57;6.12;-1;0.759;1;1
