;num_trial;path_seed;noise_lvl;slope;sd;mean;min;max;response;RT;prop_left;acc
0;0;380127118;1.5;6.0;1.49;5.98;2.81;9.17;1;0.431;0;1
1;1;380127118;1.5;4.0;1.49;3.98;0.81;7.17;1;0.182;0;1
2;2;438462352;1.5;2.0;1.49;2.0;-0.59;5.52;1;0.53;0;1
3;3;438462352;1.5;0.0;1.49;-0.0;-2.59;3.52;1;0.562;0;0
4;4;570875540;1.5;-1.0;1.5;-0.98;-4.87;2.94;-1;0.465;1;1
5;5;570875540;1.5;-1.0;1.5;-0.98;-4.87;2.94;1;0.452;0;0
6;6;79695259;1.5;-1.5;1.5;-1.5;-5.17;2.59;-1;0.451;1;1
7;7;79695259;1.5;-1.5;1.5;-1.5;-5.17;2.59;1;0.498;0;0
8;8;357337627;1.5;-2.0;1.49;-2.02;-5.32;0.75;-1;0.339;1;1
9;9;357337627;1.5;-2.0;1.49;-2.02;-5.32;0.75;-1;0.357;1;1
10;10;339048478;1.5;-1.5;1.53;-1.54;-4.96;1.73;-1;0.303;1;1
11;11;339048478;1.5;-1.5;1.53;-1.54;-4.96;1.73;-1;0.316;1;1
12;12;3897512;1.5;-1.0;1.5;-1.03;-3.91;2.07;-1;0.467;1;1
13;13;3897512;1.5;-1.0;1.5;-1.03;-3.91;2.07;1;0.393;0;0
14;14;152833960;1.5;-1.5;1.48;-1.5;-4.94;2.03;-1;0.661;1;1
15;15;152833960;1.5;-1.5;1.48;-1.5;-4.94;2.03;-1;0.427;1;1
16;16;386198835;1.5;-1.0;1.5;-1.0;-4.28;1.98;1;0.568;0;0
17;17;386198835;1.5;-1.5;1.5;-1.5;-4.78;1.48;1;0.539;0;0
18;18;426752948;1.5;-2.0;1.5;-2.01;-5.29;1.66;1;0.448;0;0
19;19;426752948;1.5;-2.5;1.5;-2.51;-5.79;1.16;-1;0.55;1;1
20;20;279855541;1.5;-6.0;1.53;-6.05;-9.73;-2.99;-1;0.456;1;1
21;21;279855541;1.5;-4.0;1.53;-4.05;-7.73;-0.99;-1;0.423;1;1
22;22;295334325;1.5;-2.0;1.48;-2.0;-6.12;1.16;-1;0.438;1;1
23;23;295334325;1.5;0.0;1.48;0.0;-4.12;3.16;1;0.457;0;0
24;24;188144440;1.5;1.0;1.51;1.04;-2.83;4.24;1;0.459;0;1
25;25;188144440;1.5;1.0;1.51;1.04;-2.83;4.24;1;0.431;0;1
26;26;393153215;1.5;0.5;1.49;0.49;-3.04;4.21;1;0.579;0;1
27;27;393153215;1.5;0.5;1.49;0.49;-3.04;4.21;-1;0.445;1;0
28;28;639661761;1.5;1.0;1.49;1.01;-2.75;4.64;-1;0.468;1;0
29;29;639661761;1.5;1.5;1.49;1.51;-2.25;5.14;1;0.409;0;1
30;30;854310224;1.5;1.5;1.5;1.47;-1.53;5.23;1;0.37;0;1
31;31;854310224;1.5;1.0;1.5;0.97;-2.03;4.73;1;0.366;0;1
32;32;969697365;1.5;1.0;1.5;0.98;-2.81;4.38;-1;0.616;1;0
33;33;969697365;1.5;1.5;1.5;1.48;-2.31;4.88;1;0.367;0;1
34;34;573494491;1.5;1.5;1.55;1.55;-1.9;5.04;1;0.434;0;1
35;35;573494491;1.5;1.0;1.55;1.05;-2.4;4.54;1;0.515;0;1
36;36;206088160;1.5;1.0;1.48;0.99;-2.54;4.23;1;0.273;0;1
37;37;206088160;1.5;0.5;1.48;0.49;-3.04;3.73;1;0.362;0;1
38;38;427832034;1.5;0.5;1.49;0.49;-2.42;4.04;1;0.346;0;1
39;39;427832034;1.5;0.0;1.49;-0.01;-2.92;3.54;-1;0.666;1;0
40;0;564542017;3.0;6.0;3.0;5.96;-0.74;13.03;1;0.333;0;1
41;1;564542017;3.0;4.0;3.0;3.96;-2.74;11.03;1;0.368;0;1
42;2;708828609;3.0;2.0;2.98;1.99;-4.33;8.74;1;0.302;0;1
43;3;708828609;3.0;0.0;2.98;-0.01;-6.33;6.74;-1;0.532;1;0
44;4;348283459;3.0;-1.0;2.98;-0.99;-9.26;6.74;-1;0.438;1;1
45;5;348283459;3.0;-1.0;2.98;-0.99;-9.26;6.74;-1;0.474;1;1
46;6;267566244;3.0;-0.5;2.98;-0.5;-7.18;6.06;-1;0.352;1;1
47;7;267566244;3.0;-0.5;2.98;-0.5;-7.18;6.06;-1;0.509;1;1
48;8;16647301;3.0;0.0;3.0;-0.04;-6.8;6.95;-1;0.455;1;0
49;9;16647301;3.0;1.0;3.0;0.96;-5.8;7.95;1;0.352;0;1
50;10;182719943;3.0;1.0;3.03;0.93;-5.39;7.66;1;0.434;0;1
51;11;182719943;3.0;0.5;3.03;0.43;-5.89;7.16;-1;0.431;1;0
52;12;663561545;3.0;1.0;2.97;1.0;-6.28;8.5;1;0.446;0;1
53;13;663561545;3.0;1.0;2.97;1.0;-6.28;8.5;1;0.42;0;1
54;14;736200266;3.0;0.5;2.98;0.49;-6.95;7.08;-1;0.718;1;0
55;15;736200266;3.0;1.0;2.98;0.99;-6.45;7.58;1;0.49;0;1
56;16;939097707;3.0;1.0;3.0;0.97;-6.34;8.36;1;0.429;0;1
57;17;939097707;3.0;0.5;3.0;0.47;-6.84;7.86;-1;0.466;1;0
58;18;347338382;3.0;1.0;2.99;0.99;-6.71;8.74;1;0.541;0;1
59;19;347338382;3.0;1.0;2.99;0.99;-6.71;8.74;1;0.382;0;1
60;20;714756784;3.0;-6.0;3.0;-6.05;-13.51;1.39;-1;0.357;1;1
61;21;714756784;3.0;-4.0;3.0;-4.05;-11.51;3.39;-1;0.389;1;1
62;22;550250207;3.0;-2.0;3.0;-2.03;-8.74;4.33;-1;0.456;1;1
63;23;550250207;3.0;0.0;3.0;-0.03;-6.74;6.33;-1;0.473;1;0
64;24;893629044;3.0;-1.0;3.0;-1.04;-8.05;6.4;-1;0.613;1;1
